actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-10-21T00:13:37.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-10-21T00:13:37Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-10-21T00:13:39.8Z,1,REGULAR,jumpball,recovered,[],203552,,,1610612755,0,0,2021-10-21T00:13:39Z,40000,,,0,,Jump Ball J. Embiid vs. J. Valanciunas: Tip to S. Curry,"[203552, 203954, 202685]",1610612755.0,PHI,startperiod,S. Curry,203552.0,Curry,S. Curry,Embiid,203954.0,Valanciunas,202685.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2021-10-21T00:13:54.7Z,1,REGULAR,2pt,Jump Shot,[],203954,22.026938239159,47.549019607843135,1610612755,0,2,2021-10-21T00:14:02Z,70000,12.0,155.0,1,left,J. Embiid 15' fadeaway Jump Shot (2 PTS),[203954],1610612755.0,PHI,fadeaway,,,Embiid,J. Embiid,,,,,15.51,Made,2.0,,,,,,,,,,,,,,,,,,
8,PT11M24.00S,2021-10-21T00:14:12.0Z,1,REGULAR,2pt,Jump Shot,[],1629638,74.72076215505913,59.068627450980394,1610612740,2,2,2021-10-21T00:14:19Z,80000,45.0,185.0,1,right,N. Alexander-Walker 19' pullup Jump Shot (2 PTS) (B. Ingram 1 AST),"[1629638, 1627742]",1610612740.0,NOP,pullup,,,Alexander-Walker,N. Alexander-Walker,,,,,19.06,Made,2.0,B. Ingram,1627742.0,1.0,,,,,,,,,,,,,,,
10,PT11M00.00S,2021-10-21T00:14:36.9Z,1,REGULAR,2pt,Jump Shot,[],202699,6.652431011826544,76.9607843137255,1610612755,2,2,2021-10-21T00:14:48Z,100000,-135.0,10.0,1,left,MISS T. Harris 13' pullup Shot,[202699],1610612755.0,PHI,pullup,,,Harris,T. Harris,,,,,13.52,Missed,,,,,,,,,,,,,,,,,,,
11,PT10M57.00S,2021-10-21T00:14:39.9Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612740,2,2,2021-10-21T00:14:48Z,110000,,,0,,J. Hart REBOUND (Off:0 Def:1),[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,
12,PT10M50.00S,2021-10-21T00:14:47.1Z,1,REGULAR,turnover,bad pass,[],1627742,,,1610612740,2,2,2021-10-21T00:14:54Z,120000,,,0,,B. Ingram bad pass TURNOVER (1 TO),"[1627742, 202699]",1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,,,,,1.0,Harris,202699.0,,,,,,,,
13,PT10M50.00S,2021-10-21T00:14:47.1Z,1,REGULAR,steal,,[],202699,,,1610612755,2,2,2021-10-21T00:14:51Z,130000,,,0,,T. Harris STEAL (1 STL),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,,
14,PT10M44.00S,2021-10-21T00:14:52.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",202699,6.521024967148489,45.588235294117645,1610612755,2,4,2021-10-21T00:15:00Z,140000,22.0,9.0,1,left,T. Harris driving Layup (2 PTS),[202699],1610612755.0,PHI,driving,,,Harris,T. Harris,,,,,2.38,Made,2.0,,,,,,,,,,,,,,,,,,
15,PT10M25.00S,2021-10-21T00:15:12.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202685,93.51182654402102,51.71568627450981,1610612740,2,4,2021-10-21T00:15:19Z,150000,9.0,8.0,1,right,MISS J. Valanciunas driving Layup,[202685],1610612740.0,NOP,driving,,,Valanciunas,J. Valanciunas,,,,,1.21,Missed,,,,,,,,,,,,,,,,,,,
