actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-03-27T23:10:40.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-27T23:10:40Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-03-27T23:10:42.6Z,1,REGULAR,jumpball,recovered,[],2544,,,1610612747,0,0,2022-03-27T23:10:42Z,40000,,,0,,Jump Ball D. Howard vs. J. Valanciunas: Tip to L. James,"[2544, 2730, 202685]",1610612747.0,LAL,startperiod,L. James,2544.0,James,L. James,Howard,2730.0,Valanciunas,202685.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M34.00S,2022-03-27T23:11:04.7Z,1,REGULAR,3pt,Jump Shot,[],1630559,35.29894875164258,83.57843137254902,1610612747,0,0,2022-03-27T23:11:14Z,70000,-168.0,279.0,1,left,MISS A. Reaves 32' 3PT,[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,32.59,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M31.00S,2022-03-27T23:11:07.7Z,1,REGULAR,rebound,offensive,[],201566,,,1610612747,0,0,2022-03-27T23:11:14Z,80000,,,0,,R. Westbrook REBOUND (Off:1 Def:0),[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
9,PT11M30.00S,2022-03-27T23:11:09.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],2544,31.09395532194481,30.14705882352941,1610612747,0,3,2022-03-27T23:11:18Z,90000,99.0,240.0,1,left,L. James 25' 3PT  (3 PTS) (R. Westbrook 1 AST),"[2544, 201566]",1610612747.0,LAL,,,,James,L. James,,,,,25.95,Made,,,,,3.0,R. Westbrook,201566.0,1.0,,,,,,,,,,,
11,PT11M03.00S,2022-03-27T23:11:36.3Z,1,REGULAR,2pt,Jump Shot,[],1627742,80.89684625492772,77.94117647058823,1610612740,0,3,2022-03-27T23:11:44Z,110000,140.0,127.0,1,right,MISS B. Ingram 18' turnaround Shot,[1627742],1610612740.0,NOP,turnaround,,,Ingram,B. Ingram,,,,,18.89,Missed,,,,,,,,,,,,,,,,,,,
12,PT10M57.00S,2022-03-27T23:11:42.3Z,1,REGULAR,rebound,offensive,[],1627742,,,1610612740,0,3,2022-03-27T23:11:44Z,120000,,,0,,B. Ingram REBOUND (Off:1 Def:0),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,11.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
13,PT10M56.00S,2022-03-27T23:11:43.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1627742,80.76544021024968,48.28431372549019,1610612740,0,3,2022-03-27T23:11:47Z,130000,-9.0,128.0,1,right,MISS B. Ingram 12' fadeaway Shot,[1627742],1610612740.0,NOP,fadeaway,,,Ingram,B. Ingram,,,,,12.86,Missed,,,,,,,,,,,,,,,,,,,
14,PT10M54.00S,2022-03-27T23:11:45.4Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,0,3,2022-03-27T23:11:47Z,140000,,,0,,L. James REBOUND (Off:0 Def:1),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
15,PT10M42.00S,2022-03-27T23:11:58.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],2730,5.338370565045992,45.588235294117645,1610612747,0,5,2022-03-27T23:12:03Z,150000,22.0,-2.0,1,left,D. Howard Layup (2 PTS) (A. Reaves 1 AST),"[2730, 1630559]",1610612747.0,LAL,,,,Howard,D. Howard,,,,,2.22,Made,,,,,2.0,A. Reaves,1630559.0,1.0,,,,,,,,,,,
