actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,value
2,PT12M00.00S,2022-02-18T01:10:31.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-18T01:10:31Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-02-18T01:10:33.5Z,1,REGULAR,jumpball,recovered,[],1627742,,,1610612740,0,0,2022-02-18T01:10:33Z,40000,,,0,,Jump Ball J. Valanciunas vs. D. Powell: Tip to B. Ingram,"[1627742, 202685, 203939]",1610612740.0,NOP,startperiod,B. Ingram,1627742.0,Ingram,B. Ingram,Valanciunas,202685.0,Powell,203939.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M51.00S,2022-02-18T01:10:43.9Z,1,REGULAR,foul,offensive,[],1630529,,,1610612740,0,0,2022-02-18T01:10:56Z,70000,,,0,,H. Jones offensive FOUL (1 PF),"[1630529, 1628973]",1610612740.0,NOP,,,,Jones,H. Jones,,,,,2003.0,1.0,0.0,Brunson,1628973.0,,,,,,,,,,,,,,,,
9,PT11M51.00S,2022-02-18T01:10:43.9Z,1,REGULAR,turnover,offensive foul,[],1630529,,,1610612740,0,0,2022-02-18T01:10:43Z,90000,,,0,,H. Jones offensive foul TURNOVER (1 TO),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,2003.0,,,,,1.0,,,,,,,,,,,,,,,
10,PT11M34.00S,2022-02-18T01:11:11.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629029,14.799605781865965,48.529411764705884,1610612742,0,0,2022-02-18T01:11:16Z,100000,7.0,87.0,1,left,MISS L. Doncic 8' turnaround Shot,[1629029],1610612742.0,DAL,turnaround,,,Doncic,L. Doncic,,,,,,,,,,,8.69,Missed,,,,,,,,,,,,,
11,PT11M30.00S,2022-02-18T01:11:14.1Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,0,0,2022-02-18T01:11:14Z,110000,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,
12,PT11M21.00S,2022-02-18T01:11:23.5Z,1,REGULAR,3pt,Jump Shot,[],202685,69.99014454664915,70.83333333333334,1610612740,0,0,2022-02-18T01:11:28Z,120000,104.0,230.0,1,right,MISS J. Valanciunas 25' 3PT,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,25.21,Missed,,,,,,,,,,,,,
13,PT11M18.00S,2022-02-18T01:11:26.5Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,0,0,2022-02-18T01:11:28Z,130000,,,0,,L. Doncic REBOUND (Off:0 Def:1),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,
14,PT11M11.00S,2022-02-18T01:11:34.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,19.398817345597898,64.2156862745098,1610612742,0,2,2022-02-18T01:11:41Z,140000,-71.0,130.0,1,left,L. Doncic 14' step back Jump Shot (2 PTS),[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,,,,,,,14.8,Made,,,,,2.0,,,,,,,,
15,PT10M56.00S,2022-02-18T01:11:49.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630529,86.94152431011827,48.77450980392157,1610612740,0,2,2022-02-18T01:12:24Z,150000,-6.0,70.0,1,right,MISS H. Jones 7' driving floating Shot,[1630529],1610612740.0,NOP,driving floating,,,Jones,H. Jones,,,,,,,,,,,7.05,Missed,,,,,,,,,,,,,
16,PT10M54.00S,2022-02-18T01:11:51.4Z,1,REGULAR,rebound,offensive,[],1630529,,,1610612740,0,2,2022-02-18T01:11:54Z,160000,,,0,,H. Jones REBOUND (Off:1 Def:0),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,15.0,1.0,0.0,1.0,,,,,,,,,
17,PT10M54.00S,2022-02-18T01:11:52.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630529,94.40999984741211,50.0,1610612740,0,2,2022-02-18T01:11:52Z,170000,0.0,0.0,1,right,MISS H. Jones tip Layup,[1630529],1610612740.0,NOP,tip,,,Jones,H. Jones,,,,,,,,,,,0.0,Missed,,,,,,,,,,,,,
18,PT10M54.00S,2022-02-18T01:11:53.1Z,1,REGULAR,rebound,offensive,[],1630529,,,1610612740,0,2,2022-02-18T01:11:53Z,180000,,,0,,H. Jones REBOUND (Off:2 Def:0),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,17.0,2.0,0.0,2.0,,,,,,,,,
19,PT10M54.00S,2022-02-18T01:11:55.3Z,1,REGULAR,turnover,out-of-bounds,[],1630529,,,1610612740,0,2,2022-02-18T01:12:00Z,190000,,,0,,H. Jones lost ball out-of-bounds TURNOVER (2 TO),[1630529],1610612740.0,NOP,lost ball,,,Jones,H. Jones,,,,,1193.0,,,,,2.0,,,,,,,,,,,,,,,
20,PT10M46.00S,2022-02-18T01:12:18.5Z,1,REGULAR,foul,personal,['2freethrow'],1627742,,,1610612742,0,2,2022-02-18T01:12:25Z,200000,,,0,,B. Ingram shooting personal FOUL (1 PF) (Doncic 2 FT),"[1627742, 1629029]",1610612740.0,NOP,shooting,,,Ingram,B. Ingram,,,,,2003.0,1.0,0.0,Doncic,1629029.0,,,,,,,,,,,,,,,,
22,PT10M46.00S,2022-02-18T01:12:32.1Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1629029,,,1610612742,0,2,2022-02-18T01:12:32Z,220000,,,0,,MISS L. Doncic Free Throw 1 of 2,[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,Missed,,,,,,,,,,,,,
23,PT10M46.00S,2022-02-18T01:12:32.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612742,0,2,2022-02-18T01:12:32Z,230000,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,
24,PT10M46.00S,2022-02-18T01:12:55.7Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1629029,,,1610612742,0,3,2022-02-18T01:12:55Z,240000,,,0,,L. Doncic Free Throw 2 of 2 (3 PTS),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,Made,,,,,3.0,,,,,,,,
25,PT10M30.00S,2022-02-18T01:13:14.8Z,1,REGULAR,2pt,Jump Shot,[],1627742,78.79434954007884,59.068627450980394,1610612740,2,3,2022-02-18T01:13:20Z,250000,45.0,147.0,1,right,B. Ingram 15' fadeaway Jump Shot (2 PTS),[1627742],1610612740.0,NOP,fadeaway,,,Ingram,B. Ingram,,,,,,,,,,,15.36,Made,,,,,2.0,,,,,,,,
27,PT10M19.00S,2022-02-18T01:13:26.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628973,17.16491458607096,36.76470588235294,1610612742,2,5,2022-02-18T01:14:00Z,270000,66.0,109.0,1,left,J. Brunson 12' driving floating Jump Shot (2 PTS),[1628973],1610612742.0,DAL,driving floating,,,Brunson,J. Brunson,,,,,,,,,,,12.74,Made,,,,,2.0,,,,,,,,
28,PT10M12.00S,2022-02-18T01:13:33.4Z,1,REGULAR,2pt,Jump Shot,[],1630529,92.24704336399473,88.99356617647058,1610612740,2,5,2022-02-18T01:13:51Z,280000,195.0,20.0,1,right,MISS H. Jones 19' Jump Shot,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,19.61,Missed,,,,,,,,,,,,,
29,PT10M08.00S,2022-02-18T01:13:37.4Z,1,REGULAR,rebound,offensive,[],1629637,,,1610612740,2,5,2022-02-18T01:13:51Z,290000,,,0,,J. Hayes REBOUND (Off:1 Def:0),[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,,,,,,,28.0,1.0,0.0,1.0,,,,,,,,,
30,PT10M01.00S,2022-02-18T01:13:43.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202685,92.46057818659659,53.18627450980392,1610612740,2,5,2022-02-18T01:13:59Z,300000,16.0,18.0,1,right,MISS J. Valanciunas driving Layup,[202685],1610612740.0,NOP,driving,,,Valanciunas,J. Valanciunas,,,,,,,,,,,2.43,Missed,,,,,,,,,,,,,
31,PT09M54.00S,2022-02-18T01:13:50.8Z,1,REGULAR,rebound,offensive,[],202685,,,1610612740,2,5,2022-02-18T01:13:50Z,310000,,,0,,J. Valanciunas REBOUND (Off:1 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,30.0,2.0,1.0,1.0,,,,,,,,,
32,PT09M54.00S,2022-02-18T01:13:50.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202685,94.40999984741211,50.0,1610612740,4,5,2022-02-18T01:13:50Z,320000,0.0,0.0,1,right,J. Valanciunas putback Layup (2 PTS),[202685],1610612740.0,NOP,putback,,,Valanciunas,J. Valanciunas,,,,,,,,,,,0.0,Made,,,,,2.0,,,,,,,,
33,PT09M45.00S,2022-02-18T01:13:59.6Z,1,REGULAR,3pt,Jump Shot,[],1629029,23.47240473061761,10.53921568627451,1610612742,4,8,2022-02-18T01:14:04Z,330000,197.0,168.0,1,left,L. Doncic 25' 3PT step back (6 PTS),[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,,,,,,,25.92,Made,,,,,6.0,,,,,,,,
34,PT09M32.00S,2022-02-18T01:14:12.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629637,92.32917214191852,49.01960784313725,1610612740,4,8,2022-02-18T01:14:19Z,340000,-5.0,20.0,1,right,MISS J. Hayes DUNK - blocked,"[1629637, 1629029]",1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,,,,,2.02,Missed,,,,,,Doncic,1629029.0,,,,,,
37,PT09M32.00S,2022-02-18T01:14:12.1Z,1,REGULAR,block,,[],1629029,,,1610612740,4,8,2022-02-18T01:14:26Z,345000,,,0,,L. Doncic BLOCK (1 BLK),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,,,,,,,,,,,,,
35,PT09M26.00S,2022-02-18T01:14:18.1Z,1,REGULAR,rebound,offensive,[],1629637,,,1610612740,4,8,2022-02-18T01:14:26Z,350000,,,0,,J. Hayes REBOUND (Off:2 Def:0),[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,,,,,,,34.0,2.0,0.0,2.0,,,,,,,,,
36,PT09M26.00S,2022-02-18T01:14:18.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629637,94.40999984741211,50.0,1610612740,6,8,2022-02-18T01:14:18Z,360000,0.0,0.0,1,right,J. Hayes tip Layup (2 PTS),[1629637],1610612740.0,NOP,tip,,,Hayes,J. Hayes,,,,,,,,,,,0.0,Made,,,,,2.0,,,,,,,,
38,PT09M13.00S,2022-02-18T01:14:32.0Z,1,REGULAR,turnover,bad pass,[],1629029,,,1610612742,6,8,2022-02-18T01:14:36Z,370000,,,0,,L. Doncic bad pass TURNOVER (1 TO),"[1629029, 202685]",1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,1.0,,,,,,,,,,Valanciunas,202685.0,,,,
39,PT09M13.00S,2022-02-18T01:14:32.0Z,1,REGULAR,steal,,[],202685,,,1610612740,6,8,2022-02-18T01:14:34Z,380000,,,0,,J. Valanciunas STEAL (1 STL),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,,,,,,
