actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-02-15T01:10:30.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-15T01:10:30Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M53.00S,2022-02-15T01:10:36.0Z,1,REGULAR,jumpball,recovered,[],1627832,,,1610612761,0,0,2022-02-15T01:10:36Z,40000,,,0,,Jump Ball S. Barnes vs. J. Valanciunas: Tip to F. VanVleet,"[1627832, 1630567, 202685]",1610612761.0,TOR,startperiod,F. VanVleet,1627832.0,VanVleet,F. VanVleet,Barnes,1630567.0,Valanciunas,202685.0,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2022-02-15T01:10:44.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630567,9.543363994743759,60.29411764705882,1610612761,0,0,2022-02-15T01:10:54Z,70000,-51.0,37.0,1,left,MISS S. Barnes 6' floating Shot,[1630567],1610612761.0,TOR,floating,,,Barnes,S. Barnes,,,,,6.35,Missed,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2022-02-15T01:10:46.2Z,1,REGULAR,rebound,defensive,[],203468,,,1610612740,0,0,2022-02-15T01:10:54Z,80000,,,0,,C. McCollum REBOUND (Off:0 Def:1),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M33.00S,2022-02-15T01:10:56.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203468,94.03745072273325,61.274509803921575,1610612740,0,0,2022-02-15T01:12:16Z,90000,56.0,4.0,1,right,MISS C. McCollum driving floating Shot,[203468],1610612740.0,NOP,driving floating,,,McCollum,C. McCollum,,,,,5.65,Missed,,,,,,,,,,,,,,,,,,
10,PT11M25.00S,2022-02-15T01:11:04.4Z,1,REGULAR,rebound,offensive,[],202685,,,1610612740,0,0,2022-02-15T01:11:04Z,100000,,,0,,J. Valanciunas REBOUND (Off:1 Def:0),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,
11,PT11M25.00S,2022-02-15T01:11:04.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",202685,94.40999984741211,50.0,1610612740,2,0,2022-02-15T01:11:04Z,110000,0.0,0.0,1,right,J. Valanciunas putback DUNK (2 PTS),[202685],1610612740.0,NOP,putback,,,Valanciunas,J. Valanciunas,,,,,0.0,Made,,,,,2.0,,,,,,,,,,,,,
12,PT11M21.00S,2022-02-15T01:11:10.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630567,12.565703022339028,49.754901960784316,1610612761,2,0,2022-02-15T01:14:44Z,120000,1.0,66.0,1,left,MISS S. Barnes 6' turnaround Shot - blocked,"[1630567, 202685]",1610612761.0,TOR,turnaround,,,Barnes,S. Barnes,,,,,6.56,Missed,,,,,,Valanciunas,202685.0,,,,,,,,,,,
13,PT11M21.00S,2022-02-15T01:11:10.0Z,1,REGULAR,block,,[],202685,,,1610612761,2,0,2022-02-15T01:11:22Z,130000,,,0,,J. Valanciunas BLOCK (1 BLK),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,,,,,
14,PT11M20.00S,2022-02-15T01:11:11.0Z,1,REGULAR,rebound,offensive,[],1627832,,,1610612761,2,0,2022-02-15T01:14:44Z,140000,,,0,,F. VanVleet REBOUND (Off:1 Def:0),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,12.0,1.0,0.0,1.0,,,,,,,,,,,,,,
15,PT11M08.00S,2022-02-15T01:11:27.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1627783,19.842312746386334,61.87959558823529,1610612761,2,2,2022-02-15T01:15:36Z,150000,-59.0,134.0,1,left,P. Siakam 14' step back Jump Shot (2 PTS),[1627783],1610612761.0,TOR,step back,,,Siakam,P. Siakam,,,,,14.66,Made,,,,,2.0,,,,,,,,,,,,,
16,PT10M46.00S,2022-02-15T01:11:42.8Z,1,REGULAR,3pt,Jump Shot,[],203468,92.59198423127464,3.9215686274509802,1610612740,5,2,2022-02-15T01:11:50Z,160000,-230.0,17.0,1,right,C. McCollum 3PT  (3 PTS) (J. Valanciunas 1 AST),"[203468, 202685]",1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,23.1,Made,,,,,3.0,,,J. Valanciunas,202685.0,1.0,,,,,,,,
18,PT10M34.00S,2022-02-15T01:12:02.2Z,1,REGULAR,3pt,Jump Shot,[],1627783,27.8580814717477,21.59160539215686,1610612761,5,2,2022-02-15T01:17:46Z,180000,142.0,209.0,1,left,MISS P. Siakam 25' 3PT,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,25.3,Missed,,,,,,,,,,,,,,,,,,
19,PT10M33.00S,2022-02-15T01:12:03.2Z,1,REGULAR,rebound,offensive,[],1630567,,,1610612761,5,2,2022-02-15T01:17:46Z,190000,,,0,,S. Barnes REBOUND (Off:1 Def:0),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,18.0,1.0,0.0,1.0,,,,,,,,,,,,,,
