actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-12-09T01:10:13.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-09T01:10:13Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-12-09T01:10:17.1Z,1,REGULAR,jumpball,recovered,[],1628404,,,1610612740,0,0,2021-12-09T01:10:17Z,40000,,,0,,Jump Ball J. Valanciunas vs. N. Jokic: Tip to J. Hart,"[1628404, 202685, 203999]",1610612740.0,NOP,startperiod,J. Hart,1628404.0,Hart,J. Hart,Valanciunas,202685.0,Jokic,203999.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M34.00S,2021-12-09T01:10:41.2Z,1,REGULAR,2pt,Jump Shot,[],1628404,94.03745072273325,79.41176470588235,1610612740,0,0,2021-12-09T01:10:49Z,70000,147.0,4.0,1,right,MISS J. Hart 14' step back Shot,[1628404],1610612740.0,NOP,step back,,,Hart,J. Hart,,,,,14.71,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2021-12-09T01:10:41.2Z,1,REGULAR,rebound,offensive,[],202685,,,1610612740,0,0,2021-12-09T01:10:49Z,80000,,,0,,J. Valanciunas REBOUND (Off:1 Def:0),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
9,PT11M34.00S,2021-12-09T01:10:49.2Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612740,0,0,2021-12-09T01:11:19Z,90000,,,0,,NOP shot clock Team TURNOVER,[],1610612740.0,NOP,,,,,,,,,,,,,,,,203177.0,,,,,,,,,,,,,,
10,PT11M13.00S,2021-12-09T01:11:13.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203115,11.383048620236531,58.82352941176471,1610612743,0,2,2021-12-09T01:12:00Z,100000,-44.0,55.0,1,left,W. Barton 7' turnaround Jump Shot (2 PTS),[203115],1610612743.0,DEN,turnaround,,,Barton,W. Barton,,,,,7.01,Made,,,,,,2.0,,,,,,,,,,,,,
11,PT10M59.00S,2021-12-09T01:11:26.6Z,1,REGULAR,3pt,Jump Shot,[],1630529,74.98357424441524,14.950980392156863,1610612740,3,2,2021-12-09T01:11:31Z,110000,-175.0,183.0,1,right,H. Jones 25' 3PT  (3 PTS) (J. Hart 1 AST),"[1630529, 1628404]",1610612740.0,NOP,,,,Jones,H. Jones,,,,,25.31,Made,,,,,,3.0,J. Hart,1628404.0,1.0,,,,,,,,,,
13,PT10M37.00S,2021-12-09T01:11:48.4Z,1,REGULAR,3pt,Jump Shot,[],203115,26.888961892247043,14.705882352941178,1610612743,3,5,2021-12-09T01:12:38Z,130000,176.0,200.0,1,left,W. Barton 26' 3PT pullup (5 PTS),[203115],1610612743.0,DEN,pullup,,,Barton,W. Barton,,,,,26.7,Made,,,,,,5.0,,,,,,,,,,,,,
14,PT10M24.00S,2021-12-09T01:12:01.7Z,1,REGULAR,2pt,Jump Shot,[],202685,91.80354796320631,74.26470588235294,1610612740,3,5,2021-12-09T01:12:07Z,140000,121.0,25.0,1,right,MISS J. Valanciunas 12' Jump Shot,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,12.37,Missed,,,,,,,,,,,,,,,,,,,
15,PT10M21.00S,2021-12-09T01:12:04.7Z,1,REGULAR,rebound,defensive,[],201145,,,1610612743,3,5,2021-12-09T01:12:07Z,150000,,,0,,J. Green REBOUND (Off:0 Def:1),[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
