actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-10-31T00:40:36.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-10-31T00:40:36Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-10-31T00:40:39.0Z,1,REGULAR,jumpball,recovered,[],1630170,,,1610612759,0,0,2025-10-31T00:40:39Z,40000,False,,,0,,Jump Ball V. Wembanyama vs. K. Ware: Tip to D. Vassell,"[1630170, 1641705, 1642276]",1610612759.0,SAS,startperiod,D. Vassell,1630170.0,Vassell,D. Vassell,Wembanyama,1641705.0,Ware,1642276.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2025-10-31T00:40:51.2Z,1,REGULAR,3pt,Jump Shot,[],1630170,88.25558475689881,96.07843137254902,1610612759,3,0,2025-10-31T00:40:58Z,70000,False,230.0,58.0,1,right,D. Vassell 3PT  (3 PTS) (V. Wembanyama 1 AST),"[1630170, 1641705]",1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Right Corner 3,24+ Right,23.76,Made,3.0,V. Wembanyama,1641705.0,1.0,,,,,,,,,,,,,,
9,PT11M28.00S,2025-10-31T00:41:08.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630558,6.915243101182654,48.529411764705884,1610612748,3,2,2025-10-31T00:41:17Z,90000,False,7.0,13.0,1,left,D. Mitchell driving reverse Layup (2 PTS) (K. Ware 1 AST),"[1630558, 1642276]",1610612748.0,MIA,driving reverse,,,Mitchell,D. Mitchell,,,,,Restricted Area,0-8 Center,1.45,Made,2.0,K. Ware,1642276.0,1.0,,,,,,,,,,,,,,
10,PT11M10.00S,2025-10-31T00:41:25.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630577,92.19776609724047,50.98039215686274,1610612759,5,2,2025-10-31T00:41:37Z,100000,False,5.0,21.0,1,right,J. Champagnie cutting finger roll Layup (2 PTS) (H. Barnes 1 AST),"[1630577, 203084]",1610612759.0,SAS,cutting finger roll,,,Champagnie,J. Champagnie,,,,,Restricted Area,0-8 Center,2.14,Made,2.0,H. Barnes,203084.0,1.0,,,,,,,,,,,,,,
12,PT11M00.00S,2025-10-31T00:41:35.7Z,1,REGULAR,turnover,lost ball,[],1628389,,,1610612748,5,2,2025-10-31T00:41:43Z,120000,False,,,0,,B. Adebayo lost ball TURNOVER (1 TO),"[1628389, 203084]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Mid-Range,8-16 Right,,,,,,,1.0,Barnes,203084.0,,,,,,,,,,,
13,PT11M00.00S,2025-10-31T00:41:35.7Z,1,REGULAR,steal,,[],203084,,,1610612759,5,2,2025-10-31T00:41:38Z,130000,False,,,0,,H. Barnes STEAL (1 STL),[203084],1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
14,PT10M56.00S,2025-10-31T00:41:39.8Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1641705,66.96780551905388,60.29411764705882,1610612759,5,2,2025-10-31T02:56:51Z,140000,False,51.0,258.0,1,right,MISS V. Wembanyama 26' running 3PT,[1641705],1610612759.0,SAS,running,,,Wembanyama,V. Wembanyama,,,,,Above the Break 3,24+ Center,26.31,Missed,,,,,,,,,,,,,,,,,,
15,PT10M53.00S,2025-10-31T00:41:42.8Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,5,2,2025-10-31T00:41:42Z,150000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Center,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,
16,PT10M46.00S,2025-10-31T00:41:50.0Z,1,REGULAR,3pt,Jump Shot,[],203952,15.456636005256241,5.147058823529411,1610612748,5,2,2025-10-31T00:41:55Z,160000,False,224.0,93.0,1,left,MISS A. Wiggins 24' 3PT,[203952],1610612748.0,MIA,,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Right,24.27,Missed,,,,,,,,,,,,,,,,,,
