actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-12-03T01:10:32.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-03T01:10:32Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-12-03T01:10:34.9Z,1,REGULAR,jumpball,recovered,[],203084,,,1610612759,0,0,2025-12-03T01:10:34Z,40000,False,,,0,,Jump Ball L. Kornet vs. Z. Edey: Tip to H. Barnes,"[203084, 1628436, 1641744]",1610612759.0,SAS,startperiod,H. Barnes,203084.0,Barnes,H. Barnes,Kornet,1628436.0,Edey,1641744.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2025-12-03T01:10:47.9Z,1,REGULAR,turnover,out-of-bounds,[],1628368,,,1610612759,0,0,2025-12-03T01:10:55Z,70000,False,,,0,,D. Fox bad pass out-of-bounds TURNOVER (1 TO),[1628368],1610612759.0,SAS,bad pass,,,Fox,D. Fox,,,,,Above the Break 3,24+ Left Center,1628954.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M26.00S,2025-12-03T01:11:11.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1642377,10.463206307490145,34.80392156862745,1610612763,0,0,2025-12-03T01:11:16Z,80000,False,76.0,46.0,1,left,MISS J. Wells 8' driving floating Shot,[1642377],1610612763.0,MEM,driving floating,,,Wells,J. Wells,,,,,In The Paint (Non-RA),8-16 Right,,,8.88,Missed,,,,,,,,,,,,,,,,
9,PT11M26.00S,2025-12-03T01:11:11.4Z,1,REGULAR,rebound,offensive,[],1641744,,,1610612763,0,0,2025-12-03T01:11:16Z,90000,False,,,0,,Z. Edey REBOUND (Off:1 Def:0),[1641744],1610612763.0,MEM,,,,Edey,Z. Edey,,,,,In The Paint (Non-RA),8-16 Right,,,,,8.0,1.0,0.0,1.0,,,,,,,,,,,,
10,PT11M26.00S,2025-12-03T01:11:15.3Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint', 'fromturnover']",1641744,5.590000152587891,50.0,1610612763,0,0,2025-12-03T01:11:30Z,100000,False,0.0,0.0,1,left,MISS Z. Edey tip Layup,[1641744],1610612763.0,MEM,tip,,,Edey,Z. Edey,,,,,Restricted Area,0-8 Center,,,0.0,Missed,,,,,,,,,,,,,,,,
11,PT11M26.00S,2025-12-03T01:11:15.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612763,0,0,2025-12-03T01:11:30Z,110000,False,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,Restricted Area,0-8 Center,,,,,10.0,,,,,,,,,,,,,,,
13,PT11M18.00S,2025-12-03T01:11:44.0Z,1,REGULAR,turnover,lost ball,[],1631246,,,1610612763,0,0,2025-12-03T01:11:49Z,130000,False,,,0,,V. Williams Jr. lost ball TURNOVER (1 TO),"[1631246, 1628368]",1610612763.0,MEM,,,,Williams Jr.,V. Williams Jr.,,,,,Above the Break 3,24+ Center,,1.0,,,,,,,Fox,1628368.0,,,,,,,,,,
14,PT11M18.00S,2025-12-03T01:11:44.0Z,1,REGULAR,steal,,[],1628368,,,1610612759,0,0,2025-12-03T01:11:46Z,140000,False,,,0,,D. Fox STEAL (1 STL),[1628368],1610612759.0,SAS,,,,Fox,D. Fox,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
15,PT11M13.00S,2025-12-03T01:11:48.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628368,94.03745072273325,48.03921568627451,1610612759,0,0,2025-12-03T01:11:59Z,150000,False,-10.0,4.0,1,right,MISS D. Fox running Layup - blocked,"[1628368, 1631246]",1610612759.0,SAS,running,,,Fox,D. Fox,,,,,Restricted Area,0-8 Center,,,1.04,Missed,,,,,,,Williams Jr.,1631246.0,,,,,,,,
16,PT11M13.00S,2025-12-03T01:11:48.3Z,1,REGULAR,block,,[],1631246,,,1610612759,0,0,2025-12-03T01:11:51Z,160000,False,,,0,,V. Williams Jr. BLOCK (1 BLK),[1631246],1610612763.0,MEM,,,,Williams Jr.,V. Williams Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
17,PT11M09.00S,2025-12-03T01:11:52.3Z,1,REGULAR,rebound,defensive,[],1642907,,,1610612763,0,0,2025-12-03T01:11:59Z,170000,False,,,0,,C. Coward REBOUND (Off:0 Def:1),[1642907],1610612763.0,MEM,,,,Coward,C. Coward,,,,,Restricted Area,0-8 Center,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,
18,PT11M06.00S,2025-12-03T01:11:55.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1631246,10.85742444152431,3.6764705882352944,1610612763,0,0,2025-12-03T01:12:55Z,180000,False,232.0,50.0,1,left,MISS V. Williams Jr. running 3PT,[1631246],1610612763.0,MEM,running,,,Williams Jr.,V. Williams Jr.,,,,,Right Corner 3,24+ Right,,,23.69,Missed,,,,,,,,,,,,,,,,
19,PT11M03.00S,2025-12-03T01:11:58.9Z,1,REGULAR,rebound,defensive,[],1630170,,,1610612759,0,0,2025-12-03T01:31:38Z,190000,False,,,0,,D. Vassell REBOUND (Off:0 Def:1),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Right Corner 3,24+ Right,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,
20,PT10M52.00S,2025-12-03T01:12:09.2Z,1,REGULAR,3pt,Jump Shot,[],1630577,66.83639947437582,35.78431372549019,1610612759,0,0,2025-12-03T01:12:13Z,200000,False,-71.0,259.0,1,right,MISS J. Champagnie 26' 3PT,[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Above the Break 3,24+ Center,,,26.88,Missed,,,,,,,,,,,,,,,,
21,PT10M50.00S,2025-12-03T01:12:11.2Z,1,REGULAR,rebound,defensive,[],1631246,,,1610612763,0,0,2025-12-03T01:12:13Z,210000,False,,,0,,V. Williams Jr. REBOUND (Off:0 Def:1),[1631246],1610612763.0,MEM,,,,Williams Jr.,V. Williams Jr.,,,,,Above the Break 3,24+ Center,,,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,
22,PT10M38.00S,2025-12-03T01:12:24.3Z,1,REGULAR,3pt,Jump Shot,[],1642377,5.469776609724048,96.81372549019608,1610612763,0,3,2025-12-03T01:12:28Z,220000,False,-234.0,-1.0,1,left,J. Wells 3PT  (3 PTS) (V. Williams Jr. 1 AST),"[1642377, 1631246]",1610612763.0,MEM,,,,Wells,J. Wells,,,,,Left Corner 3,24+ Left,,,23.41,Made,,,,,,,,,3.0,V. Williams Jr.,1631246.0,1.0,,,,
25,PT10M23.00S,2025-12-03T01:12:48.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628368,94.43166885676742,46.07843137254902,1610612759,0,3,2025-12-03T01:12:56Z,250000,False,-20.0,0.0,1,right,MISS D. Fox driving Layup,[1628368],1610612759.0,SAS,driving,,,Fox,D. Fox,,,,,Restricted Area,0-8 Center,,,1.96,Missed,,,,,,,,,,,,,,,,
26,PT10M21.00S,2025-12-03T01:12:50.1Z,1,REGULAR,rebound,defensive,[],1631246,,,1610612763,0,3,2025-12-03T01:32:08Z,260000,False,,,0,,V. Williams Jr. REBOUND (Off:0 Def:2),[1631246],1610612763.0,MEM,,,,Williams Jr.,V. Williams Jr.,,,,,Restricted Area,0-8 Center,,,,,25.0,2.0,2.0,0.0,,,,,,,,,,,,
27,PT10M07.00S,2025-12-03T01:13:04.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642907,16.63929040735874,49.01960784313725,1610612763,0,3,2025-12-03T01:14:07Z,270000,False,5.0,104.0,1,left,MISS C. Coward 10' fadeaway Shot,[1642907],1610612763.0,MEM,fadeaway,,,Coward,C. Coward,,,,,In The Paint (Non-RA),8-16 Center,,,10.4,Missed,,,,,,,,,,,,,,,,
28,PT10M03.00S,2025-12-03T01:13:08.7Z,1,REGULAR,rebound,defensive,[],1630577,,,1610612759,0,3,2025-12-03T01:13:10Z,280000,False,,,0,,J. Champagnie REBOUND (Off:0 Def:1),[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,In The Paint (Non-RA),8-16 Center,,,,,27.0,1.0,1.0,0.0,,,,,,,,,,,,
29,PT09M51.00S,2025-12-03T01:13:20.9Z,1,REGULAR,2pt,Jump Shot,[],1630170,90.75229960578186,73.52941176470588,1610612759,0,3,2025-12-03T01:14:28Z,290000,False,118.0,34.0,1,right,MISS D. Vassell 12' step back Shot,[1630170],1610612759.0,SAS,step back,,,Vassell,D. Vassell,,,,,Mid-Range,8-16 Right,,,12.25,Missed,,,,,,,,,,,,,,,,
30,PT09M49.00S,2025-12-03T01:13:22.9Z,1,REGULAR,rebound,defensive,[],1641744,,,1610612763,0,3,2025-12-03T01:13:24Z,300000,False,,,0,,Z. Edey REBOUND (Off:1 Def:1),[1641744],1610612763.0,MEM,,,,Edey,Z. Edey,,,,,Mid-Range,8-16 Right,,,,,29.0,2.0,1.0,1.0,,,,,,,,,,,,
31,PT09M40.00S,2025-12-03T01:13:31.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631246,14.273981603153747,43.13725490196079,1610612763,0,3,2025-12-03T01:14:46Z,310000,False,34.0,82.0,1,left,MISS V. Williams Jr. 8' driving floating Shot,[1631246],1610612763.0,MEM,driving floating,,,Williams Jr.,V. Williams Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,8.86,Missed,,,,,,,,,,,,,,,,
32,PT09M38.00S,2025-12-03T01:13:33.6Z,1,REGULAR,rebound,defensive,[],1630170,,,1610612759,0,3,2025-12-03T01:13:35Z,320000,False,,,0,,D. Vassell REBOUND (Off:0 Def:2),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,In The Paint (Non-RA),8-16 Center,,,,,31.0,2.0,2.0,0.0,,,,,,,,,,,,
33,PT09M24.00S,2025-12-03T01:13:47.6Z,1,REGULAR,3pt,Jump Shot,[],203084,67.49342969776609,46.568627450980394,1610612759,3,3,2025-12-03T01:13:51Z,330000,False,-17.0,253.0,1,right,H. Barnes 25' 3PT pullup (3 PTS),[203084],1610612759.0,SAS,pullup,,,Barnes,H. Barnes,,,,,Above the Break 3,24+ Center,,,25.37,Made,,,,,,,,,3.0,,,,,,,
34,PT09M11.00S,2025-12-03T01:14:03.9Z,1,REGULAR,foul,personal,[],1630170,,,1610612763,3,3,2025-12-03T01:14:19Z,340000,False,,,0,,D. Vassell personal FOUL (1 PF),"[1630170, 1641744]",1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Restricted Area,0-8 Center,1662.0,,,,,,,,,,,,,,,,1.0,0.0,Edey,1641744.0
36,PT09M06.00S,2025-12-03T01:14:27.1Z,1,REGULAR,3pt,Jump Shot,[],1642377,10.726018396846255,2.941176470588235,1610612763,3,6,2025-12-03T01:14:32Z,360000,False,235.0,48.0,1,left,J. Wells 24' 3PT  (6 PTS) (J. Jackson Jr. 1 AST),"[1642377, 1628991]",1610612763.0,MEM,,,,Wells,J. Wells,,,,,Right Corner 3,24+ Right,,,24.02,Made,,,,,,,,,6.0,J. Jackson Jr.,1628991.0,1.0,,,,
38,PT08M51.00S,2025-12-03T01:14:45.8Z,1,REGULAR,foul,personal,[],1641744,,,1610612759,3,6,2025-12-03T01:14:53Z,380000,False,,,0,,Z. Edey personal FOUL (1 PF),"[1641744, 1628436]",1610612763.0,MEM,,,,Edey,Z. Edey,,,,,In The Paint (Non-RA),0-8 Center,1662.0,,,,,,,,,,,,,,,,1.0,0.0,Kornet,1628436.0
40,PT08M44.00S,2025-12-03T01:15:11.0Z,1,REGULAR,foul,personal,['2freethrow'],1641744,,,1610612759,3,6,2025-12-03T01:15:26Z,400000,False,,,0,,Z. Edey shooting personal FOUL (2 PF) (Kornet 2 FT),"[1641744, 1628436]",1610612763.0,MEM,shooting,,,Edey,Z. Edey,,,,,Restricted Area,0-8 Center,1628954.0,,,,,,,,,,,,,,,,2.0,0.0,Kornet,1628436.0
42,PT08M44.00S,2025-12-03T01:15:33.0Z,1,REGULAR,freethrow,1 of 2,[],1628436,,,1610612759,4,6,2025-12-03T01:15:33Z,420000,False,,,0,,L. Kornet Free Throw 1 of 2 (1 PTS),[1628436],1610612759.0,SAS,,,,Kornet,L. Kornet,,,,,,,,,,Made,,,,,,,,,1.0,,,,,,,
43,PT08M44.00S,2025-12-03T01:15:48.4Z,1,REGULAR,freethrow,2 of 2,[],1628436,,,1610612759,5,6,2025-12-03T01:15:48Z,430000,False,,,0,,L. Kornet Free Throw 2 of 2 (2 PTS),[1628436],1610612759.0,SAS,,,,Kornet,L. Kornet,,,,,,,,,,Made,,,,,,,,,2.0,,,,,,,
44,PT08M17.00S,2025-12-03T01:16:15.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1641744,6.389618922470433,49.754901960784316,1610612763,5,8,2025-12-03T01:16:24Z,440000,False,1.0,8.0,1,left,Z. Edey DUNK (2 PTS),[1641744],1610612763.0,MEM,,,,Edey,Z. Edey,,,,,Restricted Area,0-8 Center,,,0.77,Made,,,,,,,,,2.0,,,,,,,
45,PT08M00.00S,2025-12-03T01:16:33.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630170,84.31340341655716,48.03921568627451,1610612759,5,8,2025-12-03T01:16:41Z,450000,False,-10.0,95.0,1,right,MISS D. Vassell 9' pullup Shot,[1630170],1610612759.0,SAS,pullup,,,Vassell,D. Vassell,,,,,In The Paint (Non-RA),8-16 Center,,,9.55,Missed,,,,,,,,,,,,,,,,
46,PT07M56.00S,2025-12-03T01:16:37.3Z,1,REGULAR,rebound,defensive,[],1642907,,,1610612763,5,8,2025-12-03T01:16:41Z,460000,False,,,0,,C. Coward REBOUND (Off:0 Def:2),[1642907],1610612763.0,MEM,,,,Coward,C. Coward,,,,,In The Paint (Non-RA),8-16 Center,,,,,45.0,2.0,2.0,0.0,,,,,,,,,,,,
47,PT07M53.00S,2025-12-03T01:16:40.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1642907,5.863994743758213,47.30392156862745,1610612763,5,10,2025-12-03T01:16:45Z,470000,False,13.0,3.0,1,left,C. Coward running reverse Layup (2 PTS),[1642907],1610612763.0,MEM,running reverse,,,Coward,C. Coward,,,,,Restricted Area,0-8 Center,,,1.37,Made,,,,,,,,,2.0,,,,,,,
48,PT07M53.00S,2025-12-03T01:16:44.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612759,5,10,2025-12-03T01:16:44Z,480000,False,,,0,,SAS Timeout,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT07M53.00S,2025-12-03T01:19:08.0Z,1,REGULAR,substitution,out,[],1628991,,,1610612759,5,10,2025-12-03T01:19:42Z,490000,False,,,0,,SUB out: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT07M53.00S,2025-12-03T01:19:08.0Z,1,REGULAR,substitution,in,[],1630583,,,1610612759,5,10,2025-12-03T01:19:42Z,500000,False,,,0,,SUB in: S. Aldama,[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT07M44.00S,2025-12-03T01:19:52.3Z,1,REGULAR,foul,personal,[],1642907,,,1610612759,5,10,2025-12-03T01:19:59Z,510000,False,,,0,,C. Coward personal FOUL (1 PF),"[1642907, 203084]",1610612763.0,MEM,,,,Coward,C. Coward,,,,,Above the Break 3,24+ Left Center,1662.0,,,,,,,,,,,,,,,,1.0,0.0,Barnes,203084.0
