actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-02-07T23:13:00.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-02-07T23:13:00Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-02-07T23:13:01.9Z,1,REGULAR,jumpball,recovered,[],1630170,,,1610612759,0,0,2026-02-07T23:13:01Z,40000,False,,,0,,Jump Ball V. Wembanyama vs. D. Gafford: Tip to D. Vassell,"[1630170, 1641705, 1629655]",1610612759.0,SAS,startperiod,D. Vassell,1630170.0,Vassell,D. Vassell,Wembanyama,1641705.0,Gafford,1629655.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2026-02-07T23:13:17.7Z,1,REGULAR,foul,personal,[],1629655,,,1610612759,0,0,2026-02-07T23:13:29Z,70000,False,,,0,,D. Gafford personal FOUL (1 PF),"[1629655, 1641705]",1610612742.0,DAL,,,,Gafford,D. Gafford,,,,,Restricted Area,0-8 Center,2530.0,1.0,0.0,Wembanyama,1641705.0,,,,,,,,,,,,,,,
9,PT11M40.00S,2026-02-07T23:13:42.3Z,1,REGULAR,3pt,Jump Shot,[],1628368,88.12417871222075,95.09803921568627,1610612759,0,0,2026-02-07T23:13:53Z,90000,False,225.0,59.0,1,right,MISS D. Fox pullup 3PT,[1628368],1610612759.0,SAS,pullup,,,Fox,D. Fox,,,,,Right Corner 3,24+ Right,,,,,,23.31,Missed,,,,,,,,,,,,,
10,PT11M36.00S,2026-02-07T23:13:46.3Z,1,REGULAR,rebound,offensive,[],1630170,,,1610612759,0,0,2026-02-07T23:13:53Z,100000,False,,,0,,D. Vassell REBOUND (Off:1 Def:0),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Right Corner 3,24+ Right,,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,
12,PT11M29.00S,2026-02-07T23:14:06.5Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1630170,84.31340341655716,73.0392156862745,1610612759,0,0,2026-02-08T00:27:19Z,120000,False,115.0,95.0,1,right,MISS D. Vassell 14' fadeaway Shot,[1630170],1610612759.0,SAS,fadeaway,,,Vassell,D. Vassell,,,,,Mid-Range,8-16 Right,,,,,,14.93,Missed,,,,,,,,,,,,,
13,PT11M27.00S,2026-02-07T23:14:08.5Z,1,REGULAR,rebound,defensive,[],1630230,,,1610612742,0,0,2026-02-07T23:14:10Z,130000,False,,,0,,N. Marshall REBOUND (Off:0 Def:1),[1630230],1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,Mid-Range,8-16 Right,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,
14,PT11M04.00S,2026-02-07T23:14:31.1Z,1,REGULAR,3pt,Jump Shot,[],1630230,4.155716162943495,3.6764705882352944,1610612742,0,0,2026-02-07T23:14:35Z,140000,False,232.0,-13.0,1,left,MISS N. Marshall 3PT,[1630230],1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,Right Corner 3,24+ Right,,,,,,23.2,Missed,,,,,,,,,,,,,
15,PT11M02.00S,2026-02-07T23:14:33.3Z,1,REGULAR,rebound,defensive,[],1630577,,,1610612759,0,0,2026-02-07T23:14:33Z,150000,False,,,0,,J. Champagnie REBOUND (Off:0 Def:1),[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Right Corner 3,24+ Right,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,
16,PT10M58.00S,2026-02-07T23:14:37.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1641705,83.13074901445466,92.8921568627451,1610612759,0,0,2026-02-07T23:14:45Z,160000,False,214.0,106.0,1,right,MISS V. Wembanyama running 3PT,[1641705],1610612759.0,SAS,running,,,Wembanyama,V. Wembanyama,,,,,Above the Break 3,24+ Right Center,,,,,,23.93,Missed,,,,,,,,,,,,,
17,PT10M54.00S,2026-02-07T23:14:41.9Z,1,REGULAR,rebound,defensive,[],1631108,,,1610612742,0,0,2026-02-07T23:14:45Z,170000,False,,,0,,M. Christie REBOUND (Off:0 Def:1),[1631108],1610612742.0,DAL,,,,Christie,M. Christie,,,,,Above the Break 3,24+ Right Center,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,
18,PT10M45.00S,2026-02-07T23:14:50.2Z,1,REGULAR,turnover,bad pass,[],1628997,,,1610612742,0,0,2026-02-07T23:14:57Z,180000,False,,,0,,C. Martin bad pass TURNOVER (1 TO),"[1628997, 1642264]",1610612742.0,DAL,,,,Martin,C. Martin,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,1.0,Castle,1642264.0,,,,,,
19,PT10M45.00S,2026-02-07T23:14:50.2Z,1,REGULAR,steal,,[],1642264,,,1610612759,0,0,2026-02-07T23:14:53Z,190000,False,,,0,,S. Castle STEAL (1 STL),[1642264],1610612759.0,SAS,,,,Castle,S. Castle,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,,,,,,,
20,PT10M41.00S,2026-02-07T23:14:54.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1641705,93.24901445466492,49.50980392156863,1610612759,2,0,2026-02-07T23:15:04Z,200000,False,-2.0,11.0,1,right,V. Wembanyama running alley-oop DUNK (2 PTS) (D. Fox 1 AST),"[1641705, 1628368]",1610612759.0,SAS,running alley-oop,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,,,,,,1.13,Made,,,,,,,,2.0,D. Fox,1628368.0,1.0,,
