actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-12-28T01:11:11.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-28T01:11:11Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2025-12-28T01:11:15.5Z,1,REGULAR,jumpball,recovered,[],1642264,,,1610612759,0,0,2025-12-28T01:11:15Z,40000,False,,,0,,Jump Ball V. Wembanyama vs. J. Nurkić: Tip to S. Castle,"[1642264, 1641705, 203994]",1610612759.0,SAS,startperiod,S. Castle,1642264.0,Castle,S. Castle,Wembanyama,1641705.0,Nurkić,203994.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2025-12-28T01:11:33.2Z,1,REGULAR,3pt,Jump Shot,[],1642264,5.469776609724048,96.32352941176471,1610612759,0,0,2025-12-28T01:11:40Z,70000,False,-232.0,-1.0,1,left,MISS S. Castle 3PT,[1642264],1610612759.0,SAS,,,,Castle,S. Castle,,,,,Left Corner 3,24+ Left,23.16,Missed,,,,,,,,,,,,,,,,,,
8,PT11M30.00S,2025-12-28T01:11:40.2Z,1,REGULAR,rebound,defensive,[],1641729,,,1610612762,0,0,2025-12-28T01:11:40Z,80000,False,,,0,,B. Sensabaugh REBOUND (Off:0 Def:1),[1641729],1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,Left Corner 3,24+ Left,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M20.00S,2025-12-28T01:11:49.5Z,1,REGULAR,2pt,Jump Shot,[],1641729,83.78777923784494,33.088235294117645,1610612762,0,2,2025-12-28T01:11:54Z,90000,False,-85.0,100.0,1,right,B. Sensabaugh 13' turnaround fadeaway Jump Shot (2 PTS) (L. Markkanen 1 AST),"[1641729, 1628374]",1610612762.0,UTA,turnaround fadeaway,,,Sensabaugh,B. Sensabaugh,,,,,Mid-Range,8-16 Left,13.09,Made,,,,,2.0,L. Markkanen,1628374.0,1.0,,,,,,,,,,
11,PT10M58.00S,2025-12-28T01:12:11.2Z,1,REGULAR,3pt,Jump Shot,[],1641705,33.590670170827856,55.63725490196079,1610612759,0,2,2025-12-28T01:12:16Z,110000,False,-28.0,263.0,1,left,MISS V. Wembanyama 26' pullup 3PT,[1641705],1610612759.0,SAS,pullup,,,Wembanyama,V. Wembanyama,,,,,Above the Break 3,24+ Center,26.48,Missed,,,,,,,,,,,,,,,,,,
12,PT10M55.00S,2025-12-28T01:12:14.2Z,1,REGULAR,rebound,defensive,[],1641718,,,1610612762,0,2,2025-12-28T01:12:16Z,120000,False,,,0,,K. George REBOUND (Off:0 Def:1),[1641718],1610612762.0,UTA,,,,George,K. George,,,,,Above the Break 3,24+ Center,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
54,PT10M45.00S,2025-12-28T01:12:20.3Z,1,REGULAR,turnover,bad pass,[],1641718,,,1610612762,0,2,2025-12-28T01:22:13Z,125000,False,,,0,,K. George bad pass TURNOVER (1 TO),[1641718],1610612762.0,UTA,,,,George,K. George,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,1.0,,,,,,,,,
13,PT10M44.00S,2025-12-28T01:12:29.4Z,1,REGULAR,foul,personal,[],203994,,,1610612759,0,2,2025-12-28T01:22:13Z,130000,False,,,0,,J. Nurkić loose ball personal FOUL (1 PF),"[203994, 1642264]",1610612762.0,UTA,loose ball,,,Nurkić,J. Nurkić,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,204059.0,1.0,0.0,Castle,1642264.0,,,,
16,PT10M33.00S,2025-12-28T01:12:53.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1641705,6.389618922470433,49.754901960784316,1610612759,0,2,2025-12-28T01:22:13Z,160000,False,1.0,8.0,1,left,MISS V. Wembanyama alley-oop Layup,[1641705],1610612759.0,SAS,alley-oop,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,0.77,Missed,,,,,,,,,,,,,,,,,,
17,PT10M30.00S,2025-12-28T01:12:56.1Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612762,0,2,2025-12-28T01:12:57Z,170000,False,,,0,,L. Markkanen REBOUND (Off:0 Def:1),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Restricted Area,0-8 Center,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,
18,PT10M21.00S,2025-12-28T01:13:08.7Z,1,REGULAR,turnover,out-of-bounds,[],1641718,,,1610612762,0,2,2025-12-28T01:13:26Z,180000,False,,,0,,K. George step out-of-bounds TURNOVER (2 TO),[1641718],1610612762.0,UTA,step,,,George,K. George,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,2.0,202901.0,,,,,,,,
