actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotDistance,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-01-08T02:43:27.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-08T02:43:27Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-01-08T02:43:30.0Z,1,REGULAR,jumpball,recovered,[],1631222,,,1610612747,0,0,2026-01-08T02:43:30Z,40000,False,,,0,,Jump Ball D. Ayton vs. L. Kornet: Tip to J. LaRavia,"[1631222, 1629028, 1628436]",1610612747.0,LAL,startperiod,J. LaRavia,1631222.0,LaRavia,J. LaRavia,Ayton,1629028.0,Kornet,1628436.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M49.00S,2026-01-08T02:43:40.0Z,1,REGULAR,turnover,out-of-bounds,[],1629020,,,1610612747,0,0,2026-01-08T02:43:52Z,70000,False,,,0,,J. Vanderbilt lost ball out-of-bounds TURNOVER (1 TO),[1629020],1610612747.0,LAL,lost ball,,,Vanderbilt,J. Vanderbilt,,,,,Above the Break 3,24+ Right Center,2530.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M29.00S,2026-01-08T02:44:09.0Z,1,REGULAR,foul,personal,['2freethrow'],1629020,,,1610612759,0,0,2026-01-08T02:44:29Z,80000,False,,,0,,J. Vanderbilt shooting personal FOUL (1 PF) (Barnes 2 FT),"[1629020, 203084]",1610612747.0,LAL,shooting,,,Vanderbilt,J. Vanderbilt,,,,,Restricted Area,0-8 Center,203592.0,,1.0,0.0,Barnes,203084.0,,,,,,,,,,,,,,
10,PT11M29.00S,2026-01-08T02:44:30.7Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],203084,,,1610612759,1,0,2026-01-08T02:44:45Z,100000,False,,,0,,H. Barnes Free Throw 1 of 2 (1 PTS),[203084],1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,
11,PT11M29.00S,2026-01-08T02:44:30.7Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],203084,,,1610612759,1,0,2026-01-08T02:44:45Z,110000,False,,,0,,MISS H. Barnes Free Throw 2 of 2,[203084],1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,,,,,,,,,Missed,,,,,,,,,,,,,
12,PT11M27.00S,2026-01-08T02:44:32.7Z,1,REGULAR,rebound,offensive,[],1630577,,,1610612759,1,0,2026-01-08T02:44:45Z,120000,False,,,0,,J. Champagnie REBOUND (Off:1 Def:0),[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,,,,,,,,,,,11.0,1.0,0.0,1.0,,,,,,,,
13,PT11M21.00S,2026-01-08T02:44:49.7Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1642264,88.51839684625493,95.83333333333334,1610612759,1,0,2026-01-08T02:44:54Z,130000,False,229.0,55.0,1,right,MISS S. Castle 3PT,[1642264],1610612759.0,SAS,,,,Castle,S. Castle,,,,,Right Corner 3,24+ Right,,,,,,,Missed,,,,,,23.58,,,,,,,
14,PT11M19.00S,2026-01-08T02:44:51.7Z,1,REGULAR,rebound,defensive,[],203935,,,1610612747,1,0,2026-01-08T02:44:54Z,140000,False,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612747.0,LAL,,,,Smart,M. Smart,,,,,Right Corner 3,24+ Right,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,
15,PT11M05.00S,2026-01-08T02:45:05.6Z,1,REGULAR,2pt,Jump Shot,[],1629029,12.565703022339028,73.2843137254902,1610612747,1,0,2026-01-08T05:06:42Z,150000,False,-116.0,66.0,1,left,MISS L. Dončić 13' driving floating Shot,[1629029],1610612747.0,LAL,driving floating,,,Dončić,L. Dončić,,,,,Mid-Range,8-16 Left,,,,,,,Missed,,,,,,13.36,,,,,,,
