actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-01-01T00:10:44.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-01T00:10:44Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-01-01T00:10:46.9Z,1,REGULAR,jumpball,recovered,[],1642264,,,1610612759,0,0,2026-01-01T00:10:46Z,40000,False,,,0,,Jump Ball V. Wembanyama vs. K. Towns: Tip to S. Castle,"[1642264, 1641705, 1626157]",1610612759.0,SAS,startperiod,S. Castle,1642264.0,Castle,S. Castle,Wembanyama,1641705.0,Towns,1626157.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2026-01-01T00:11:20.6Z,1,REGULAR,2pt,Jump Shot,[],1641705,83.78777923784494,18.38235294117647,1610612759,2,0,2026-01-01T00:11:26Z,80000,False,-158.0,100.0,1,right,V. Wembanyama 18' pullup Jump Shot (2 PTS),[1641705],1610612759.0,SAS,pullup,,,Wembanyama,V. Wembanyama,,,,,Mid-Range,16-24 Left,18.7,Made,2.0,,,,,,,,,,,,,,,,,
9,PT11M13.00S,2026-01-01T00:11:44.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628969,16.376478318002626,56.86274509803921,1610612752,2,2,2026-01-01T00:11:51Z,90000,False,-34.0,101.0,1,left,M. Bridges 10' pullup Jump Shot (2 PTS),[1628969],1610612752.0,NYK,pullup,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),8-16 Center,10.7,Made,2.0,,,,,,,,,,,,,,,,,
10,PT10M54.00S,2026-01-01T00:12:47.3Z,1,REGULAR,jumpball,recovered,[],1628973,,,1610612759,2,2,2026-01-01T00:12:47Z,100000,False,,,0,,Jump Ball O. Anunoby vs. V. Wembanyama: Tip to J. Brunson,"[1628973, 1628384, 1641705]",1610612752.0,NYK,heldball,J. Brunson,1628973.0,Brunson,J. Brunson,Anunoby,1628384.0,Wembanyama,1641705.0,,,,,,,,,,,,,,,,,,,,,,
13,PT10M54.00S,2026-01-01T00:12:47.3Z,1,REGULAR,turnover,lost ball,[],1641705,,,1610612759,2,2,2026-01-01T00:12:47Z,130000,False,,,0,,V. Wembanyama lost ball TURNOVER (1 TO),"[1641705, 1628384]",1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,,,,,,1.0,Anunoby,1628384.0,,,,,,,,,,,,,,
14,PT10M54.00S,2026-01-01T00:12:47.3Z,1,REGULAR,steal,,[],1628384,,,1610612752,2,2,2026-01-01T00:12:47Z,140000,False,,,0,,O. Anunoby STEAL (1 STL),[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PT10M52.00S,2026-01-01T00:12:49.3Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1628973,7.835085413929041,52.94117647058824,1610612752,2,4,2026-01-01T00:37:16Z,150000,False,-15.0,21.0,1,left,J. Brunson running Layup (2 PTS),[1628973],1610612752.0,NYK,running,,,Brunson,J. Brunson,,,,,Restricted Area,0-8 Center,2.57,Made,2.0,,,,,,,,,,,,,,,,,
16,PT10M29.00S,2026-01-01T00:13:14.8Z,1,REGULAR,foul,personal,['2freethrow'],1626157,,,1610612759,2,4,2026-01-01T00:13:27Z,160000,False,,,0,,K. Towns shooting personal FOUL (1 PF) (Barnes 2 FT),"[1626157, 203084]",1610612752.0,NYK,shooting,,,Towns,K. Towns,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,2882.0,1.0,0.0,Barnes,203084.0,,,,,,,,,
18,PT10M29.00S,2026-01-01T00:13:39.2Z,1,REGULAR,freethrow,1 of 2,[],203084,,,1610612759,2,4,2026-01-01T00:13:39Z,180000,False,,,0,,MISS H. Barnes Free Throw 1 of 2,[203084],1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
