actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2026-03-22T00:10:32.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-22T00:10:32Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-03-22T00:10:35.0Z,1,REGULAR,jumpball,recovered,[],1642844,,,1610612759,0,0,2026-03-22T00:10:35Z,40000,False,,,0,,Jump Ball V. Wembanyama vs. P. Siakam: Tip to D. Harper,"[1642844, 1641705, 1627783]",1610612759.0,SAS,startperiod,D. Harper,1642844.0,Harper,D. Harper,Wembanyama,1641705.0,Siakam,1627783.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2026-03-22T00:10:50.8Z,1,REGULAR,turnover,bad pass,[],1641705,,,1610612759,0,0,2026-03-22T00:13:16Z,70000,False,,,0,,V. Wembanyama bad pass TURNOVER (1 TO),"[1641705, 1627783]",1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Mid-Range,16-24 Left Center,1.0,Siakam,1627783.0,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2026-03-22T00:10:50.8Z,1,REGULAR,steal,,[],1627783,,,1610612754,0,0,2026-03-22T00:40:14Z,80000,False,,,0,,P. Siakam STEAL (1 STL),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
9,PT11M26.00S,2026-03-22T00:11:05.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630174,67.62483574244416,60.78431372549019,1610612754,0,0,2026-03-22T00:11:10Z,90000,False,54.0,252.0,1,right,MISS A. Nesmith 25' 3PT,[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Above the Break 3,24+ Center,,,,25.75,Missed,,,,,,,,,,,,,,,
10,PT11M23.00S,2026-03-22T00:11:08.8Z,1,REGULAR,rebound,defensive,[],203084,,,1610612759,0,0,2026-03-22T00:11:10Z,100000,False,,,0,,H. Barnes REBOUND (Off:0 Def:1),[203084],1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,Above the Break 3,24+ Center,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M07.00S,2026-03-22T00:11:24.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628368,7.046649145860711,48.28431372549019,1610612759,0,0,2026-03-22T00:11:28Z,110000,False,9.0,14.0,1,left,MISS D. Fox driving reverse Layup,[1628368],1610612759.0,SAS,driving reverse,,,Fox,D. Fox,,,,,Restricted Area,0-8 Center,,,,1.62,Missed,,,,,,,,,,,,,,,
12,PT11M05.00S,2026-03-22T00:11:26.8Z,1,REGULAR,rebound,defensive,[],1630174,,,1610612754,0,0,2026-03-22T00:11:28Z,120000,False,,,0,,A. Nesmith REBOUND (Off:0 Def:1),[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Restricted Area,0-8 Center,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,
14,PT10M51.00S,2026-03-22T00:11:58.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630174,81.15965834428384,49.50980392156863,1610612754,0,0,2026-03-22T00:12:03Z,140000,False,-2.0,125.0,1,right,MISS A. Nesmith 12' step back Shot,[1630174],1610612754.0,IND,step back,,,Nesmith,A. Nesmith,,,,,In The Paint (Non-RA),8-16 Center,,,,12.46,Missed,,,,,,,,,,,,,,,
15,PT10M49.00S,2026-03-22T00:12:00.6Z,1,REGULAR,rebound,defensive,[],1628368,,,1610612759,0,0,2026-03-22T00:12:03Z,150000,False,,,0,,D. Fox REBOUND (Off:0 Def:1),[1628368],1610612759.0,SAS,,,,Fox,D. Fox,,,,,In The Paint (Non-RA),8-16 Center,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,
16,PT10M43.00S,2026-03-22T00:12:06.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1641705,6.783837056504599,48.28431372549019,1610612759,0,0,2026-03-22T00:12:15Z,160000,False,9.0,11.0,1,left,MISS V. Wembanyama running alley-oop DUNK,[1641705],1610612759.0,SAS,running alley-oop,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,,,,1.42,Missed,,,,,,,,,,,,,,,
17,PT10M40.00S,2026-03-22T00:12:09.9Z,1,REGULAR,rebound,defensive,[],1631245,,,1610612754,0,0,2026-03-22T00:12:15Z,170000,False,,,0,,Q. Jackson REBOUND (Off:0 Def:1),[1631245],1610612754.0,IND,,,,Jackson,Q. Jackson,,,,,Restricted Area,0-8 Center,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,
18,PT10M32.00S,2026-03-22T00:12:18.6Z,1,REGULAR,turnover,bad pass,[],1627783,,,1610612754,0,0,2026-03-22T00:12:23Z,180000,False,,,0,,P. Siakam bad pass TURNOVER (1 TO),"[1627783, 1630577]",1610612754.0,IND,,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),0-8 Center,1.0,Champagnie,1630577.0,,,,,,,,,,,,,,,,,
19,PT10M32.00S,2026-03-22T00:12:18.6Z,1,REGULAR,steal,,[],1630577,,,1610612759,0,0,2026-03-22T00:12:20Z,190000,False,,,0,,J. Champagnie STEAL (1 STL),[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
20,PT10M26.00S,2026-03-22T00:12:24.8Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",203084,3.3672798948751645,95.58823529411765,1610612759,3,0,2026-03-22T00:12:37Z,200000,False,-228.0,-21.0,1,left,H. Barnes 3PT running (3 PTS) (D. Fox 1 AST),"[203084, 1628368]",1610612759.0,SAS,running,,,Barnes,H. Barnes,,,,,Left Corner 3,24+ Left,,,,22.88,Made,,,,,3.0,D. Fox,1628368.0,1.0,,,,,,,
22,PT10M06.00S,2026-03-22T00:12:43.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629614,93.77463863337714,50.0,1610612754,3,2,2026-03-22T00:12:50Z,220000,False,0.0,6.0,1,right,A. Nembhard cutting finger roll Layup (2 PTS) (Q. Jackson 1 AST),"[1629614, 1631245]",1610612754.0,IND,cutting finger roll,,,Nembhard,A. Nembhard,,,,,Restricted Area,0-8 Center,,,,0.6,Made,,,,,2.0,Q. Jackson,1631245.0,1.0,,,,,,,
24,PT09M55.00S,2026-03-22T00:12:55.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642844,7.5722733245729295,49.754901960784316,1610612759,5,2,2026-03-22T00:13:02Z,240000,False,1.0,19.0,1,left,D. Harper driving Layup (2 PTS),[1642844],1610612759.0,SAS,driving,,,Harper,D. Harper,,,,,Restricted Area,0-8 Center,,,,1.87,Made,,,,,2.0,,,,,,,,,,
25,PT09M46.00S,2026-03-22T00:13:03.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627783,92.32917214191852,49.50980392156863,1610612754,5,2,2026-03-22T00:15:02Z,250000,False,-2.0,20.0,1,right,MISS P. Siakam driving Layup - blocked,"[1627783, 1641705]",1610612754.0,IND,driving,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,,,,1.98,Missed,,,,,,,,,Wembanyama,1641705.0,,,,,
210,PT09M46.00S,2026-03-22T00:13:03.8Z,1,REGULAR,block,,[],1641705,,,1610612754,5,2,2026-03-22T00:43:37Z,260000,False,,,0,,V. Wembanyama BLOCK (1 BLK),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
27,PT09M43.00S,2026-03-22T00:13:06.8Z,1,REGULAR,rebound,defensive,[],1641705,,,1610612759,5,2,2026-03-22T00:13:11Z,270000,False,,,0,,V. Wembanyama REBOUND (Off:0 Def:1),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,,,,,,25.0,1.0,1.0,0.0,,,,,,,,,,,
28,PT09M41.00S,2026-03-22T00:13:09.5Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630577,6.521024967148489,50.245098039215684,1610612759,7,2,2026-03-22T00:13:26Z,280000,False,-1.0,9.0,1,left,J. Champagnie running finger roll Layup (2 PTS) (D. Fox 2 AST),"[1630577, 1628368]",1610612759.0,SAS,running finger roll,,,Champagnie,J. Champagnie,,,,,Restricted Area,0-8 Center,,,,0.89,Made,,,,,2.0,D. Fox,1628368.0,2.0,,,,,,,
30,PT09M41.00S,2026-03-22T00:13:14.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,7,2,2026-03-22T00:13:14Z,300000,False,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
