actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-03-06T01:10:44.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-06T01:10:44Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M59.00S,2026-03-06T01:10:47.7Z,1,REGULAR,jumpball,recovered,[],1630577,,,1610612759,0,0,2026-03-06T01:10:47Z,40000,False,,,0,,Jump Ball V. Wembanyama vs. J. Duren: Tip to J. Champagnie,"[1630577, 1641705, 1631105]",1610612759.0,SAS,startperiod,J. Champagnie,1630577.0,Champagnie,J. Champagnie,Wembanyama,1641705.0,Duren,1631105.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2026-03-06T01:11:10.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641705,94.56307490144546,54.90196078431373,1610612759,0,0,2026-03-06T01:11:15Z,70000,False,25.0,-1.0,1,right,MISS V. Wembanyama driving Layup - blocked,"[1641705, 1641709]",1610612759.0,SAS,driving,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,2.45,Missed,Thompson,1641709.0,,,,,,,,,,,,,,,,
8,PT11M35.00S,2026-03-06T01:11:10.1Z,1,REGULAR,block,,[],1641709,,,1610612759,0,0,2026-03-06T01:11:12Z,80000,False,,,0,,A. Thompson BLOCK (1 BLK),[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M35.00S,2026-03-06T01:11:10.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612759,0,0,2026-03-06T01:11:15Z,90000,False,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,Restricted Area,0-8 Center,,,,,7.0,,,,,,,,,,,,,,,
11,PT11M31.00S,2026-03-06T01:11:28.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1641705,68.41327201051249,76.22549019607843,1610612759,3,0,2026-03-06T01:11:36Z,110000,False,131.0,244.0,1,right,V. Wembanyama 27' 3PT  (3 PTS) (S. Castle 1 AST),"[1641705, 1642264]",1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Above the Break 3,24+ Right Center,27.73,Made,,,,3.0,S. Castle,1642264.0,1.0,,,,,,,,,,,
13,PT11M09.00S,2026-03-06T01:11:50.8Z,1,REGULAR,3pt,Jump Shot,[],1629130,23.340998685939553,13.725490196078432,1610612765,3,0,2026-03-06T01:11:57Z,130000,False,181.0,167.0,1,left,MISS D. Robinson 24' 3PT,[1629130],1610612765.0,DET,,,,Robinson,D. Robinson,,,,,Above the Break 3,24+ Right Center,24.65,Missed,,,,,,,,,,,,,,,,,,
14,PT11M06.00S,2026-03-06T01:11:53.8Z,1,REGULAR,rebound,defensive,[],1630577,,,1610612759,3,0,2026-03-06T01:11:57Z,140000,False,,,0,,J. Champagnie REBOUND (Off:0 Def:1),[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Above the Break 3,24+ Right Center,,,,,13.0,,,,,1.0,1.0,0.0,,,,,,,,
15,PT10M55.00S,2026-03-06T01:12:05.2Z,1,REGULAR,2pt,Jump Shot,[],1628368,72.48685939553219,27.696078431372552,1610612759,5,0,2026-03-06T01:12:24Z,150000,False,-112.0,206.0,1,right,D. Fox 23' pullup Jump Shot (2 PTS),[1628368],1610612759.0,SAS,pullup,,,Fox,D. Fox,,,,,Mid-Range,16-24 Left Center,23.43,Made,,,,2.0,,,,,,,,,,,,,,
16,PT10M39.00S,2026-03-06T01:12:21.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631105,5.863994743758213,52.94117647058824,1610612765,5,2,2026-03-06T01:12:27Z,160000,False,-15.0,3.0,1,left,J. Duren driving Layup (2 PTS) (C. Cunningham 1 AST),"[1631105, 1630595]",1610612765.0,DET,driving,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,1.49,Made,,,,2.0,C. Cunningham,1630595.0,1.0,,,,,,,,,,,
18,PT10M25.00S,2026-03-06T01:12:34.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641705,81.8166885676741,37.254901960784316,1610612759,7,2,2026-03-06T01:12:39Z,180000,False,-64.0,118.0,1,right,V. Wembanyama 13' turnaround Jump Shot (5 PTS) (J. Champagnie 1 AST),"[1641705, 1630577]",1610612759.0,SAS,turnaround,,,Wembanyama,V. Wembanyama,,,,,In The Paint (Non-RA),8-16 Center,13.44,Made,,,,5.0,J. Champagnie,1630577.0,1.0,,,,,,,,,,,
19,PT10M08.00S,2026-03-06T01:12:51.7Z,1,REGULAR,2pt,Jump Shot,[],1631105,21.107095926412615,56.372549019607845,1610612765,7,2,2026-03-06T01:12:54Z,190000,False,-32.0,146.0,1,left,MISS J. Duren 14' Jump Shot,[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Mid-Range,8-16 Center,14.93,Missed,,,,,,,,,,,,,,,,,,
20,PT10M06.00S,2026-03-06T01:12:53.5Z,1,REGULAR,rebound,defensive,[],1630170,,,1610612759,7,2,2026-03-06T01:12:53Z,200000,False,,,0,,D. Vassell REBOUND (Off:0 Def:1),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Mid-Range,8-16 Center,,,,,19.0,,,,,1.0,1.0,0.0,,,,,,,,
22,PT09M57.00S,2026-03-06T01:13:03.3Z,1,REGULAR,3pt,Jump Shot,[],1630577,95.6143232588699,3.9215686274509802,1610612759,7,2,2026-03-06T01:13:08Z,220000,False,-230.0,-11.0,1,right,MISS J. Champagnie 3PT,[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Left Corner 3,24+ Left,23.07,Missed,,,,,,,,,,,,,,,,,,
23,PT09M55.00S,2026-03-06T01:13:05.3Z,1,REGULAR,rebound,defensive,[],1631105,,,1610612765,7,2,2026-03-06T01:13:05Z,230000,False,,,0,,J. Duren REBOUND (Off:0 Def:1),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Left Corner 3,24+ Left,,,,,22.0,,,,,1.0,1.0,0.0,,,,,,,,
