actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-11-15T02:45:30.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-15T02:45:30Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-11-15T02:45:32.3Z,1,REGULAR,jumpball,recovered,[],203084,,,1610612759,0,0,2025-11-15T02:45:32Z,40000,False,,,0,,Jump Ball V. Wembanyama vs. D. Green: Tip to H. Barnes,"[203084, 1641705, 203110]",1610612759.0,SAS,startperiod,H. Barnes,203084.0,Barnes,H. Barnes,Wembanyama,1641705.0,Green,203110.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2025-11-15T02:45:44.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628368,6.652431011826544,49.26470588235294,1610612759,2,0,2025-11-15T02:45:52Z,70000,False,4.0,10.0,1,left,D. Fox driving finger roll Layup (2 PTS),[1628368],1610612759.0,SAS,driving finger roll,,,Fox,D. Fox,,,,,Restricted Area,0-8 Center,1.07,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M21.00S,2025-11-15T02:46:08.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642954,93.51182654402102,49.26470588235294,1610612744,2,2,2025-11-15T02:46:15Z,80000,False,-4.0,8.0,1,right,W. Richard cutting Layup (2 PTS) (D. Green 1 AST),"[1642954, 203110]",1610612744.0,GSW,cutting,,,Richard,W. Richard,,,,,Restricted Area,0-8 Center,0.93,Made,2.0,D. Green,203110.0,1.0,,,,,,,,,,,,,,
10,PT10M58.00S,2025-11-15T02:46:30.5Z,1,REGULAR,3pt,Jump Shot,[],1628368,10.988830486202366,4.6568627450980395,1610612759,5,2,2025-11-15T02:46:36Z,100000,False,227.0,51.0,1,left,D. Fox 3PT  (5 PTS) (S. Castle 1 AST),"[1628368, 1642264]",1610612759.0,SAS,,,,Fox,D. Fox,,,,,Right Corner 3,24+ Right,23.23,Made,5.0,S. Castle,1642264.0,1.0,,,,,,,,,,,,,,
12,PT10M51.00S,2025-11-15T02:46:38.2Z,1,REGULAR,3pt,Jump Shot,[],1642954,76.42904073587385,14.460784313725492,1610612744,5,2,2025-11-15T02:47:51Z,120000,False,-178.0,169.0,1,right,MISS W. Richard 24' step back 3PT,[1642954],1610612744.0,GSW,step back,,,Richard,W. Richard,,,,,Above the Break 3,24+ Left Center,24.53,Missed,,,,,,,,,,,,,,,,,,
13,PT10M48.00S,2025-11-15T02:46:41.2Z,1,REGULAR,rebound,defensive,[],1642264,,,1610612759,5,2,2025-11-15T02:46:47Z,130000,False,,,0,,S. Castle REBOUND (Off:0 Def:1),[1642264],1610612759.0,SAS,,,,Castle,S. Castle,,,,,Above the Break 3,24+ Left Center,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,
14,PT10M38.00S,2025-11-15T02:46:50.9Z,1,REGULAR,3pt,Jump Shot,[],1628368,29.911300919842315,26.715686274509803,1610612759,5,2,2025-11-15T02:46:59Z,140000,False,116.0,229.0,1,left,MISS D. Fox 25' step back 3PT,[1628368],1610612759.0,SAS,step back,,,Fox,D. Fox,,,,,Above the Break 3,24+ Right Center,25.66,Missed,,,,,,,,,,,,,,,,,,
15,PT10M36.00S,2025-11-15T02:46:52.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612744,5,2,2025-11-15T02:46:59Z,150000,False,,,0,,TEAM defensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,14.0,,,,,,,,,,,,,
17,PT10M26.00S,2025-11-15T02:47:15.0Z,1,REGULAR,3pt,Jump Shot,[],201939,67.88764783180025,34.80392156862745,1610612744,5,2,2025-11-15T02:47:20Z,170000,False,-76.0,249.0,1,right,MISS S. Curry 26' 3PT,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,Above the Break 3,24+ Center,26.07,Missed,,,,,,,,,,,,,,,,,,
