actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2026-04-09T01:42:55.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-04-09T01:42:55Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2026-04-09T01:42:57.0Z,1,REGULAR,jumpball,recovered,[],1628368,,,1610612759,0,0,2026-04-09T01:42:57Z,40000,False,,,0,,Jump Ball L. Kornet vs. D. Clingan: Tip to D. Fox,"[1628368, 1628436, 1642270]",1610612759.0,SAS,startperiod,D. Fox,1628368.0,Fox,D. Fox,Kornet,1628436.0,Clingan,1642270.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2026-04-09T01:43:12.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628436,88.78120893561103,50.73529411764706,1610612759,0,0,2026-04-09T01:43:48Z,70000,False,4.0,53.0,1,right,MISS L. Kornet Hook,[1628436],1610612759.0,SAS,,,,Kornet,L. Kornet,,,,,In The Paint (Non-RA),0-8 Center,5.31,Missed,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2026-04-09T01:43:14.1Z,1,REGULAR,rebound,defensive,[],1630703,,,1610612757,0,0,2026-04-09T01:43:48Z,80000,False,,,0,,S. Henderson REBOUND (Off:0 Def:1),[1630703],1610612757.0,POR,,,,Henderson,S. Henderson,,,,,In The Paint (Non-RA),0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M32.00S,2026-04-09T01:43:24.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630703,5.601182654402102,50.98039215686274,1610612757,0,0,2026-04-09T01:44:43Z,90000,False,-5.0,0.0,1,left,MISS S. Henderson driving reverse Layup - blocked,"[1630703, 1628436]",1610612757.0,POR,driving reverse,,,Henderson,S. Henderson,,,,,Restricted Area,0-8 Center,0.49,Missed,,,,,Kornet,1628436.0,,,,,,,,,,,,
10,PT11M32.00S,2026-04-09T01:43:24.9Z,1,REGULAR,block,,[],1628436,,,1610612757,0,0,2026-04-09T01:43:27Z,100000,False,,,0,,L. Kornet BLOCK (1 BLK),[1628436],1610612759.0,SAS,,,,Kornet,L. Kornet,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M30.00S,2026-04-09T01:43:26.9Z,1,REGULAR,rebound,offensive,[],1642270,,,1610612757,0,0,2026-04-09T01:44:43Z,110000,False,,,0,,D. Clingan REBOUND (Off:1 Def:0),[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,Restricted Area,0-8 Center,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,
12,PT11M25.00S,2026-04-09T01:43:29.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1641739,8.229303547963205,34.80392156862745,1610612757,0,2,2026-04-09T01:45:26Z,120000,False,76.0,25.0,1,left,T. Camara 8' driving finger roll Layup (2 PTS) (D. Clingan 1 AST),"[1641739, 1642270]",1610612757.0,POR,driving finger roll,,,Camara,T. Camara,,,,,In The Paint (Non-RA),0-8 Center,8.0,Made,,,,,,,2.0,D. Clingan,1642270.0,1.0,,,,,,,,
13,PT11M11.00S,2026-04-09T01:43:45.5Z,1,REGULAR,2pt,Jump Shot,[],1630577,88.51839684625493,27.696078431372552,1610612759,0,2,2026-04-09T01:45:42Z,130000,False,-112.0,55.0,1,right,MISS J. Champagnie 12' driving floating bank Shot,[1630577],1610612759.0,SAS,driving floating bank,,,Champagnie,J. Champagnie,,,,,Mid-Range,8-16 Left,12.45,Missed,,,,,,,,,,,,,,,,,,
14,PT11M08.00S,2026-04-09T01:43:48.5Z,1,REGULAR,rebound,defensive,[],1642270,,,1610612757,0,2,2026-04-09T01:45:42Z,140000,False,,,0,,D. Clingan REBOUND (Off:1 Def:1),[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,Mid-Range,8-16 Left,,,13.0,2.0,1.0,1.0,,,,,,,,,,,,,,
