actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-01-16T01:10:26.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-16T01:10:26Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-01-16T01:10:29.7Z,1,REGULAR,jumpball,recovered,[],1642264,,,1610612759,0,0,2026-01-16T01:10:29Z,40000,False,,,0,,Jump Ball V. Wembanyama vs. M. Turner: Tip to S. Castle,"[1642264, 1641705, 1626167]",1610612759.0,SAS,startperiod,S. Castle,1642264.0,Castle,S. Castle,Wembanyama,1641705.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2026-01-16T01:10:45.2Z,1,REGULAR,turnover,bad pass,[],1641705,,,1610612759,0,0,2026-01-16T01:10:53Z,70000,False,,,0,,V. Wembanyama bad pass TURNOVER (1 TO),"[1641705, 203507]",1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,In The Paint (Non-RA),0-8 Center,1.0,Antetokounmpo,203507.0,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2026-01-16T01:10:45.2Z,1,REGULAR,steal,,[],203507,,,1610612749,0,0,2026-01-16T01:10:47Z,80000,False,,,0,,G. Antetokounmpo STEAL (1 STL),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M35.00S,2026-01-16T01:10:50.1Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1631260,14.4053876478318,95.58823529411765,1610612749,0,0,2026-01-16T01:21:49Z,90000,False,-228.0,83.0,1,left,MISS A. Green 24' running pullup 3PT,[1631260],1610612749.0,MIL,running pullup,,,Green,A. Green,,,,,Left Corner 3,24+ Left,,,,24.25,Missed,,,,,,,,,,,,,,,
10,PT11M33.00S,2026-01-16T01:10:52.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612749,0,0,2026-01-16T01:11:33Z,100000,False,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,Left Corner 3,24+ Left,,,,,,9.0,,,,,,,,,,,,,,
13,PT11M27.00S,2026-01-16T01:11:21.0Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1631260,7.703679369250986,95.34313725490196,1610612749,0,3,2026-01-16T01:11:25Z,130000,False,-227.0,20.0,1,left,A. Green 3PT  (3 PTS) (G. Antetokounmpo 1 AST),"[1631260, 203507]",1610612749.0,MIL,,,,Green,A. Green,,,,,Left Corner 3,24+ Left,,,,22.76,Made,,3.0,G. Antetokounmpo,203507.0,1.0,,,,,,,,,,
15,PT11M11.00S,2026-01-16T01:11:36.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203084,93.9060446780552,53.18627450980392,1610612759,0,3,2026-01-16T01:12:45Z,150000,False,16.0,5.0,1,right,MISS H. Barnes driving Layup,[203084],1610612759.0,SAS,driving,,,Barnes,H. Barnes,,,,,Restricted Area,0-8 Center,,,,1.66,Missed,,,,,,,,,,,,,,,
16,PT11M09.00S,2026-01-16T01:11:38.7Z,1,REGULAR,rebound,defensive,[],1629645,,,1610612749,0,3,2026-01-16T01:11:40Z,160000,False,,,0,,K. Porter Jr. REBOUND (Off:0 Def:1),[1629645],1610612749.0,MIL,,,,Porter Jr.,K. Porter Jr.,,,,,Restricted Area,0-8 Center,,,,,,15.0,,,,,1.0,1.0,0.0,,,,,,,
17,PT10M56.00S,2026-01-16T01:11:52.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203507,5.863994743758213,48.03921568627451,1610612749,0,5,2026-01-16T01:11:58Z,170000,False,10.0,3.0,1,left,G. Antetokounmpo driving DUNK (2 PTS) (A. Green 1 AST),"[203507, 1631260]",1610612749.0,MIL,driving,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,,,,1.01,Made,,2.0,A. Green,1631260.0,1.0,,,,,,,,,,
