actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-03-09T00:13:02.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-09T00:13:02Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-03-09T00:13:05.1Z,1,REGULAR,jumpball,recovered,[],1642264,,,1610612759,0,0,2026-03-09T00:13:05Z,40000,False,,,0,,Jump Ball V. Wembanyama vs. A. Sengun: Tip to S. Castle,"[1642264, 1641705, 1630578]",1610612759.0,SAS,startperiod,S. Castle,1642264.0,Castle,S. Castle,Wembanyama,1641705.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2026-03-09T00:13:19.3Z,1,REGULAR,foul,personal,[],1631095,,,1610612759,0,0,2026-03-09T00:22:01Z,70000,False,,,0,,J. Smith Jr. personal FOUL (1 PF),"[1631095, 1630170]",1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Mid-Range,16-24 Right Center,1627964.0,1.0,0.0,Vassell,1630170.0,,,,,,,,,,,,,,,
9,PT11M39.00S,2026-03-09T00:13:42.9Z,1,REGULAR,3pt,Jump Shot,[],1641705,30.831143232588698,71.56862745098039,1610612759,3,0,2026-03-09T00:13:53Z,90000,False,-108.0,237.0,1,left,V. Wembanyama 26' 3PT pullup (3 PTS) (D. Fox 1 AST),"[1641705, 1628368]",1610612759.0,SAS,pullup,,,Wembanyama,V. Wembanyama,,,,,Above the Break 3,24+ Left Center,,,,,,26.06,Made,3.0,D. Fox,1628368.0,1.0,,,,,,,,,
11,PT11M17.00S,2026-03-09T00:14:04.6Z,1,REGULAR,2pt,Jump Shot,[],201142,79.31997371879106,50.98039215686274,1610612745,3,0,2026-03-09T00:14:17Z,110000,False,5.0,142.0,1,right,MISS K. Durant 14' turnaround Shot,[201142],1610612745.0,HOU,turnaround,,,Durant,K. Durant,,,,,Mid-Range,8-16 Center,,,,,,14.2,Missed,,,,,,,,,,,,,
12,PT11M14.00S,2026-03-09T00:14:07.6Z,1,REGULAR,rebound,offensive,[],1631106,,,1610612745,3,0,2026-03-09T00:14:17Z,120000,False,,,0,,T. Eason REBOUND (Off:1 Def:0),[1631106],1610612745.0,HOU,,,,Eason,T. Eason,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,11.0,1.0,0.0,1.0,,,,,
13,PT11M14.00S,2026-03-09T00:14:10.0Z,1,REGULAR,turnover,out-of-bounds,[],1631106,,,1610612745,3,0,2026-03-09T00:14:23Z,130000,False,,,0,,T. Eason bad pass out-of-bounds TURNOVER (1 TO),[1631106],1610612745.0,HOU,bad pass,,,Eason,T. Eason,,,,,Above the Break 3,24+ Right Center,2003.0,,,,,,,,,,,,,,,1.0,,,,
14,PT11M04.00S,2026-03-09T00:14:25.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628368,24.26084099868594,12.5,1610612759,3,0,2026-03-09T00:14:31Z,140000,False,188.0,176.0,1,left,MISS D. Fox 25' pullup 3PT,[1628368],1610612759.0,SAS,pullup,,,Fox,D. Fox,,,,,Above the Break 3,24+ Right Center,,,,,,25.69,Missed,,,,,,,,,,,,,
15,PT11M01.00S,2026-03-09T00:14:28.6Z,1,REGULAR,rebound,defensive,[],1631095,,,1610612745,3,0,2026-03-09T00:14:31Z,150000,False,,,0,,J. Smith Jr. REBOUND (Off:0 Def:1),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,
16,PT10M49.00S,2026-03-09T00:14:40.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630578,84.97043363994744,50.98039215686274,1610612745,3,0,2026-03-09T00:14:46Z,160000,False,5.0,89.0,1,right,MISS A. Sengun 8' turnaround Hook,[1630578],1610612745.0,HOU,turnaround,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),8-16 Center,,,,,,8.89,Missed,,,,,,,,,,,,,
