actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-11-16T21:10:34.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-16T21:10:34Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-11-16T21:10:38.8Z,1,REGULAR,jumpball,recovered,[],201566,,,1610612758,0,0,2025-11-16T21:10:38Z,40000,False,,,0,,Jump Ball D. Sabonis vs. L. Kornet: Tip to R. Westbrook,"[201566, 1627734, 1628436]",1610612758.0,SAC,startperiod,R. Westbrook,201566.0,Westbrook,R. Westbrook,Sabonis,1627734.0,Kornet,1628436.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2025-11-16T21:10:54.7Z,1,REGULAR,turnover,out-of-bounds,[],201566,,,1610612758,0,0,2025-11-16T21:44:25Z,70000,False,,,0,,R. Westbrook bad pass out-of-bounds TURNOVER (1 TO),[201566],1610612758.0,SAC,bad pass,,,Westbrook,R. Westbrook,,,,,In The Paint (Non-RA),0-8 Center,202056.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M32.00S,2025-11-16T21:11:11.1Z,1,REGULAR,turnover,bad pass,[],1642264,,,1610612759,0,0,2025-11-16T21:11:18Z,80000,False,,,0,,S. Castle bad pass TURNOVER (1 TO),"[1642264, 1627734]",1610612759.0,SAS,,,,Castle,S. Castle,,,,,In The Paint (Non-RA),8-16 Center,,1.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,
9,PT11M32.00S,2025-11-16T21:11:11.1Z,1,REGULAR,steal,,[],1627734,,,1610612758,0,0,2025-11-16T21:11:18Z,90000,False,,,0,,D. Sabonis STEAL (1 STL),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
10,PT11M24.00S,2025-11-16T21:11:19.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203897,5.075558475689881,54.90196078431373,1610612758,0,2,2025-11-16T21:14:33Z,100000,False,-25.0,-5.0,1,left,Z. LaVine alley-oop Layup (2 PTS) (D. Sabonis 1 AST),"[203897, 1627734]",1610612758.0,SAC,alley-oop,,,LaVine,Z. LaVine,,,,,Restricted Area,0-8 Center,,,,,2.5,Made,2.0,D. Sabonis,1627734.0,1.0,,,,,,,,,,
12,PT11M16.00S,2025-11-16T21:11:27.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628368,93.24901445466492,45.09803921568628,1610612759,2,2,2025-11-16T21:11:43Z,120000,False,-25.0,11.0,1,right,D. Fox driving Layup (2 PTS),[1628368],1610612759.0,SAS,driving,,,Fox,D. Fox,,,,,Restricted Area,0-8 Center,,,,,2.69,Made,2.0,,,,,,,,,,,,,
13,PT11M04.00S,2025-11-16T21:11:39.1Z,1,REGULAR,2pt,Jump Shot,[],201942,22.421156373193167,50.98039215686274,1610612758,2,4,2025-11-16T21:11:47Z,130000,False,-5.0,158.0,1,left,D. DeRozan 15' pullup Jump Shot (2 PTS) (D. Sabonis 2 AST),"[201942, 1627734]",1610612758.0,SAC,pullup,,,DeRozan,D. DeRozan,,,,,Mid-Range,8-16 Center,,,,,15.84,Made,2.0,D. Sabonis,1627734.0,2.0,,,,,,,,,,
15,PT10M43.00S,2025-11-16T21:11:59.4Z,1,REGULAR,3pt,Jump Shot,[],1630170,89.83245729303549,96.07843137254902,1610612759,2,4,2025-11-16T21:12:05Z,150000,False,230.0,43.0,1,right,MISS D. Vassell 3PT,[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Right Corner 3,24+ Right,,,,,23.44,Missed,,,,,,,,,,,,,,
16,PT10M41.00S,2025-11-16T21:12:01.4Z,1,REGULAR,rebound,offensive,[],1628436,,,1610612759,2,4,2025-11-16T21:12:05Z,160000,False,,,0,,L. Kornet REBOUND (Off:1 Def:0),[1628436],1610612759.0,SAS,,,,Kornet,L. Kornet,,,,,Right Corner 3,24+ Right,,,,,,,,,,,15.0,1.0,0.0,1.0,,,,,,
17,PT10M37.00S,2025-11-16T21:12:06.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1642264,65.91655716162943,37.254901960784316,1610612759,5,4,2025-11-16T21:12:11Z,170000,False,-64.0,268.0,1,right,S. Castle 27' 3PT  (3 PTS) (L. Kornet 1 AST),"[1642264, 1628436]",1610612759.0,SAS,,,,Castle,S. Castle,,,,,Above the Break 3,24+ Center,,,,,27.54,Made,3.0,L. Kornet,1628436.0,1.0,,,,,,,,,,
19,PT10M19.00S,2025-11-16T21:12:23.4Z,1,REGULAR,3pt,Jump Shot,[],203897,29.517082785808146,28.186274509803923,1610612758,5,4,2025-11-16T21:14:49Z,190000,False,109.0,225.0,1,left,MISS Z. LaVine 25' pullup 3PT,[203897],1610612758.0,SAC,pullup,,,LaVine,Z. LaVine,,,,,Above the Break 3,24+ Right Center,,,,,25.01,Missed,,,,,,,,,,,,,,
20,PT10M16.00S,2025-11-16T21:12:26.4Z,1,REGULAR,rebound,defensive,[],203084,,,1610612759,5,4,2025-11-16T21:12:28Z,200000,False,,,0,,H. Barnes REBOUND (Off:0 Def:1),[203084],1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,19.0,1.0,1.0,0.0,,,,,,
21,PT10M06.00S,2025-11-16T21:12:37.2Z,1,REGULAR,3pt,Jump Shot,[],203084,66.44218134034165,34.55882352941176,1610612759,8,4,2025-11-16T21:12:42Z,210000,False,-77.0,263.0,1,right,H. Barnes 27' 3PT  (3 PTS) (D. Fox 1 AST),"[203084, 1628368]",1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,Above the Break 3,24+ Center,,,,,27.4,Made,3.0,D. Fox,1628368.0,1.0,,,,,,,,,,
23,PT09M46.00S,2025-11-16T21:12:57.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201942,13.091327201051248,47.05882352941176,1610612758,8,6,2025-11-16T21:13:05Z,230000,False,15.0,71.0,1,left,D. DeRozan 7' pullup Jump Shot (4 PTS),[201942],1610612758.0,SAC,pullup,,,DeRozan,D. DeRozan,,,,,In The Paint (Non-RA),0-8 Center,,,,,7.21,Made,4.0,,,,,,,,,,,,,
24,PT09M30.00S,2025-11-16T21:13:13.1Z,1,REGULAR,3pt,Jump Shot,[],1642264,71.43561103810775,15.196078431372548,1610612759,8,6,2025-11-16T21:13:19Z,240000,False,-174.0,216.0,1,right,MISS S. Castle 27' 3PT,[1642264],1610612759.0,SAS,,,,Castle,S. Castle,,,,,Above the Break 3,24+ Left Center,,,,,27.74,Missed,,,,,,,,,,,,,,
25,PT09M26.00S,2025-11-16T21:13:17.1Z,1,REGULAR,rebound,offensive,[],1628436,,,1610612759,8,6,2025-11-16T21:13:19Z,250000,False,,,0,,L. Kornet REBOUND (Off:2 Def:0),[1628436],1610612759.0,SAS,,,,Kornet,L. Kornet,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,24.0,2.0,0.0,2.0,,,,,,
26,PT09M22.00S,2025-11-16T21:13:20.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628368,65.39093298291722,41.911764705882355,1610612759,11,6,2025-11-16T21:13:25Z,260000,False,-40.0,273.0,1,right,D. Fox 27' 3PT  (5 PTS) (D. Vassell 1 AST),"[1628368, 1630170]",1610612759.0,SAS,,,,Fox,D. Fox,,,,,Above the Break 3,24+ Center,,,,,27.58,Made,5.0,D. Vassell,1630170.0,1.0,,,,,,,,,,
28,PT09M09.00S,2025-11-16T21:13:34.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627734,5.863994743758213,44.85294117647059,1610612758,11,8,2025-11-16T21:13:40Z,280000,False,26.0,3.0,1,left,D. Sabonis cutting Layup (2 PTS) (R. Westbrook 1 AST),"[1627734, 201566]",1610612758.0,SAC,cutting,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,,,,,2.58,Made,2.0,R. Westbrook,201566.0,1.0,,,,,,,,,,
30,PT08M58.00S,2025-11-16T21:13:48.3Z,1,REGULAR,foul,personal,['2freethrow'],203897,,,1610612759,11,8,2025-11-16T21:14:04Z,300000,False,,,0,,Z. LaVine shooting personal FOUL (1 PF) (Barnes 2 FT),"[203897, 203084]",1610612758.0,SAC,shooting,,,LaVine,Z. LaVine,,,,,Mid-Range,8-16 Right,1151.0,,,,,,,,,,,,,,1.0,0.0,Barnes,203084.0,,
32,PT08M58.00S,2025-11-16T21:14:09.4Z,1,REGULAR,freethrow,1 of 2,[],203084,,,1610612759,12,8,2025-11-16T21:14:27Z,320000,False,,,0,,H. Barnes Free Throw 1 of 2 (4 PTS),[203084],1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,,,,,,,,Made,4.0,,,,,,,,,,,,,
33,PT08M58.00S,2025-11-16T21:14:09.4Z,1,REGULAR,freethrow,2 of 2,[],203084,,,1610612759,12,8,2025-11-16T21:14:27Z,330000,False,,,0,,MISS H. Barnes Free Throw 2 of 2,[203084],1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
34,PT08M55.00S,2025-11-16T21:14:12.4Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,12,8,2025-11-16T21:14:27Z,340000,False,,,0,,D. Sabonis REBOUND (Off:0 Def:1),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,33.0,1.0,1.0,0.0,,,,,,
35,PT08M43.00S,2025-11-16T21:14:37.8Z,1,REGULAR,2pt,Jump Shot,[],201942,11.645860709592641,27.205882352941174,1610612758,12,8,2025-11-16T21:14:47Z,350000,False,114.0,57.0,1,left,MISS D. DeRozan 12' turnaround Shot,[201942],1610612758.0,SAC,turnaround,,,DeRozan,D. DeRozan,,,,,Mid-Range,8-16 Right,,,,,12.75,Missed,,,,,,,,,,,,,,
36,PT08M40.00S,2025-11-16T21:14:40.8Z,1,REGULAR,rebound,offensive,[],1627734,,,1610612758,12,8,2025-11-16T21:14:47Z,360000,False,,,0,,D. Sabonis REBOUND (Off:1 Def:1),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Mid-Range,8-16 Right,,,,,,,,,,,35.0,2.0,1.0,1.0,,,,,,
37,PT08M37.00S,2025-11-16T21:14:42.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203897,21.107095926412615,92.15686274509804,1610612758,12,8,2025-11-16T21:14:50Z,370000,False,-211.0,146.0,1,left,MISS Z. LaVine 25' 3PT,[203897],1610612758.0,SAC,,,,LaVine,Z. LaVine,,,,,Above the Break 3,24+ Left Center,,,,,25.64,Missed,,,,,,,,,,,,,,
38,PT08M35.00S,2025-11-16T21:14:44.9Z,1,REGULAR,rebound,defensive,[],1628436,,,1610612759,12,8,2025-11-16T21:14:50Z,380000,False,,,0,,L. Kornet REBOUND (Off:2 Def:1),[1628436],1610612759.0,SAS,,,,Kornet,L. Kornet,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,37.0,3.0,1.0,2.0,,,,,,
