actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2026-02-22T01:10:25.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-02-22T01:10:25Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-02-22T01:10:26.6Z,1,REGULAR,jumpball,recovered,[],1642264,,,1610612759,0,0,2026-02-22T01:10:26Z,40000,False,,,0,,Jump Ball V. Wembanyama vs. M. Raynaud: Tip to S. Castle,"[1642264, 1641705, 1642875]",1610612759.0,SAS,startperiod,S. Castle,1642264.0,Castle,S. Castle,Wembanyama,1641705.0,Raynaud,1642875.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2026-02-22T01:10:38.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628368,81.2910643889619,40.44117647058824,1610612759,2,0,2026-02-22T01:10:46Z,70000,False,-48.0,123.0,1,right,D. Fox 13' step back Jump Shot (2 PTS),[1628368],1610612759.0,SAS,step back,,,Fox,D. Fox,,,,,In The Paint (Non-RA),8-16 Center,13.23,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M30.00S,2026-02-22T01:10:54.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642875,4.944152431011826,58.82352941176471,1610612758,2,0,2026-02-22T01:12:07Z,80000,False,-44.0,-6.0,1,left,MISS M. Raynaud floating Shot,[1642875],1610612758.0,SAC,floating,,,Raynaud,M. Raynaud,,,,,In The Paint (Non-RA),0-8 Center,4.45,Missed,,,,,,,,,,,,,,,,,,
9,PT11M24.00S,2026-02-22T01:10:59.2Z,1,REGULAR,rebound,offensive,[],1642875,,,1610612758,2,0,2026-02-22T01:10:59Z,90000,False,,,0,,M. Raynaud REBOUND (Off:1 Def:0),[1642875],1610612758.0,SAC,,,,Raynaud,M. Raynaud,,,,,In The Paint (Non-RA),0-8 Center,,,,8.0,1.0,0.0,1.0,,,,,,,,,,,,,
10,PT11M24.00S,2026-02-22T01:10:59.2Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1642875,5.590000152587891,50.0,1610612758,2,0,2026-02-22T01:14:28Z,100000,False,0.0,0.0,1,left,MISS M. Raynaud tip Layup - blocked,"[1642875, 1641705]",1610612758.0,SAC,tip,,,Raynaud,M. Raynaud,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,Wembanyama,1641705.0,,,,,,,,,,,
11,PT11M24.00S,2026-02-22T01:10:59.2Z,1,REGULAR,block,,[],1641705,,,1610612758,2,0,2026-02-22T01:11:00Z,110000,False,,,0,,V. Wembanyama BLOCK (1 BLK),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
12,PT11M23.00S,2026-02-22T01:11:00.2Z,1,REGULAR,rebound,defensive,[],1642264,,,1610612759,2,0,2026-02-22T01:14:28Z,120000,False,,,0,,S. Castle REBOUND (Off:0 Def:1),[1642264],1610612759.0,SAS,,,,Castle,S. Castle,,,,,Restricted Area,0-8 Center,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,
13,PT11M16.00S,2026-02-22T01:11:07.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641705,84.1819973718791,47.549019607843135,1610612759,4,0,2026-02-22T01:11:16Z,130000,False,-12.0,96.0,1,right,V. Wembanyama 9' driving floating Jump Shot (2 PTS) (D. Fox 1 AST),"[1641705, 1628368]",1610612759.0,SAS,driving floating,,,Wembanyama,V. Wembanyama,,,,,In The Paint (Non-RA),8-16 Center,9.7,Made,2.0,,,,,,,D. Fox,1628368.0,1.0,,,,,,,,
15,PT11M04.00S,2026-02-22T01:11:19.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201566,8.886333771353483,52.94117647058824,1610612758,4,0,2026-02-22T02:05:02Z,150000,False,-15.0,31.0,1,left,MISS R. Westbrook driving floating Shot - blocked,"[201566, 1641705]",1610612758.0,SAC,driving floating,,,Westbrook,R. Westbrook,,,,,Restricted Area,0-8 Center,3.43,Missed,,,,,,Wembanyama,1641705.0,,,,,,,,,,,
16,PT11M04.00S,2026-02-22T01:11:19.6Z,1,REGULAR,block,,[],1641705,,,1610612758,4,0,2026-02-22T01:11:21Z,160000,False,,,0,,V. Wembanyama BLOCK (2 BLK),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
17,PT11M02.00S,2026-02-22T01:11:21.6Z,1,REGULAR,rebound,defensive,[],1630577,,,1610612759,4,0,2026-02-22T01:11:28Z,170000,False,,,0,,J. Champagnie REBOUND (Off:0 Def:1),[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Restricted Area,0-8 Center,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,
18,PT10M56.00S,2026-02-22T01:11:27.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628368,93.64323258869908,50.98039215686274,1610612759,6,0,2026-02-22T01:11:37Z,180000,False,5.0,7.0,1,right,D. Fox running finger roll Layup (4 PTS) (J. Champagnie 1 AST),"[1628368, 1630577]",1610612759.0,SAS,running finger roll,,,Fox,D. Fox,,,,,Restricted Area,0-8 Center,0.88,Made,4.0,,,,,,,J. Champagnie,1630577.0,1.0,,,,,,,,
20,PT10M35.00S,2026-02-22T01:11:48.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630173,7.046649145860711,46.568627450980394,1610612758,6,0,2026-02-22T01:15:22Z,200000,False,17.0,14.0,1,left,MISS P. Achiuwa driving Layup - blocked,"[1630173, 1641705]",1610612758.0,SAC,driving,,,Achiuwa,P. Achiuwa,,,,,Restricted Area,0-8 Center,2.2,Missed,,,,,,Wembanyama,1641705.0,,,,,,,,,,,
21,PT10M35.00S,2026-02-22T01:11:48.4Z,1,REGULAR,block,,[],1641705,,,1610612758,6,0,2026-02-22T01:11:50Z,210000,False,,,0,,V. Wembanyama BLOCK (3 BLK),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
22,PT10M33.00S,2026-02-22T01:11:50.4Z,1,REGULAR,rebound,defensive,[],1641705,,,1610612759,6,0,2026-02-22T01:12:05Z,220000,False,,,0,,V. Wembanyama REBOUND (Off:0 Def:1),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,,
23,PT10M30.00S,2026-02-22T01:11:54.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630577,95.48291721419186,2.2058823529411766,1610612759,6,0,2026-02-22T01:16:14Z,230000,False,-239.0,-10.0,1,right,MISS J. Champagnie running 3PT,[1630577],1610612759.0,SAS,running,,,Champagnie,J. Champagnie,,,,,Left Corner 3,24+ Left,23.92,Missed,,,,,,,,,,,,,,,,,,
