actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2026-01-18T01:10:39.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-18T01:10:39Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2026-01-18T01:10:40.6Z,1,REGULAR,jumpball,recovered,[],1642264,,,1610612759,0,0,2026-01-18T01:10:40Z,40000,False,,,0,,Jump Ball V. Wembanyama vs. N. Reid: Tip to S. Castle,"[1642264, 1641705, 1629675]",1610612759.0,SAS,startperiod,S. Castle,1642264.0,Castle,S. Castle,Wembanyama,1641705.0,Reid,1629675.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2026-01-18T01:10:52.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628368,6.521024967148489,54.166666666666664,1610612759,2,0,2026-01-18T01:10:58Z,70000,False,-21.0,9.0,1,left,D. Fox driving finger roll Layup (2 PTS),[1628368],1610612759.0,SAS,driving finger roll,,,Fox,D. Fox,,,,,Restricted Area,0-8 Center,2.26,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M24.00S,2026-01-18T01:11:14.3Z,1,REGULAR,2pt,Jump Shot,[],1630162,84.31340341655716,75.0,1610612750,2,0,2026-01-18T01:11:17Z,80000,False,125.0,95.0,1,right,MISS A. Edwards 15' pullup Shot,[1630162],1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,Mid-Range,8-16 Right,15.7,Missed,,,,,,,,,,,,,,,,,,
9,PT11M22.00S,2026-01-18T01:11:16.3Z,1,REGULAR,rebound,defensive,[],1630577,,,1610612759,2,0,2026-01-18T01:11:17Z,90000,False,,,0,,J. Champagnie REBOUND (Off:0 Def:1),[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Mid-Range,8-16 Right,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M14.00S,2026-01-18T01:11:24.5Z,1,REGULAR,3pt,Jump Shot,[],203084,5.995400788436268,4.166666666666666,1610612759,2,0,2026-01-18T01:11:29Z,100000,False,229.0,4.0,1,left,MISS H. Barnes 3PT,[203084],1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,Right Corner 3,24+ Right,22.92,Missed,,,,,,,,,,,,,,,,,,
11,PT11M11.00S,2026-01-18T01:11:27.1Z,1,REGULAR,rebound,defensive,[],1630183,,,1610612750,2,0,2026-01-18T01:11:27Z,110000,False,,,0,,J. McDaniels REBOUND (Off:0 Def:1),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Right Corner 3,24+ Right,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,
12,PT11M03.00S,2026-01-18T01:11:35.4Z,1,REGULAR,3pt,Jump Shot,[],1628978,93.38042049934296,96.07843137254902,1610612750,2,0,2026-01-18T01:11:39Z,120000,False,230.0,10.0,1,right,MISS D. DiVincenzo 3PT,[1628978],1610612750.0,MIN,,,,DiVincenzo,D. DiVincenzo,,,,,Right Corner 3,24+ Right,23.06,Missed,,,,,,,,,,,,,,,,,,
13,PT11M01.00S,2026-01-18T01:11:37.4Z,1,REGULAR,rebound,defensive,[],203084,,,1610612759,2,0,2026-01-18T01:11:39Z,130000,False,,,0,,H. Barnes REBOUND (Off:0 Def:1),[203084],1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,Right Corner 3,24+ Right,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,
14,PT10M53.00S,2026-01-18T01:11:45.4Z,1,REGULAR,3pt,Jump Shot,[],1642264,3.3672798948751645,94.36274509803921,1610612759,2,0,2026-01-18T01:11:50Z,140000,False,-222.0,-21.0,1,left,MISS S. Castle 3PT,[1642264],1610612759.0,SAS,,,,Castle,S. Castle,,,,,Left Corner 3,24+ Left,22.28,Missed,,,,,,,,,,,,,,,,,,
15,PT10M52.00S,2026-01-18T01:11:46.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612750,2,0,2026-01-18T01:11:50Z,150000,False,,,0,,TEAM defensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,Left Corner 3,24+ Left,,,,14.0,,,,,,,,,,,,,,,,
17,PT10M42.00S,2026-01-18T01:12:10.0Z,1,REGULAR,turnover,traveling,[],1630183,,,1610612750,2,0,2026-01-18T01:12:15Z,170000,False,,,0,,J. McDaniels traveling TURNOVER (1 TO),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1627962.0,1.0,,,,,,,,,,,
18,PT10M26.00S,2026-01-18T01:12:34.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628368,6.783837056504599,51.470588235294116,1610612759,4,0,2026-01-18T01:12:39Z,180000,False,-7.0,11.0,1,left,D. Fox driving floating Jump Shot (4 PTS),[1628368],1610612759.0,SAS,driving floating,,,Fox,D. Fox,,,,,Restricted Area,0-8 Center,1.35,Made,4.0,,,,,,,,,,,,,,,,,
19,PT10M11.00S,2026-01-18T01:12:49.7Z,1,REGULAR,turnover,bad pass,[],1628978,,,1610612750,4,0,2026-01-18T01:12:56Z,190000,False,,,0,,D. DiVincenzo bad pass TURNOVER (1 TO),"[1628978, 1642264]",1610612750.0,MIN,,,,DiVincenzo,D. DiVincenzo,,,,,Mid-Range,16-24 Left,,,,,,,,,1.0,Castle,1642264.0,,,,,,,,,
20,PT10M11.00S,2026-01-18T01:12:49.7Z,1,REGULAR,steal,,[],1642264,,,1610612759,4,0,2026-01-18T01:12:52Z,200000,False,,,0,,S. Castle STEAL (1 STL),[1642264],1610612759.0,SAS,,,,Castle,S. Castle,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,,,,,,,
21,PT10M06.00S,2026-01-18T01:12:55.1Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'fromturnover']",1628368,20.97568988173456,61.274509803921575,1610612759,4,0,2026-01-18T01:13:41Z,210000,False,-56.0,145.0,1,left,MISS D. Fox 15' running pullup Shot,[1628368],1610612759.0,SAS,running pullup,,,Fox,D. Fox,,,,,Mid-Range,8-16 Center,15.53,Missed,,,,,,,,,,,,,,,,,,
22,PT10M03.00S,2026-01-18T01:12:58.1Z,1,REGULAR,rebound,defensive,[],1630183,,,1610612750,4,0,2026-01-18T01:13:05Z,220000,False,,,0,,J. McDaniels REBOUND (Off:0 Def:2),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Mid-Range,8-16 Center,,,,21.0,2.0,2.0,0.0,,,,,,,,,,,,,
23,PT09M55.00S,2026-01-18T01:13:06.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628978,94.56307490144546,34.55882352941176,1610612750,4,0,2026-01-18T01:13:11Z,230000,False,-77.0,-1.0,1,right,MISS D. DiVincenzo 7' floating Shot,[1628978],1610612750.0,MIN,floating,,,DiVincenzo,D. DiVincenzo,,,,,In The Paint (Non-RA),0-8 Center,7.72,Missed,,,,,,,,,,,,,,,,,,
24,PT09M52.00S,2026-01-18T01:13:09.6Z,1,REGULAR,rebound,defensive,[],1628368,,,1610612759,4,0,2026-01-18T01:13:11Z,240000,False,,,0,,D. Fox REBOUND (Off:0 Def:1),[1628368],1610612759.0,SAS,,,,Fox,D. Fox,,,,,In The Paint (Non-RA),0-8 Center,,,,23.0,1.0,1.0,0.0,,,,,,,,,,,,,
25,PT09M45.00S,2026-01-18T01:13:15.6Z,1,REGULAR,turnover,bad pass,[],1630577,,,1610612759,4,0,2026-01-18T01:13:20Z,250000,False,,,0,,J. Champagnie bad pass TURNOVER (1 TO),"[1630577, 1629675]",1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,1.0,Reid,1629675.0,,,,,,,,,
26,PT09M45.00S,2026-01-18T01:13:15.6Z,1,REGULAR,steal,,[],1629675,,,1610612750,4,0,2026-01-18T01:13:17Z,260000,False,,,0,,N. Reid STEAL (1 STL),[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
27,PT09M39.00S,2026-01-18T01:13:21.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629675,92.46057818659659,41.17647058823529,1610612750,4,0,2026-01-18T01:15:32Z,270000,False,-44.0,18.0,1,right,MISS N. Reid running Layup - blocked,"[1629675, 1628368]",1610612750.0,MIN,running,,,Reid,N. Reid,,,,,In The Paint (Non-RA),0-8 Center,4.78,Missed,,,,,,,,,,Fox,1628368.0,,,,,,,
28,PT09M39.00S,2026-01-18T01:13:21.2Z,1,REGULAR,block,,[],1628368,,,1610612750,4,0,2026-01-18T01:13:23Z,280000,False,,,0,,D. Fox BLOCK (1 BLK),[1628368],1610612759.0,SAS,,,,Fox,D. Fox,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
29,PT09M36.00S,2026-01-18T01:13:24.2Z,1,REGULAR,rebound,defensive,[],203084,,,1610612759,4,0,2026-01-18T01:13:27Z,290000,False,,,0,,H. Barnes REBOUND (Off:0 Def:2),[203084],1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,In The Paint (Non-RA),0-8 Center,,,,27.0,2.0,2.0,0.0,,,,,,,,,,,,,
30,PT09M35.00S,2026-01-18T01:13:26.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1630577,6.389618922470433,49.754901960784316,1610612759,6,0,2026-01-18T01:13:33Z,300000,False,1.0,8.0,1,left,J. Champagnie running DUNK (2 PTS) (V. Wembanyama 1 AST),"[1630577, 1641705]",1610612759.0,SAS,running,,,Champagnie,J. Champagnie,,,,,Restricted Area,0-8 Center,0.77,Made,2.0,,,,,,,,,,,V. Wembanyama,1641705.0,1.0,,,,
33,PT09M19.00S,2026-01-18T01:13:50.8Z,1,REGULAR,2pt,Jump Shot,[],1630162,88.38699080157687,83.82352941176471,1610612750,6,2,2026-01-18T01:15:54Z,330000,False,169.0,57.0,1,right,A. Edwards 17' pullup Jump Shot (2 PTS) (J. McDaniels 1 AST),"[1630162, 1630183]",1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,Mid-Range,16-24 Right,17.84,Made,2.0,,,,,,,,,,,J. McDaniels,1630183.0,1.0,,,,
35,PT09M06.00S,2026-01-18T01:14:03.7Z,1,REGULAR,turnover,bad pass,[],1642264,,,1610612759,6,2,2026-01-18T01:14:08Z,350000,False,,,0,,S. Castle bad pass TURNOVER (1 TO),"[1642264, 1628978]",1610612759.0,SAS,,,,Castle,S. Castle,,,,,Above the Break 3,24+ Center,,,,,,,,,1.0,DiVincenzo,1628978.0,,,,,,,,,
36,PT09M06.00S,2026-01-18T01:14:03.7Z,1,REGULAR,steal,,[],1628978,,,1610612750,6,2,2026-01-18T01:14:05Z,360000,False,,,0,,D. DiVincenzo STEAL (1 STL),[1628978],1610612750.0,MIN,,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
37,PT09M03.00S,2026-01-18T01:14:07.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630162,93.64323258869908,50.245098039215684,1610612750,6,4,2026-01-18T01:14:17Z,370000,False,1.0,7.0,1,right,A. Edwards running DUNK (4 PTS) (D. DiVincenzo 1 AST),"[1630162, 1628978]",1610612750.0,MIN,running,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,0.74,Made,4.0,,,,,,,,,,,D. DiVincenzo,1628978.0,1.0,,,,
39,PT08M42.00S,2026-01-18T01:14:27.0Z,1,REGULAR,3pt,Jump Shot,[],1630577,23.73521681997372,84.55882352941177,1610612759,6,4,2026-01-18T01:14:31Z,390000,False,-173.0,171.0,1,left,MISS J. Champagnie 24' 3PT,[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Above the Break 3,24+ Left Center,24.28,Missed,,,,,,,,,,,,,,,,,,
40,PT08M38.00S,2026-01-18T01:14:31.0Z,1,REGULAR,rebound,defensive,[],1630183,,,1610612750,6,4,2026-01-18T01:14:31Z,400000,False,,,0,,J. McDaniels REBOUND (Off:0 Def:3),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Above the Break 3,24+ Left Center,,,,39.0,3.0,3.0,0.0,,,,,,,,,,,,,
41,PT08M28.00S,2026-01-18T01:14:41.4Z,1,REGULAR,3pt,Jump Shot,[],1628978,97.45400788436268,96.07843137254902,1610612750,6,4,2026-01-18T01:14:48Z,410000,False,230.0,-29.0,1,right,MISS D. DiVincenzo 3PT,[1628978],1610612750.0,MIN,,,,DiVincenzo,D. DiVincenzo,,,,,Right Corner 3,24+ Right,23.22,Missed,,,,,,,,,,,,,,,,,,
42,PT08M22.00S,2026-01-18T01:14:47.4Z,1,REGULAR,rebound,defensive,[],1641705,,,1610612759,6,4,2026-01-18T01:14:48Z,420000,False,,,0,,V. Wembanyama REBOUND (Off:0 Def:1),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Right Corner 3,24+ Right,,,,41.0,1.0,1.0,0.0,,,,,,,,,,,,,
43,PT08M21.00S,2026-01-18T01:14:48.1Z,1,REGULAR,turnover,bad pass,[],1628368,,,1610612759,6,4,2026-01-18T01:14:52Z,430000,False,,,0,,D. Fox bad pass TURNOVER (1 TO),"[1628368, 1630183]",1610612759.0,SAS,,,,Fox,D. Fox,,,,,Mid-Range,16-24 Left,,,,,,,,,1.0,McDaniels,1630183.0,,,,,,,,,
44,PT08M21.00S,2026-01-18T01:14:48.1Z,1,REGULAR,steal,,[],1630183,,,1610612750,6,4,2026-01-18T01:14:49Z,440000,False,,,0,,J. McDaniels STEAL (1 STL),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,,,,,,,
45,PT08M19.00S,2026-01-18T01:14:52.4Z,1,REGULAR,foul,personal,['2freethrow'],1628368,,,1610612750,6,4,2026-01-18T01:15:21Z,450000,False,,,0,,D. Fox shooting personal FOUL (1 PF) (McDaniels 2 FT),"[1628368, 1630183]",1610612759.0,SAS,shooting,,,Fox,D. Fox,,,,,Restricted Area,0-8 Center,,,,,,,,1830.0,,,,,,,,,1.0,0.0,McDaniels,1630183.0
47,PT08M19.00S,2026-01-18T01:15:22.9Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1630183,,,1610612750,6,4,2026-01-18T01:15:22Z,470000,False,,,0,,MISS J. McDaniels Free Throw 1 of 2,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
