actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-11-21T01:10:38.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-21T01:10:38Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-11-21T01:10:41.6Z,1,REGULAR,jumpball,recovered,[],1630552,,,1610612737,0,0,2025-11-21T01:10:41Z,40000,False,,,0,,Jump Ball K. Porziņģis vs. L. Kornet: Tip to J. Johnson,"[1630552, 204001, 1628436]",1610612737.0,ATL,startperiod,J. Johnson,1630552.0,Johnson,J. Johnson,Porziņģis,204001.0,Kornet,1628436.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2025-11-21T01:11:00.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],204001,11.383048620236531,43.627450980392155,1610612737,0,2,2025-11-21T01:11:22Z,70000,False,32.0,55.0,1,left,K. Porziņģis 6' turnaround Jump Shot (2 PTS),[204001],1610612737.0,ATL,turnaround,,,Porziņģis,K. Porziņģis,,,,,In The Paint (Non-RA),0-8 Center,6.31,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M21.00S,2025-11-21T01:11:17.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628436,93.77463863337714,49.754901960784316,1610612759,0,2,2025-11-21T01:11:23Z,80000,False,-1.0,6.0,1,right,MISS L. Kornet alley-oop Layup,[1628436],1610612759.0,SAS,alley-oop,,,Kornet,L. Kornet,,,,,Restricted Area,0-8 Center,0.61,Missed,,,,,,,,,,,,,,,,,,
9,PT11M18.00S,2025-11-21T01:11:20.6Z,1,REGULAR,rebound,defensive,[],1630700,,,1610612737,0,2,2025-11-21T01:12:00Z,90000,False,,,0,,D. Daniels REBOUND (Off:0 Def:1),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Restricted Area,0-8 Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M04.00S,2025-11-21T01:11:33.5Z,1,REGULAR,3pt,Jump Shot,[],1630700,11.514454664914586,95.58823529411765,1610612737,0,2,2025-11-21T01:11:39Z,100000,False,-228.0,56.0,1,left,MISS D. Daniels 3PT,[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Left Corner 3,24+ Left,23.46,Missed,,,,,,,,,,,,,,,,,,
11,PT11M01.00S,2025-11-21T01:11:36.5Z,1,REGULAR,rebound,defensive,[],1630577,,,1610612759,0,2,2025-11-21T01:11:39Z,110000,False,,,0,,J. Champagnie REBOUND (Off:0 Def:1),[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Left Corner 3,24+ Left,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,
12,PT10M48.00S,2025-11-21T01:11:49.9Z,1,REGULAR,3pt,Jump Shot,[],1630577,89.17542706964521,95.83333333333334,1610612759,0,2,2025-11-21T01:11:55Z,120000,False,229.0,49.0,1,right,MISS J. Champagnie pullup 3PT,[1630577],1610612759.0,SAS,pullup,,,Champagnie,J. Champagnie,,,,,Right Corner 3,24+ Right,23.44,Missed,,,,,,,,,,,,,,,,,,
13,PT10M45.00S,2025-11-21T01:11:52.9Z,1,REGULAR,rebound,defensive,[],204001,,,1610612737,0,2,2025-11-21T01:11:55Z,130000,False,,,0,,K. Porziņģis REBOUND (Off:0 Def:1),[204001],1610612737.0,ATL,,,,Porziņģis,K. Porziņģis,,,,,Right Corner 3,24+ Right,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,
14,PT10M37.00S,2025-11-21T01:12:01.0Z,1,REGULAR,3pt,Jump Shot,[],1629638,14.011169513797633,94.85294117647058,1610612737,0,5,2025-11-21T01:12:06Z,140000,False,-224.0,79.0,1,left,N. Alexander-Walker 3PT  (3 PTS) (Z. Risacher 1 AST),"[1629638, 1642258]",1610612737.0,ATL,,,,Alexander-Walker,N. Alexander-Walker,,,,,Left Corner 3,24+ Left,23.79,Made,3.0,,,,,Z. Risacher,1642258.0,1.0,,,,,,,,,,
