actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,officialId,playerName,playerNameI,descriptor,area,areaDetail,shotDistance,shotResult,shotActionNumber,pointsTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,jumpBallRecoveredName,jumpBallRecoverdPersonId,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId
2,PT12M00.00S,2025-10-26T18:11:38.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-10-26T18:11:38Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PT12M00.00S,2025-10-26T18:12:00.9Z,1,REGULAR,violation,jumpball,[],1629651,,,0,0,0,2025-10-26T18:12:00Z,30000,False,,,0,,N. Claxton jumpball VIOLATION,[1629651],1610612751.0,BKN,1193.0,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M38.00S,2025-10-26T18:12:24.4Z,1,REGULAR,3pt,Jump Shot,[],203084,76.5604467805519,11.519607843137255,1610612759,0,0,2025-10-26T18:12:31Z,40000,False,-192.0,168.0,1,right,MISS H. Barnes 25' step back 3PT,[203084],1610612759.0,SAS,,Barnes,H. Barnes,step back,Above the Break 3,24+ Left Center,25.53,Missed,,,,,,,,,,,,,,,,,,,,,,,
5,PT11M36.00S,2025-10-26T18:12:28.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612751,0,0,2025-10-26T18:12:28Z,50000,False,,,0,,TEAM defensive REBOUND,[],1610612751.0,BKN,,,,,Above the Break 3,24+ Left Center,,,4.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M18.00S,2025-10-26T18:12:49.1Z,1,REGULAR,2pt,Jump Shot,[],1630560,5.075558475689881,83.57843137254902,1610612751,0,2,2025-10-26T18:13:39Z,70000,False,-168.0,-5.0,1,left,C. Thomas 16' step back Jump Shot (2 PTS),[1630560],1610612751.0,BKN,,Thomas,C. Thomas,step back,Mid-Range,16-24 Left,16.8,Made,,2.0,,,,,,,,,,,,,,,,,,,,,
8,PT11M02.00S,2025-10-26T18:13:05.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642264,93.64323258869908,45.34313725490196,1610612759,2,2,2025-10-26T18:13:09Z,80000,False,-23.0,7.0,1,right,S. Castle driving Layup (2 PTS),[1642264],1610612759.0,SAS,,Castle,S. Castle,driving,Restricted Area,0-8 Center,2.44,Made,,2.0,,,,,,,,,,,,,,,,,,,,,
9,PT10M51.00S,2025-10-26T18:13:16.4Z,1,REGULAR,3pt,Jump Shot,[],1629008,10.5946123521682,4.166666666666666,1610612751,2,2,2025-10-26T18:13:19Z,90000,False,229.0,47.0,1,left,MISS M. Porter Jr. 3PT,[1629008],1610612751.0,BKN,,Porter Jr.,M. Porter Jr.,,Right Corner 3,24+ Right,23.4,Missed,,,,,,,,,,,,,,,,,,,,,,,
10,PT10M48.00S,2025-10-26T18:13:18.6Z,1,REGULAR,rebound,defensive,[],1641705,,,1610612759,2,2,2025-10-26T18:13:18Z,100000,False,,,0,,V. Wembanyama REBOUND (Off:0 Def:1),[1641705],1610612759.0,SAS,,Wembanyama,V. Wembanyama,,Right Corner 3,24+ Right,,,9.0,,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,
11,PT10M40.00S,2025-10-26T18:13:26.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641705,94.43166885676742,41.66666666666667,1610612759,2,2,2025-10-26T18:13:51Z,110000,False,-42.0,0.0,1,right,MISS V. Wembanyama Layup,[1641705],1610612759.0,SAS,,Wembanyama,V. Wembanyama,,Restricted Area,0-8 Center,4.17,Missed,,,,,,,,,,,,,,,,,,,,,,,
12,PT10M40.00S,2025-10-26T18:13:26.6Z,1,REGULAR,rebound,offensive,[],203084,,,1610612759,2,2,2025-10-26T18:13:51Z,120000,False,,,0,,H. Barnes REBOUND (Off:1 Def:0),[203084],1610612759.0,SAS,,Barnes,H. Barnes,,Restricted Area,0-8 Center,,,11.0,,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,
