actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-11-08T00:42:40.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-08T00:42:40Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-11-08T00:42:42.6Z,1,REGULAR,jumpball,recovered,[],1630577,,,1610612759,0,0,2025-11-08T00:42:42Z,40000,False,,,0,,Jump Ball V. Wembanyama vs. A. Sengun: Tip to J. Champagnie,"[1630577, 1641705, 1630578]",1610612759.0,SAS,startperiod,J. Champagnie,1630577.0,Champagnie,J. Champagnie,Wembanyama,1641705.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2025-11-08T00:42:52.6Z,1,REGULAR,3pt,Jump Shot,[],1630577,6.521024967148489,4.166666666666666,1610612759,0,0,2025-11-08T00:42:59Z,70000,False,229.0,9.0,1,left,MISS J. Champagnie 3PT,[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Right Corner 3,24+ Right,22.94,Missed,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2025-11-08T00:42:56.6Z,1,REGULAR,rebound,defensive,[],1631095,,,1610612745,0,0,2025-11-08T00:42:59Z,80000,False,,,0,,J. Smith Jr. REBOUND (Off:0 Def:1),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Right Corner 3,24+ Right,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M22.00S,2025-11-08T00:43:18.4Z,1,REGULAR,3pt,Jump Shot,[],1630578,70.25295663600527,23.284313725490197,1610612745,0,0,2025-11-08T00:44:12Z,90000,False,-134.0,227.0,1,right,MISS A. Sengun 26' 3PT,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Above the Break 3,24+ Left Center,26.35,Missed,,,,,,,,,,,,,,,,,,
10,PT11M21.00S,2025-11-08T00:43:19.4Z,1,REGULAR,rebound,offensive,[],1629006,,,1610612745,0,0,2025-11-08T00:44:12Z,100000,False,,,0,,J. Okogie REBOUND (Off:1 Def:0),[1629006],1610612745.0,HOU,,,,Okogie,J. Okogie,,,,,Above the Break 3,24+ Left Center,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,
11,PT11M20.00S,2025-11-08T00:43:26.0Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612745,0,0,2025-11-08T00:43:37Z,110000,False,,,0,,HOU shot clock Team TURNOVER,[],1610612745.0,HOU,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,203593.0,,,,,,,,,,,,,
12,PT11M12.00S,2025-11-08T00:43:43.2Z,1,REGULAR,foul,personal,['2freethrow'],1630578,,,1610612759,0,0,2025-11-08T00:44:03Z,120000,False,,,0,,A. Sengun shooting personal FOUL (1 PF) (Castle 2 FT),"[1630578, 1642264]",1610612745.0,HOU,shooting,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,,,,,,,203593.0,1.0,0.0,Castle,1642264.0,,,,,,,,,
14,PT11M12.00S,2025-11-08T00:44:09.4Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1642264,,,1610612759,0,0,2025-11-08T00:44:09Z,140000,False,,,0,,MISS S. Castle Free Throw 1 of 2,[1642264],1610612759.0,SAS,,,,Castle,S. Castle,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
15,PT11M12.00S,2025-11-08T00:44:09.4Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612759,0,0,2025-11-08T00:44:09Z,150000,False,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,
16,PT11M12.00S,2025-11-08T00:44:25.3Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1642264,,,1610612759,1,0,2025-11-08T00:44:25Z,160000,False,,,0,,S. Castle Free Throw 2 of 2 (1 PTS),[1642264],1610612759.0,SAS,,,,Castle,S. Castle,,,,,,,,Made,,,,,,,,,,1.0,,,,,,,,
