bucket,n,mean_pred,win_rate,calibration_gap_abs
"(-0.001, 0.1]",11,0.09129259488610829,0.0,0.09129259488610829
"(0.1, 0.2]",87,0.15630151464237632,0.10344827586206896,0.05285323878030736
"(0.2, 0.3]",140,0.25276661129905803,0.30714285714285716,0.05437624584379913
"(0.3, 0.4]",182,0.3486350872839525,0.3956043956043956,0.046969308320443104
"(0.4, 0.5]",87,0.4350853500810409,0.42528735632183906,0.009797993759201817
"(0.5, 0.6]",125,0.5499914850801084,0.528,0.021991485080108397
"(0.6, 0.7]",234,0.6515161226521996,0.6495726495726496,0.0019434730795500066
"(0.7, 0.8]",180,0.7516133175116175,0.7222222222222222,0.02939109528939532
"(0.8, 0.9]",159,0.8414698553413171,0.8553459119496856,0.013876056608368437
"(0.9, 1.0]",25,0.9193470049465394,0.96,0.04065299505346054
