actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-01-04T01:10:41.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-04T01:10:41Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M53.00S,2024-01-04T01:10:46.6Z,1,REGULAR,jumpball,recovered,[],1628991,,,1610612763,0,0,2024-01-04T01:10:46Z,40000,False,,,0,,Jump Ball J. Jackson Jr. vs. J. Poeltl: Tip to J. Jackson Jr.,"[1628991, 1628991, 1627751]",1610612763.0,MEM,startperiod,J. Jackson Jr.,1628991.0,Jackson Jr.,J. Jackson Jr.,Jackson Jr.,1628991.0,Poeltl,1627751.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2024-01-04T01:10:57.9Z,1,REGULAR,turnover,bad pass,[],203935,,,1610612763,0,0,2024-01-04T01:11:01Z,70000,False,,,0,,M. Smart bad pass TURNOVER (1 TO),"[203935, 1630567]",1610612763.0,MEM,,,,Smart,M. Smart,,,,,Mid-Range,8-16 Left,1.0,Barnes,1630567.0,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2024-01-04T01:10:57.9Z,1,REGULAR,steal,,[],1630567,,,1610612761,0,0,2024-01-04T01:11:00Z,80000,False,,,0,,S. Barnes STEAL (1 STL),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
9,PT11M35.00S,2024-01-04T01:11:04.5Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1630567,28.33442838370565,74.26470588235294,1610612761,0,0,2024-01-04T01:11:12Z,90000,False,-121.0,214.0,1,left,MISS S. Barnes 24' running 3PT,[1630567],1610612761.0,TOR,running,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Left Center,,,,24.58,Missed,,,,,,,,,,,,,,,
10,PT11M31.00S,2024-01-04T01:11:08.5Z,1,REGULAR,rebound,defensive,[],1629630,,,1610612763,0,0,2024-01-04T01:11:09Z,100000,False,,,0,,J. Morant REBOUND (Off:0 Def:1),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,Above the Break 3,24+ Left Center,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M20.00S,2024-01-04T01:11:19.8Z,1,REGULAR,3pt,Jump Shot,[],1628991,69.33311432325887,71.81372549019608,1610612763,0,0,2024-01-04T01:11:23Z,110000,False,109.0,236.0,1,right,MISS J. Jackson Jr. 25' 3PT,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Above the Break 3,24+ Right Center,,,,25.98,Missed,,,,,,,,,,,,,,,
12,PT11M18.00S,2024-01-04T01:11:21.8Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612761,0,0,2024-01-04T01:11:23Z,120000,False,,,0,,R. Barrett REBOUND (Off:0 Def:1),[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,Above the Break 3,24+ Right Center,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,
13,PT11M04.00S,2024-01-04T01:11:36.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627783,13.091327201051248,38.970588235294116,1610612761,0,0,2024-01-04T01:11:39Z,130000,False,55.0,71.0,1,left,MISS P. Siakam 8' driving floating bank Shot,[1627783],1610612761.0,TOR,driving floating bank,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),8-16 Right,,,,8.96,Missed,,,,,,,,,,,,,,,
14,PT11M00.00S,2024-01-04T01:11:40.4Z,1,REGULAR,rebound,defensive,[],1630214,,,1610612763,0,0,2024-01-04T01:11:39Z,140000,False,,,0,,X. Tillman REBOUND (Off:0 Def:1),[1630214],1610612763.0,MEM,,,,Tillman,X. Tillman,,,,,In The Paint (Non-RA),8-16 Right,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,
