actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-11-11T01:10:54.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-11T01:10:54Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-11-11T01:10:57.1Z,1,REGULAR,jumpball,recovered,[],203935,,,1610612763,0,0,2023-11-11T01:10:57Z,40000,False,,,0,,Jump Ball J. Jackson Jr. vs. L. Markkanen: Tip to M. Smart,"[203935, 1628991, 1628374]",1610612763.0,MEM,startperiod,M. Smart,203935.0,Smart,M. Smart,Jackson Jr.,1628991.0,Markkanen,1628374.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2023-11-11T01:11:06.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628991,87.46714848883047,50.245098039215684,1610612763,2,0,2023-11-11T01:11:12Z,70000,False,1.0,65.0,1,right,J. Jackson Jr. 6' Hook (2 PTS) (J. Gilyard 1 AST),"[1628991, 1631367]",1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),0-8 Center,6.53,Made,2.0,J. Gilyard,1631367.0,1.0,,,,,,,,,,,,,,
8,PT11M20.00S,2023-11-11T01:11:35.4Z,1,REGULAR,turnover,out-of-bounds,[],1628381,,,1610612762,2,0,2023-11-11T01:11:41Z,80000,False,,,0,,J. Collins lost ball out-of-bounds TURNOVER (1 TO),[1628381],1610612762.0,UTA,lost ball,,,Collins,J. Collins,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,202026.0,1.0,,,,,,,,,,,,
9,PT11M08.00S,2023-11-11T01:11:51.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630217,84.05059132720105,42.15686274509804,1610612763,2,0,2023-11-11T01:11:56Z,90000,False,-39.0,97.0,1,right,MISS D. Bane 10' driving floating Shot,[1630217],1610612763.0,MEM,driving floating,,,Bane,D. Bane,,,,,In The Paint (Non-RA),8-16 Center,10.5,Missed,,,,,,,,,,,,,,,,,,
10,PT11M05.00S,2023-11-11T01:11:54.3Z,1,REGULAR,rebound,defensive,[],1630534,,,1610612762,2,0,2023-11-11T01:11:56Z,100000,False,,,0,,O. Agbaji REBOUND (Off:0 Def:1),[1630534],1610612762.0,UTA,,,,Agbaji,O. Agbaji,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,
11,PT10M58.00S,2023-11-11T01:12:01.2Z,1,REGULAR,3pt,Jump Shot,[],1628374,30.962549277266753,32.59803921568628,1610612762,2,0,2023-11-11T01:12:06Z,110000,False,87.0,239.0,1,left,MISS L. Markkanen 25' 3PT,[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Right Center,25.39,Missed,,,,,,,,,,,,,,,,,,
12,PT10M53.00S,2023-11-11T01:12:06.2Z,1,REGULAR,rebound,defensive,[],1630217,,,1610612763,2,0,2023-11-11T01:12:06Z,120000,False,,,0,,D. Bane REBOUND (Off:0 Def:1),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,Above the Break 3,24+ Right Center,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,
13,PT10M47.00S,2023-11-11T01:12:11.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1630217,93.64323258869908,53.92156862745098,1610612763,4,0,2023-11-11T01:12:23Z,130000,False,20.0,7.0,1,right,D. Bane driving floating bank Jump Shot (2 PTS),[1630217],1610612763.0,MEM,driving floating bank,,,Bane,D. Bane,,,,,Restricted Area,0-8 Center,2.09,Made,2.0,,,,,,,,,,,,,,,,,
14,PT10M32.00S,2023-11-11T01:12:27.0Z,1,REGULAR,3pt,Jump Shot,[],1628374,31.488173455978973,71.07843137254902,1610612762,4,0,2023-11-11T01:12:31Z,140000,False,-105.0,243.0,1,left,MISS L. Markkanen 26' 3PT,[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Left Center,26.53,Missed,,,,,,,,,,,,,,,,,,
15,PT10M28.00S,2023-11-11T01:12:31.0Z,1,REGULAR,rebound,offensive,[],1630534,,,1610612762,4,0,2023-11-11T01:12:31Z,150000,False,,,0,,O. Agbaji REBOUND (Off:1 Def:1),[1630534],1610612762.0,UTA,,,,Agbaji,O. Agbaji,,,,,Above the Break 3,24+ Left Center,,,,,,,,,14.0,2.0,1.0,1.0,,,,,,,,
