actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,jumpBallRecoverdPersonId
2,PT12M00.00S,2024-01-03T01:10:35.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-03T01:10:35Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-01-03T01:10:41.0Z,1,REGULAR,jumpball,recovered,[],0,,,1610612763,0,0,2024-01-03T01:10:41Z,40000,False,,,0,,Jump Ball J. Jackson Jr. vs. V. Wembanyama: Tip to Team (MEM),"[1628991, 1641705]",1610612763.0,MEM,startperiod,Team (MEM),Jackson Jr.,1628991.0,Wembanyama,1641705.0,,,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2024-01-03T01:11:06.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630217,93.38042049934296,43.627450980392155,1610612763,2,0,2024-01-03T01:11:35Z,80000,False,-32.0,10.0,1,right,D. Bane driving reverse Layup (2 PTS) (M. Smart 1 AST),"[1630217, 203935]",1610612763.0,MEM,driving reverse,,,,,,Restricted Area,0-8 Center,3.33,Made,2.0,Bane,D. Bane,M. Smart,203935.0,1.0,,,,,,,,,,,,,,,
10,PT11M19.00S,2024-01-03T01:11:33.2Z,1,REGULAR,foul,personal,[],1628991,,,1610612759,2,0,2024-01-03T01:12:00Z,100000,False,,,0,,J. Jackson Jr. personal FOUL (1 PF),"[1628991, 1641705]",1610612763.0,MEM,,,,,,,Restricted Area,0-8 Center,,,,Jackson Jr.,J. Jackson Jr.,,,,202056.0,1.0,0.0,Wembanyama,1641705.0,,,,,,,,,,
12,PT11M15.00S,2024-01-03T01:12:06.7Z,1,REGULAR,turnover,bad pass,[],1641705,,,1610612759,2,0,2024-01-03T01:12:14Z,120000,False,,,0,,V. Wembanyama bad pass TURNOVER (1 TO),"[1641705, 202687]",1610612759.0,SAS,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Wembanyama,V. Wembanyama,,,,,,,,,1.0,Biyombo,202687.0,,,,,,,
13,PT11M15.00S,2024-01-03T01:12:06.7Z,1,REGULAR,steal,,[],202687,,,1610612763,2,0,2024-01-03T01:12:09Z,130000,False,,,0,,B. Biyombo STEAL (1 STL),[202687],1610612763.0,MEM,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Biyombo,B. Biyombo,,,,,,,,,,,,,,,,,,
14,PT11M00.00S,2024-01-03T01:12:22.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629630,91.27792378449409,57.35294117647059,1610612763,2,0,2024-01-03T01:12:27Z,140000,False,37.0,29.0,1,right,MISS J. Morant driving finger roll Layup - blocked,"[1629630, 1641705]",1610612763.0,MEM,driving finger roll,,,,,,In The Paint (Non-RA),0-8 Center,4.72,Missed,,Morant,J. Morant,,,,,,,,,,,,Wembanyama,1641705.0,,,,,
15,PT11M00.00S,2024-01-03T01:12:22.1Z,1,REGULAR,block,,[],1641705,,,1610612763,2,0,2024-01-03T01:12:24Z,150000,False,,,0,,V. Wembanyama BLOCK (1 BLK),[1641705],1610612759.0,SAS,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Wembanyama,V. Wembanyama,,,,,,,,,,,,,,,,,,
16,PT10M56.00S,2024-01-03T01:12:26.1Z,1,REGULAR,rebound,defensive,[],1630577,,,1610612759,2,0,2024-01-03T01:12:27Z,160000,False,,,0,,J. Champagnie REBOUND (Off:0 Def:1),[1630577],1610612759.0,SAS,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Champagnie,J. Champagnie,,,,,,,,,,,,,,14.0,1.0,1.0,0.0,
17,PT10M54.00S,2024-01-03T01:12:27.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630170,24.78646517739816,13.480392156862745,1610612759,2,3,2024-01-03T01:12:34Z,170000,False,183.0,180.0,1,left,D. Vassell 25' 3PT running (3 PTS) (J. Champagnie 1 AST),"[1630170, 1630577]",1610612759.0,SAS,running,,,,,,Above the Break 3,24+ Right Center,25.68,Made,3.0,Vassell,D. Vassell,J. Champagnie,1630577.0,1.0,,,,,,,,,,,,,,,
