actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-01-30T01:10:10.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-30T01:10:10Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-01-30T01:10:13.7Z,1,REGULAR,jumpball,recovered,[],1630214,,,1610612763,0,0,2024-01-30T01:10:13Z,40000,False,,,0,,Jump Ball J. Jackson Jr. vs. D. Sabonis: Tip to X. Tillman,"[1630214, 1628991, 1627734]",1610612763.0,MEM,startperiod,X. Tillman,1630214.0,Tillman,X. Tillman,Jackson Jr.,1628991.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2024-01-30T01:10:22.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631223,12.434296977660972,39.46078431372549,1610612763,0,0,2024-01-30T01:10:28Z,70000,False,53.0,64.0,1,left,MISS D. Roddy 8' driving floating Shot,[1631223],1610612763.0,MEM,driving floating,,,Roddy,D. Roddy,,,,,In The Paint (Non-RA),8-16 Right,8.32,Missed,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2024-01-30T01:10:27.0Z,1,REGULAR,rebound,offensive,[],1631223,,,1610612763,0,0,2024-01-30T01:10:27Z,80000,False,,,0,,D. Roddy REBOUND (Off:1 Def:0),[1631223],1610612763.0,MEM,,,,Roddy,D. Roddy,,,,,In The Paint (Non-RA),8-16 Right,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M42.00S,2024-01-30T01:10:27.0Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1631223,5.590000152587891,50.0,1610612763,2,0,2024-01-30T01:10:32Z,90000,False,0.0,0.0,1,left,D. Roddy tip Layup (2 PTS),[1631223],1610612763.0,MEM,tip,,,Roddy,D. Roddy,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M31.00S,2024-01-30T01:10:38.7Z,1,REGULAR,turnover,lost ball,[],1627734,,,1610612758,2,0,2024-01-30T01:10:42Z,100000,False,,,0,,D. Sabonis lost ball TURNOVER (1 TO),"[1627734, 1630583]",1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Mid-Range,8-16 Left,,,,,,,,1.0,Aldama,1630583.0,,,,,,,,,,
11,PT11M31.00S,2024-01-30T01:10:38.7Z,1,REGULAR,steal,,[],1630583,,,1610612763,2,0,2024-01-30T01:19:14Z,110000,False,,,0,,S. Aldama STEAL (1 STL),[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
12,PT11M22.00S,2024-01-30T01:10:48.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628991,10.85742444152431,59.31372549019608,1610612763,4,0,2024-01-30T01:10:52Z,120000,False,-47.0,50.0,1,left,J. Jackson Jr. 6' driving floating bank Jump Shot (2 PTS) (X. Tillman 1 AST),"[1628991, 1630214]",1610612763.0,MEM,driving floating bank,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),0-8 Center,6.81,Made,,,,,2.0,,,,X. Tillman,1630214.0,1.0,,,,,,,
14,PT11M12.00S,2024-01-30T01:11:00.4Z,1,REGULAR,turnover,out-of-bounds,[],1628989,,,1610612758,4,0,2024-01-30T01:11:06Z,140000,False,,,0,,K. Huerter bad pass out-of-bounds TURNOVER (1 TO),[1628989],1610612758.0,SAC,bad pass,,,Huerter,K. Huerter,,,,,Above the Break 3,24+ Center,,,,,,,,1.0,,,,,,1626301.0,,,,,,
16,PT11M12.00S,2024-01-30T01:12:12.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612763,4,0,2024-01-30T01:12:41Z,160000,False,,,0,,SAC Timeout,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
