actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-11-24T22:10:41.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-24T22:10:41Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-11-24T22:10:44.8Z,1,REGULAR,jumpball,recovered,[],1628960,,,1610612756,0,0,2023-11-24T22:10:44Z,40000,False,,,0,,Jump Ball J. Nurkic vs. J. Jackson Jr.: Tip to G. Allen,"[1628960, 203994, 1628991]",1610612756.0,PHX,startperiod,G. Allen,1628960.0,Allen,G. Allen,Nurkic,203994.0,Jackson Jr.,1628991.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2023-11-24T22:11:00.3Z,1,REGULAR,2pt,Jump Shot,[],1626164,77.61169513797634,48.529411764705884,1610612756,0,0,2023-11-24T22:11:06Z,70000,False,-7.0,158.0,1,right,MISS D. Booker 15' fadeaway Shot,[1626164],1610612756.0,PHX,fadeaway,,,Booker,D. Booker,,,,,Mid-Range,8-16 Center,15.82,Missed,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2023-11-24T22:11:04.3Z,1,REGULAR,rebound,offensive,[],203994,,,1610612756,0,0,2023-11-24T22:11:06Z,80000,False,,,0,,J. Nurkic REBOUND (Off:1 Def:0),[203994],1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,Mid-Range,8-16 Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M35.00S,2023-11-24T22:11:05.6Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1626164,92.72339027595268,68.38235294117648,1610612756,0,0,2023-11-24T22:11:09Z,90000,False,92.0,16.0,1,right,MISS D. Booker 9' fadeaway Shot,[1626164],1610612756.0,PHX,fadeaway,,,Booker,D. Booker,,,,,Mid-Range,8-16 Right,9.33,Missed,,,,,,,,,,,,,,,,,,
10,PT11M33.00S,2023-11-24T22:11:07.6Z,1,REGULAR,rebound,defensive,[],1628991,,,1610612763,0,0,2023-11-24T22:11:09Z,100000,False,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:1),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Mid-Range,8-16 Right,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M16.00S,2023-11-24T22:11:24.9Z,1,REGULAR,3pt,Jump Shot,[],1630217,29.122864651773984,20.34313725490196,1610612763,0,0,2023-11-24T22:11:29Z,110000,False,148.0,221.0,1,left,MISS D. Bane 26' 3PT - blocked,"[1630217, 1628966]",1610612763.0,MEM,,,,Bane,D. Bane,,,,,Above the Break 3,24+ Right Center,26.64,Missed,,,,,Bates-Diop,1628966.0,,,,,,,,,,,,
12,PT11M16.00S,2023-11-24T22:11:24.9Z,1,REGULAR,block,,[],1628966,,,1610612763,0,0,2023-11-24T22:11:28Z,120000,False,,,0,,K. Bates-Diop BLOCK (1 BLK),[1628966],1610612756.0,PHX,,,,Bates-Diop,K. Bates-Diop,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
13,PT11M12.00S,2023-11-24T22:11:28.9Z,1,REGULAR,rebound,defensive,[],203994,,,1610612756,0,0,2023-11-24T22:11:29Z,130000,False,,,0,,J. Nurkic REBOUND (Off:1 Def:1),[203994],1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,Above the Break 3,24+ Right Center,,,11.0,2.0,1.0,1.0,,,,,,,,,,,,,,
14,PT11M08.00S,2023-11-24T22:11:32.2Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1626164,85.23324572930355,29.901960784313726,1610612756,0,2,2023-11-24T22:11:38Z,140000,False,-100.0,86.0,1,right,D. Booker 13' running pullup Jump Shot (2 PTS) (G. Allen 1 AST),"[1626164, 1628960]",1610612756.0,PHX,running pullup,,,Booker,D. Booker,,,,,Mid-Range,8-16 Left,13.25,Made,,,,,,,2.0,G. Allen,1628960.0,1.0,,,,,,,,
15,PT10M45.00S,2023-11-24T22:11:56.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628991,7.30946123521682,41.911764705882355,1610612763,0,2,2023-11-24T22:12:05Z,150000,False,40.0,16.0,1,left,MISS J. Jackson Jr. floating Shot - blocked,"[1628991, 1628966]",1610612763.0,MEM,floating,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),0-8 Center,4.35,Missed,,,,,Bates-Diop,1628966.0,,,,,,,,,,,,
16,PT10M45.00S,2023-11-24T22:11:56.3Z,1,REGULAR,block,,[],1628966,,,1610612763,0,2,2023-11-24T22:19:21Z,160000,False,,,0,,K. Bates-Diop BLOCK (2 BLK),[1628966],1610612756.0,PHX,,,,Bates-Diop,K. Bates-Diop,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
17,PT10M45.00S,2023-11-24T22:11:56.3Z,1,REGULAR,rebound,offensive,[],1628991,,,1610612763,0,2,2023-11-24T22:12:05Z,170000,False,,,0,,J. Jackson Jr. REBOUND (Off:1 Def:1),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,15.0,2.0,1.0,1.0,,,,,,,,,,,,,,
18,PT10M45.00S,2023-11-24T22:12:00.1Z,1,REGULAR,foul,personal,['2freethrow'],203994,,,1610612763,0,2,2023-11-24T22:12:09Z,180000,False,,,0,,J. Nurkic shooting personal FOUL (1 PF) (Jackson Jr. 2 FT),"[203994, 1628991]",1610612756.0,PHX,shooting,,,Nurkic,J. Nurkic,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,202049.0,1.0,0.0,Jackson Jr.,1628991.0,,,
20,PT10M45.00S,2023-11-24T22:12:27.0Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1628991,,,1610612763,0,2,2023-11-24T22:12:27Z,200000,False,,,0,,MISS J. Jackson Jr. Free Throw 1 of 2,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
21,PT10M45.00S,2023-11-24T22:12:27.0Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612763,0,2,2023-11-24T22:12:27Z,210000,False,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,
23,PT10M45.00S,2023-11-24T22:12:43.9Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1628991,,,1610612763,1,2,2023-11-24T22:12:43Z,220000,False,,,0,,J. Jackson Jr. Free Throw 2 of 2 (1 PTS),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
24,PT10M33.00S,2023-11-24T22:12:57.8Z,1,REGULAR,3pt,Jump Shot,[],1626164,71.04139290407359,74.01960784313727,1610612756,1,2,2023-11-24T22:13:02Z,230000,False,120.0,220.0,1,right,MISS D. Booker 25' pullup 3PT,[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,Above the Break 3,24+ Right Center,25.04,Missed,,,,,,,,,,,,,,,,,,
25,PT10M30.00S,2023-11-24T22:13:00.8Z,1,REGULAR,rebound,defensive,[],1628991,,,1610612763,1,2,2023-11-24T22:13:02Z,240000,False,,,0,,J. Jackson Jr. REBOUND (Off:1 Def:2),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Above the Break 3,24+ Right Center,,,24.0,3.0,2.0,1.0,,,,,,,,,,,,,,
26,PT10M14.00S,2023-11-24T22:13:16.5Z,1,REGULAR,3pt,Jump Shot,[],1631367,3.7614980289093296,95.34313725490196,1610612763,4,2,2023-11-24T22:13:20Z,250000,False,-227.0,-17.0,1,left,J. Gilyard 3PT  (3 PTS) (D. Bane 1 AST),"[1631367, 1630217]",1610612763.0,MEM,,,,Gilyard,J. Gilyard,,,,,Left Corner 3,24+ Left,22.73,Made,,,,,,,3.0,D. Bane,1630217.0,1.0,,,,,,,,
28,PT09M57.00S,2023-11-24T22:13:33.2Z,1,REGULAR,3pt,Jump Shot,[],201569,70.25295663600527,77.45098039215686,1610612756,4,2,2023-11-24T22:13:37Z,270000,False,137.0,227.0,1,right,MISS E. Gordon 26' 3PT,[201569],1610612756.0,PHX,,,,Gordon,E. Gordon,,,,,Above the Break 3,24+ Right Center,26.54,Missed,,,,,,,,,,,,,,,,,,
29,PT09M54.00S,2023-11-24T22:13:36.2Z,1,REGULAR,rebound,defensive,[],1630583,,,1610612763,4,2,2023-11-24T22:13:37Z,280000,False,,,0,,S. Aldama REBOUND (Off:0 Def:1),[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,Above the Break 3,24+ Right Center,,,28.0,1.0,1.0,0.0,,,,,,,,,,,,,,
30,PT09M46.00S,2023-11-24T22:13:43.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630583,12.565703022339028,38.23529411764706,1610612763,6,2,2023-11-24T22:13:48Z,290000,False,59.0,66.0,1,left,S. Aldama 8' driving floating Jump Shot (2 PTS) (D. Bane 2 AST),"[1630583, 1630217]",1610612763.0,MEM,driving floating,,,Aldama,S. Aldama,,,,,In The Paint (Non-RA),8-16 Right,8.81,Made,,,,,,,2.0,D. Bane,1630217.0,2.0,,,,,,,,
31,PT09M30.00S,2023-11-24T22:13:59.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626164,93.24901445466492,46.568627450980394,1610612756,6,4,2023-11-24T22:14:03Z,300000,False,-17.0,11.0,1,right,D. Booker driving Layup (4 PTS),[1626164],1610612756.0,PHX,driving,,,Booker,D. Booker,,,,,Restricted Area,0-8 Center,2.04,Made,,,,,,,4.0,,,,,,,,,,,
32,PT09M08.00S,2023-11-24T22:14:21.8Z,1,REGULAR,3pt,Jump Shot,[],1628991,30.17411300919842,28.431372549019606,1610612763,9,4,2023-11-24T22:14:25Z,310000,False,108.0,231.0,1,left,J. Jackson Jr. 25' 3PT  (4 PTS) (D. Bane 3 AST),"[1628991, 1630217]",1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Above the Break 3,24+ Right Center,25.5,Made,,,,,,,4.0,D. Bane,1630217.0,3.0,,,,,,,,
34,PT08M55.00S,2023-11-24T22:14:37.3Z,1,REGULAR,foul,personal,['2freethrow'],202687,,,1610612756,9,4,2023-11-24T22:14:47Z,330000,False,,,0,,B. Biyombo shooting personal FOUL (1 PF) (Gordon 2 FT),"[202687, 201569]",1610612763.0,MEM,shooting,,,Biyombo,B. Biyombo,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1193.0,1.0,0.0,Gordon,201569.0,,,
36,PT08M55.00S,2023-11-24T22:15:03.9Z,1,REGULAR,freethrow,1 of 2,[],201569,,,1610612756,9,5,2023-11-24T22:15:03Z,350000,False,,,0,,E. Gordon Free Throw 1 of 2 (1 PTS),[201569],1610612756.0,PHX,,,,Gordon,E. Gordon,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
38,PT08M55.00S,2023-11-24T22:15:21.1Z,1,REGULAR,freethrow,2 of 2,[],201569,,,1610612756,9,6,2023-11-24T22:15:21Z,360000,False,,,0,,E. Gordon Free Throw 2 of 2 (2 PTS),[201569],1610612756.0,PHX,,,,Gordon,E. Gordon,,,,,,,,Made,,,,,,,2.0,,,,,,,,,,,
39,PT08M42.00S,2023-11-24T22:15:35.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630217,5.995400788436268,47.05882352941176,1610612763,11,6,2023-11-24T22:15:40Z,370000,False,15.0,4.0,1,left,D. Bane driving finger roll Layup (2 PTS),[1630217],1610612763.0,MEM,driving finger roll,,,Bane,D. Bane,,,,,Restricted Area,0-8 Center,1.52,Made,,,,,,,2.0,,,,,,,,,,,
40,PT08M27.00S,2023-11-24T22:15:50.2Z,1,REGULAR,3pt,Jump Shot,[],201569,67.49342969776609,30.14705882352941,1610612756,11,6,2023-11-24T22:15:54Z,380000,False,-99.0,253.0,1,right,MISS E. Gordon 27' 3PT,[201569],1610612756.0,PHX,,,,Gordon,E. Gordon,,,,,Above the Break 3,24+ Left Center,27.19,Missed,,,,,,,,,,,,,,,,,,
41,PT08M24.00S,2023-11-24T22:15:53.2Z,1,REGULAR,rebound,defensive,[],1628991,,,1610612763,11,6,2023-11-24T22:15:54Z,390000,False,,,0,,J. Jackson Jr. REBOUND (Off:1 Def:3),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Above the Break 3,24+ Left Center,,,40.0,4.0,3.0,1.0,,,,,,,,,,,,,,
42,PT08M17.00S,2023-11-24T22:16:00.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630217,6.258212877792378,55.14705882352941,1610612763,11,6,2023-11-24T22:16:06Z,400000,False,-26.0,6.0,1,left,MISS D. Bane driving floating bank Shot,[1630217],1610612763.0,MEM,driving floating bank,,,Bane,D. Bane,,,,,Restricted Area,0-8 Center,2.65,Missed,,,,,,,,,,,,,,,,,,
43,PT08M15.00S,2023-11-24T22:16:02.1Z,1,REGULAR,rebound,defensive,[],203994,,,1610612756,11,6,2023-11-24T22:16:06Z,410000,False,,,0,,J. Nurkic REBOUND (Off:1 Def:2),[203994],1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,Restricted Area,0-8 Center,,,42.0,3.0,2.0,1.0,,,,,,,,,,,,,,
44,PT08M10.00S,2023-11-24T22:16:17.8Z,1,REGULAR,turnover,bad pass,[],1626164,,,1610612756,11,6,2023-11-24T22:20:11Z,420000,False,,,0,,D. Booker bad pass TURNOVER (1 TO),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,1.0,,
45,PT08M10.00S,2023-11-24T22:16:23.6Z,1,REGULAR,foul,personal,[],1626164,,,1610612763,11,6,2023-11-24T22:18:39Z,430000,False,,,0,,D. Booker loose ball personal FOUL (1 PF),"[1626164, 1628991]",1610612756.0,PHX,loose ball,,,Booker,D. Booker,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,202049.0,1.0,0.0,Jackson Jr.,1628991.0,,,
47,PT07M54.00S,2023-11-24T22:16:49.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630583,4.155716162943495,2.941176470588235,1610612763,11,6,2023-11-24T22:16:52Z,450000,False,235.0,-13.0,1,left,MISS S. Aldama 3PT,[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,Right Corner 3,24+ Right,23.57,Missed,,,,,,,,,,,,,,,,,,
