actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-12-09T01:10:37.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-09T01:10:37Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2023-12-09T01:10:40.6Z,1,REGULAR,jumpball,recovered,[],1631223,,,1610612763,0,0,2023-12-09T01:10:40Z,40000,False,,,0,,Jump Ball J. Jackson Jr. vs. R. Gobert: Tip to D. Roddy,"[1631223, 1628991, 203497]",1610612763.0,MEM,startperiod,D. Roddy,1631223.0,Roddy,D. Roddy,Jackson Jr.,1628991.0,Gobert,203497.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2023-12-09T01:10:51.3Z,1,REGULAR,3pt,Jump Shot,[],1628991,29.122864651773984,27.941176470588236,1610612763,0,0,2023-12-09T01:10:54Z,70000,False,110.0,221.0,1,left,MISS J. Jackson Jr. 24' 3PT,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Above the Break 3,24+ Right Center,24.73,Missed,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2023-12-09T01:10:54.3Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,0,0,2023-12-09T01:10:54Z,80000,False,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M25.00S,2023-12-09T01:11:10.4Z,1,REGULAR,3pt,Jump Shot,[],1629638,71.82982917214193,22.058823529411764,1610612750,0,0,2023-12-09T01:11:18Z,90000,False,-140.0,212.0,1,right,MISS N. Alexander-Walker 25' 3PT,[1629638],1610612750.0,MIN,,,,Alexander-Walker,N. Alexander-Walker,,,,,Above the Break 3,24+ Left Center,25.41,Missed,,,,,,,,,,,,,,,,,,
10,PT11M23.00S,2023-12-09T01:11:12.4Z,1,REGULAR,rebound,offensive,[],203497,,,1610612750,0,0,2023-12-09T01:11:18Z,100000,False,,,0,,R. Gobert REBOUND (Off:1 Def:1),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Above the Break 3,24+ Left Center,,,9.0,2.0,1.0,1.0,,,,,,,,,,,,,,
11,PT11M22.00S,2023-12-09T01:11:14.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203497,92.85479632063075,47.794117647058826,1610612750,0,0,2023-12-09T01:11:26Z,110000,False,-11.0,15.0,1,right,MISS R. Gobert putback Layup,[203497],1610612750.0,MIN,putback,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,1.84,Missed,,,,,,,,,,,,,,,,,,
12,PT11M22.00S,2023-12-09T01:11:14.5Z,1,REGULAR,rebound,offensive,[],203497,,,1610612750,0,0,2023-12-09T01:11:26Z,120000,False,,,0,,R. Gobert REBOUND (Off:2 Def:1),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,11.0,3.0,1.0,2.0,,,,,,,,,,,,,,
13,PT11M22.00S,2023-12-09T01:11:21.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance', 'defensivegoaltending']",203497,94.40999984741211,50.0,1610612750,0,2,2023-12-09T01:11:36Z,130000,False,0.0,0.0,1,right,R. Gobert tip Layup (2 PTS),[203497],1610612750.0,MIN,tip,,,Gobert,R. Gobert,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,2.0,,,,,,,,,,,,,
14,PT11M22.00S,2023-12-09T01:11:27.1Z,1,REGULAR,violation,defensive goaltending,[],1628991,,,1610612750,0,2,2023-12-09T01:11:36Z,140000,False,,,0,,J. Jackson Jr. defensive goaltending VIOLATION,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,202056.0,,,,,,,,,,,,
15,PT11M10.00S,2023-12-09T01:11:33.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631223,6.1268068331143235,51.225490196078425,1610612763,2,2,2023-12-09T01:11:39Z,150000,False,-6.0,5.0,1,left,D. Roddy driving DUNK (2 PTS) (D. Rose 1 AST),"[1631223, 201565]",1610612763.0,MEM,driving,,,Roddy,D. Roddy,,,,,Restricted Area,0-8 Center,0.8,Made,,,,,2.0,,D. Rose,201565.0,1.0,,,,,,,,,
17,PT10M54.00S,2023-12-09T01:11:49.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203497,84.57621550591328,49.754901960784316,1610612750,2,2,2023-12-09T01:11:53Z,170000,False,-1.0,92.0,1,right,MISS R. Gobert 9' floating Shot,[203497],1610612750.0,MIN,floating,,,Gobert,R. Gobert,,,,,In The Paint (Non-RA),8-16 Center,9.25,Missed,,,,,,,,,,,,,,,,,,
