actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,officialId,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-03-02T01:10:13.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-02T01:10:13Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PT12M00.00S,2024-03-02T01:10:23.3Z,1,REGULAR,violation,delay-of-game,['team'],0,,,0,0,0,2024-03-02T01:12:53Z,25000,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612763.0,MEM,202007.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2024-03-02T01:10:24.7Z,1,REGULAR,jumpball,recovered,[],1629014,,,1610612757,0,0,2024-03-02T01:10:19Z,40000,False,,,0,,Jump Ball D. Reath vs. T. Jemison: Tip to A. Simons,"[1629014, 1641871, 1641998]",1610612757.0,POR,,startperiod,A. Simons,1629014.0,Simons,A. Simons,Reath,1641871.0,Jemison,1641998.0,,,,,,,,,,,,,,,,,,,,,
9,PT11M44.00S,2024-03-02T01:10:27.5Z,1,REGULAR,3pt,Jump Shot,[],203924,72.22404730617609,81.86274509803921,1610612757,0,0,2024-03-02T01:11:15Z,90000,False,159.0,209.0,1,right,MISS J. Grant 26' 3PT,[203924],1610612757.0,POR,,,,,Grant,J. Grant,,,,,Above the Break 3,24+ Right Center,26.25,Missed,,,,,,,,,,,,,,,,,
10,PT11M42.00S,2024-03-02T01:10:30.2Z,1,REGULAR,rebound,offensive,[],1629014,,,1610612757,0,0,2024-03-02T01:10:30Z,100000,False,,,0,,A. Simons REBOUND (Off:1 Def:0),[1629014],1610612757.0,POR,,,,,Simons,A. Simons,,,,,Above the Break 3,24+ Right Center,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,
11,PT11M38.00S,2024-03-02T01:10:34.9Z,1,REGULAR,turnover,lost ball,[],1629014,,,1610612757,0,0,2024-03-02T01:11:21Z,110000,False,,,0,,A. Simons lost ball TURNOVER (1 TO),"[1629014, 1630692]",1610612757.0,POR,,,,,Simons,A. Simons,,,,,Mid-Range,8-16 Left,,,,,,,1.0,Goodwin,1630692.0,,,,,,,,,,
12,PT11M38.00S,2024-03-02T01:10:34.9Z,1,REGULAR,steal,,[],1630692,,,1610612763,0,0,2024-03-02T01:10:36Z,120000,False,,,0,,J. Goodwin STEAL (1 STL),[1630692],1610612763.0,MEM,,,,,Goodwin,J. Goodwin,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,
13,PT11M32.00S,2024-03-02T01:10:40.6Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630692,21.76412614980289,9.068627450980392,1610612763,3,0,2024-03-02T01:12:04Z,130000,False,205.0,152.0,1,left,J. Goodwin 25' 3PT running (3 PTS) (V. Williams Jr. 1 AST),"[1630692, 1631246]",1610612763.0,MEM,,running,,,Goodwin,J. Goodwin,,,,,Above the Break 3,24+ Right Center,25.5,Made,,,,,,,,3.0,V. Williams Jr.,1631246.0,1.0,,,,,,
15,PT11M15.00S,2024-03-02T01:10:57.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203924,86.41590013140605,46.32352941176471,1610612757,3,2,2024-03-02T01:11:26Z,150000,False,-18.0,75.0,1,right,J. Grant 7' driving floating Jump Shot (2 PTS) (A. Simons 1 AST),"[203924, 1629014]",1610612757.0,POR,,driving floating,,,Grant,J. Grant,,,,,In The Paint (Non-RA),0-8 Center,7.74,Made,,,,,,,,2.0,A. Simons,1629014.0,1.0,,,,,,
17,PT10M49.00S,2024-03-02T01:11:23.7Z,1,REGULAR,2pt,Jump Shot,[],1630692,17.69053876478318,67.64705882352942,1610612763,3,2,2024-03-02T01:11:31Z,170000,False,-88.0,114.0,1,left,MISS J. Goodwin 14' fadeaway Shot,[1630692],1610612763.0,MEM,,fadeaway,,,Goodwin,J. Goodwin,,,,,Mid-Range,8-16 Left,14.4,Missed,,,,,,,,,,,,,,,,,
18,PT10M49.00S,2024-03-02T01:11:23.7Z,1,REGULAR,rebound,offensive,[],1641998,,,1610612763,3,2,2024-03-02T01:11:31Z,180000,False,,,0,,T. Jemison REBOUND (Off:1 Def:0),[1641998],1610612763.0,MEM,,,,,Jemison,T. Jemison,,,,,Mid-Range,8-16 Left,,,17.0,1.0,0.0,1.0,,,,,,,,,,,,,
19,PT10M43.00S,2024-03-02T01:11:29.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630533,22.683968462549277,11.029411764705882,1610612763,3,2,2024-03-02T01:11:33Z,190000,False,195.0,161.0,1,left,MISS Z. Williams 25' 3PT,[1630533],1610612763.0,MEM,,,,,Williams,Z. Williams,,,,,Above the Break 3,24+ Right Center,25.26,Missed,,,,,,,,,,,,,,,,,
20,PT10M43.00S,2024-03-02T01:11:29.2Z,1,REGULAR,rebound,defensive,[],1641739,,,1610612757,3,2,2024-03-02T01:11:33Z,200000,False,,,0,,T. Camara REBOUND (Off:0 Def:1),[1641739],1610612757.0,POR,,,,,Camara,T. Camara,,,,,Above the Break 3,24+ Right Center,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,,
246,PT10M36.00S,2024-03-02T01:11:34.1Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1641739,93.24901445466492,51.9607843137255,1610612757,3,2,2024-03-02T01:48:30Z,205000,False,10.0,11.0,1,right,MISS T. Camara running Layup - blocked,"[1641739, 1630692]",1610612757.0,POR,,running,,,Camara,T. Camara,,,,,Restricted Area,0-8 Center,1.47,Missed,,,,,,,,,,,,Goodwin,1630692.0,,,,
247,PT10M36.00S,2024-03-02T01:11:34.1Z,1,REGULAR,block,,[],1630692,,,1610612757,3,2,2024-03-02T01:48:30Z,207500,False,,,0,,J. Goodwin BLOCK (1 BLK),[1630692],1610612763.0,MEM,,,,,Goodwin,J. Goodwin,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,
248,PT10M36.00S,2024-03-02T01:11:34.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612763,3,2,2024-03-02T01:48:30Z,208750,False,,,0,,TEAM defensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,Restricted Area,0-8 Center,,,246.0,,,,,,,,,,,,,,,,
22,PT10M23.00S,2024-03-02T01:12:00.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631246,11.908672798948752,34.31372549019608,1610612763,3,2,2024-03-02T01:48:47Z,220000,False,78.0,59.0,1,left,MISS V. Williams Jr. 9' driving floating bank Shot,[1631246],1610612763.0,MEM,,driving floating bank,,,Williams Jr.,V. Williams Jr.,,,,,In The Paint (Non-RA),8-16 Right,9.84,Missed,,,,,,,,,,,,,,,,,
23,PT10M23.00S,2024-03-02T01:12:00.3Z,1,REGULAR,rebound,defensive,[],1641871,,,1610612757,3,2,2024-03-02T01:12:07Z,230000,False,,,0,,D. Reath REBOUND (Off:0 Def:1),[1641871],1610612757.0,POR,,,,,Reath,D. Reath,,,,,In The Paint (Non-RA),8-16 Right,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,,
24,PT10M05.00S,2024-03-02T01:12:18.7Z,1,REGULAR,2pt,Jump Shot,[],203924,78.66294349540078,72.54901960784314,1610612757,3,2,2024-03-02T01:12:24Z,240000,False,113.0,148.0,1,right,MISS J. Grant 18' pullup Shot,[203924],1610612757.0,POR,,pullup,,,Grant,J. Grant,,,,,Mid-Range,16-24 Right Center,18.61,Missed,,,,,,,,,,,,,,,,,
