actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-01-13T01:10:25.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-13T01:10:25Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-01-13T01:10:27.1Z,1,REGULAR,jumpball,recovered,[],1630217,,,1610612763,0,0,2024-01-13T01:10:27Z,40000,False,,,0,,Jump Ball J. Jackson Jr. vs. I. Zubac: Tip to D. Bane,"[1630217, 1628991, 1627826]",1610612763.0,MEM,startperiod,D. Bane,1630217.0,Bane,D. Bane,Jackson Jr.,1628991.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2024-01-13T01:10:40.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630217,88.51839684625493,46.32352941176471,1610612763,0,0,2024-01-13T01:10:44Z,70000,False,-18.0,55.0,1,right,MISS D. Bane driving finger roll Layup,[1630217],1610612763.0,MEM,driving finger roll,,,Bane,D. Bane,,,,,In The Paint (Non-RA),0-8 Center,5.84,Missed,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2024-01-13T01:10:43.8Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,0,0,2024-01-13T01:10:44Z,80000,False,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M37.00S,2024-01-13T01:10:47.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",202331,8.229303547963205,54.65686274509803,1610612746,0,0,2024-01-13T01:10:53Z,90000,False,-23.0,25.0,1,left,MISS P. George running Layup - blocked,"[202331, 1628991]",1610612746.0,LAC,running,,,George,P. George,,,,,Restricted Area,0-8 Center,3.41,Missed,,,,,Jackson Jr.,1628991.0,,,,,,,,,,,,
10,PT11M37.00S,2024-01-13T01:10:47.6Z,1,REGULAR,block,,[],1628991,,,1610612746,0,0,2024-01-13T01:10:50Z,100000,False,,,0,,J. Jackson Jr. BLOCK (1 BLK),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M37.00S,2024-01-13T01:10:47.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612746,0,0,2024-01-13T01:10:53Z,110000,False,,,0,,TEAM offensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,Restricted Area,0-8 Center,,,9.0,,,,,,,,,,,,,,,,,
13,PT11M24.00S,2024-01-13T01:11:25.0Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],202331,27.808804204993432,46.81372549019608,1610612746,0,0,2024-01-13T02:23:37Z,130000,False,16.0,209.0,1,left,MISS P. George 20' step back Shot,[202331],1610612746.0,LAC,step back,,,George,P. George,,,,,Mid-Range,16-24 Center,20.95,Missed,,,,,,,,,,,,,,,,,,
14,PT11M21.00S,2024-01-13T01:11:28.0Z,1,REGULAR,rebound,defensive,[],1630214,,,1610612763,0,0,2024-01-13T01:11:28Z,140000,False,,,0,,X. Tillman REBOUND (Off:0 Def:1),[1630214],1610612763.0,MEM,,,,Tillman,X. Tillman,,,,,Mid-Range,16-24 Center,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT11M17.00S,2024-01-13T01:11:32.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628991,65.65374507227332,60.049019607843135,1610612763,0,0,2024-01-13T01:11:39Z,150000,False,50.0,270.0,1,right,MISS J. Jackson Jr. 27' running 3PT,[1628991],1610612763.0,MEM,running,,,Jackson Jr.,J. Jackson Jr.,,,,,Above the Break 3,24+ Center,27.5,Missed,,,,,,,,,,,,,,,,,,
