actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-02-02T01:10:29.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-02-02T01:10:29Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-02-02T01:10:32.5Z,1,REGULAR,jumpball,recovered,[],1630590,,,1610612763,0,0,2024-02-02T01:10:32Z,40000,False,,,0,,Jump Ball J. Jackson Jr. vs. J. Allen: Tip to S. Pippen Jr.,"[1630590, 1628991, 1628386]",1610612763.0,MEM,startperiod,S. Pippen Jr.,1630590.0,Pippen Jr.,S. Pippen Jr.,Jackson Jr.,1628991.0,Allen,1628386.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2024-02-02T01:10:43.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628991,5.732588699080158,55.14705882352941,1610612763,0,0,2024-02-02T01:10:54Z,70000,False,-26.0,1.0,1,left,MISS J. Jackson Jr. driving finger roll Layup - blocked,"[1628991, 1628386]",1610612763.0,MEM,driving finger roll,,,Jackson Jr.,J. Jackson Jr.,,,,,Restricted Area,0-8 Center,2.57,Missed,Allen,1628386.0,,,,,,,,,,,,,,,,
8,PT11M44.00S,2024-02-02T01:10:43.7Z,1,REGULAR,block,,[],1628386,,,1610612763,0,0,2024-02-02T01:10:48Z,80000,False,,,0,,J. Allen BLOCK (1 BLK),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M36.00S,2024-02-02T01:10:51.7Z,1,REGULAR,rebound,offensive,[],1630590,,,1610612763,0,0,2024-02-02T01:13:09Z,90000,False,,,0,,S. Pippen Jr. REBOUND (Off:1 Def:0),[1630590],1610612763.0,MEM,,,,Pippen Jr.,S. Pippen Jr.,,,,,Restricted Area,0-8 Center,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,
10,PT11M35.00S,2024-02-02T01:10:53.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1631246,30.962549277266753,29.901960784313726,1610612763,0,0,2024-02-02T01:13:25Z,100000,False,100.0,239.0,1,left,MISS V. Williams Jr. 25' 3PT,[1631246],1610612763.0,MEM,,,,Williams Jr.,V. Williams Jr.,,,,,Above the Break 3,24+ Right Center,25.88,Missed,,,,,,,,,,,,,,,,,,
11,PT11M32.00S,2024-02-02T01:10:56.4Z,1,REGULAR,rebound,defensive,[],1629622,,,1610612739,0,0,2024-02-02T01:10:57Z,110000,False,,,0,,M. Strus REBOUND (Off:0 Def:1),[1629622],1610612739.0,CLE,,,,Strus,M. Strus,,,,,Above the Break 3,24+ Right Center,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,
12,PT11M29.00S,2024-02-02T01:10:58.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628378,69.20170827858082,17.647058823529413,1610612739,0,3,2024-02-02T01:18:02Z,120000,False,-162.0,237.0,1,right,D. Mitchell 28' 3PT step back (3 PTS),[1628378],1610612739.0,CLE,step back,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Left Center,28.7,Made,,,,,,,3.0,,,,,,,,,,,
13,PT11M14.00S,2024-02-02T01:11:13.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628991,6.521024967148489,46.07843137254902,1610612763,2,3,2024-02-02T01:11:18Z,130000,False,20.0,9.0,1,left,J. Jackson Jr. driving Layup (2 PTS),[1628991],1610612763.0,MEM,driving,,,Jackson Jr.,J. Jackson Jr.,,,,,Restricted Area,0-8 Center,2.15,Made,,,,,,,2.0,,,,,,,,,,,
14,PT10M52.00S,2024-02-02T01:11:35.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628386,89.83245729303549,50.98039215686274,1610612739,2,3,2024-02-02T01:11:42Z,140000,False,5.0,43.0,1,right,MISS J. Allen cutting Layup - blocked,"[1628386, 1630583]",1610612739.0,CLE,cutting,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,4.34,Missed,Aldama,1630583.0,,,,,,,,,,,,,,,,
15,PT10M52.00S,2024-02-02T01:11:35.9Z,1,REGULAR,block,,[],1630583,,,1610612739,2,3,2024-02-02T01:11:41Z,150000,False,,,0,,S. Aldama BLOCK (1 BLK),[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
16,PT10M50.00S,2024-02-02T01:11:37.9Z,1,REGULAR,rebound,defensive,[],1630583,,,1610612763,2,3,2024-02-02T01:11:42Z,160000,False,,,0,,S. Aldama REBOUND (Off:0 Def:1),[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,Restricted Area,0-8 Center,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,
17,PT10M50.00S,2024-02-02T01:11:45.9Z,1,REGULAR,violation,kicked ball,[],1629731,,,1610612763,2,3,2024-02-02T01:18:35Z,170000,False,,,0,,D. Wade kicked ball VIOLATION,[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,,,,,,,,,,,,1146.0,,,,,,,,,,
18,PT10M35.00S,2024-02-02T01:12:07.8Z,1,REGULAR,turnover,lost ball,[],1628991,,,1610612763,2,3,2024-02-02T01:12:11Z,180000,False,,,0,,J. Jackson Jr. lost ball TURNOVER (1 TO),"[1628991, 1629636]",1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1.0,Garland,1629636.0,,,,,,,
19,PT10M35.00S,2024-02-02T01:12:07.8Z,1,REGULAR,steal,,[],1629636,,,1610612739,2,3,2024-02-02T01:25:27Z,190000,False,,,0,,D. Garland STEAL (1 STL),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
20,PT10M27.00S,2024-02-02T01:12:15.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628378,77.21747700394218,8.333333333333332,1610612739,2,3,2024-02-02T01:12:21Z,200000,False,-208.0,162.0,1,right,MISS D. Mitchell 26' step back 3PT,[1628378],1610612739.0,CLE,step back,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Left Center,26.37,Missed,,,,,,,,,,,,,,,,,,
21,PT10M24.00S,2024-02-02T01:12:18.5Z,1,REGULAR,rebound,defensive,[],1630590,,,1610612763,2,3,2024-02-02T01:12:21Z,210000,False,,,0,,S. Pippen Jr. REBOUND (Off:1 Def:1),[1630590],1610612763.0,MEM,,,,Pippen Jr.,S. Pippen Jr.,,,,,Above the Break 3,24+ Left Center,,,,,20.0,2.0,1.0,1.0,,,,,,,,,,,,
