actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-11-20T01:10:44.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-20T01:10:44Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-11-20T01:10:47.2Z,1,REGULAR,jumpball,recovered,[],1628401,,,1610612738,0,0,2023-11-20T01:10:47Z,40000,False,,,0,,Jump Ball K. Porzingis vs. J. Jackson Jr.: Tip to D. White,"[1628401, 204001, 1628991]",1610612738.0,BOS,startperiod,D. White,1628401.0,White,D. White,Porzingis,204001.0,Jackson Jr.,1628991.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M53.00S,2023-11-20T01:10:51.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627759,94.69448094612353,49.50980392156863,1610612738,0,2,2023-11-20T01:10:54Z,70000,False,-2.0,-3.0,1,right,J. Brown driving DUNK (2 PTS) (D. White 1 AST),"[1627759, 1628401]",1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,0.36,Made,2.0,D. White,1628401.0,1.0,,,,,,,,,,,,,,
8,PT11M35.00S,2023-11-20T01:11:08.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628991,10.200394218134035,56.61764705882353,1610612763,0,2,2023-11-20T01:11:12Z,80000,False,-33.0,43.0,1,left,MISS J. Jackson Jr. driving finger roll Layup - blocked,"[1628991, 204001]",1610612763.0,MEM,driving finger roll,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),0-8 Center,5.46,Missed,,,,,Porzingis,204001.0,,,,,,,,,,,,
9,PT11M35.00S,2023-11-20T01:11:08.2Z,1,REGULAR,block,,[],204001,,,1610612763,0,2,2023-11-20T01:11:11Z,90000,False,,,0,,K. Porzingis BLOCK (1 BLK),[204001],1610612738.0,BOS,,,,Porzingis,K. Porzingis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
10,PT11M31.00S,2023-11-20T01:11:12.2Z,1,REGULAR,rebound,defensive,[],204001,,,1610612738,0,2,2023-11-20T01:13:13Z,100000,False,,,0,,K. Porzingis REBOUND (Off:0 Def:1),[204001],1610612738.0,BOS,,,,Porzingis,K. Porzingis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,8.0,1.0,1.0,0.0,,,,,,,,
11,PT11M26.00S,2023-11-20T01:11:17.3Z,1,REGULAR,turnover,bad pass,[],201950,,,1610612738,0,2,2023-11-20T01:11:20Z,110000,False,,,0,,J. Holiday bad pass TURNOVER (1 TO),"[201950, 1628991]",1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,1.0,Jackson Jr.,1628991.0,,,,,
12,PT11M26.00S,2023-11-20T01:11:17.3Z,1,REGULAR,steal,,[],1628991,,,1610612763,0,2,2023-11-20T01:11:19Z,120000,False,,,0,,J. Jackson Jr. STEAL (1 STL),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
13,PT11M20.00S,2023-11-20T01:11:23.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630217,30.042706964520367,67.8921568627451,1610612763,0,2,2023-11-20T01:11:27Z,130000,False,-89.0,230.0,1,left,MISS D. Bane 24' 3PT,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,Above the Break 3,24+ Left Center,24.67,Missed,,,,,,,,,,,,,,,,,,
14,PT11M16.00S,2023-11-20T01:11:27.6Z,1,REGULAR,rebound,defensive,[],204001,,,1610612738,0,2,2023-11-20T01:11:27Z,140000,False,,,0,,K. Porzingis REBOUND (Off:0 Def:2),[204001],1610612738.0,BOS,,,,Porzingis,K. Porzingis,,,,,Above the Break 3,24+ Left Center,,,,,,,,,13.0,2.0,2.0,0.0,,,,,,,,
