actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-10-27T23:10:19.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-10-27T23:10:19Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2023-10-27T23:10:24.2Z,1,REGULAR,jumpball,recovered,[],1628991,,,1610612763,0,0,2023-10-27T23:10:24Z,40000,False,,,0,,Jump Ball J. Jackson Jr. vs. N. Jokic: Tip to J. Jackson Jr.,"[1628991, 1628991, 203999]",1610612763.0,MEM,startperiod,J. Jackson Jr.,1628991.0,Jackson Jr.,J. Jackson Jr.,Jackson Jr.,1628991.0,Jokic,203999.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2023-10-27T23:10:41.7Z,1,REGULAR,3pt,Jump Shot,[],1630217,35.03613666228647,25.0,1610612763,0,0,2023-10-27T23:10:47Z,70000,False,125.0,277.0,1,left,MISS D. Bane 30' pullup 3PT,[1630217],1610612763.0,MEM,pullup,,,Bane,D. Bane,,,,,Above the Break 3,24+ Right Center,30.37,Missed,,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2023-10-27T23:10:44.7Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,0,0,2023-10-27T23:10:47Z,80000,False,,,0,,N. Jokic REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M25.00S,2023-10-27T23:10:54.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203932,92.85479632063075,57.59803921568627,1610612743,0,0,2023-10-27T23:11:03Z,90000,False,38.0,15.0,1,right,MISS A. Gordon driving Layup - blocked,"[203932, 1630214]",1610612743.0,DEN,driving,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,4.07,Missed,,,,,Tillman,1630214.0,,,,,,,,,,,,
10,PT11M25.00S,2023-10-27T23:10:54.5Z,1,REGULAR,block,,[],1630214,,,1610612743,0,0,2023-10-27T23:10:57Z,100000,False,,,0,,X. Tillman BLOCK (1 BLK),[1630214],1610612763.0,MEM,,,,Tillman,X. Tillman,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M21.00S,2023-10-27T23:10:58.5Z,1,REGULAR,rebound,defensive,[],1630214,,,1610612763,0,0,2023-10-27T23:11:03Z,110000,False,,,0,,X. Tillman REBOUND (Off:0 Def:1),[1630214],1610612763.0,MEM,,,,Tillman,X. Tillman,,,,,Restricted Area,0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M16.00S,2023-10-27T23:11:05.9Z,1,REGULAR,violation,kicked ball,[],203999,,,1610612763,0,0,2023-10-27T23:11:10Z,120000,False,,,0,,N. Jokic kicked ball VIOLATION,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,,2530.0,,,,,,,,,,,
13,PT11M12.00S,2023-10-27T23:11:27.1Z,1,REGULAR,2pt,Jump Shot,[],203935,21.895532194480946,31.862745098039213,1610612763,0,0,2023-10-27T23:11:32Z,130000,False,91.0,153.0,1,left,MISS M. Smart 17' pullup Shot,[203935],1610612763.0,MEM,pullup,,,Smart,M. Smart,,,,,Mid-Range,16-24 Right Center,17.81,Missed,,,,,,,,,,,,,,,,,,
14,PT11M09.00S,2023-10-27T23:11:30.1Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,0,0,2023-10-27T23:11:32Z,140000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:1),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Mid-Range,16-24 Right Center,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT10M53.00S,2023-10-27T23:11:46.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203932,91.27792378449409,53.92156862745098,1610612743,0,0,2023-10-27T23:11:52Z,150000,False,20.0,29.0,1,right,MISS A. Gordon driving reverse Layup,[203932],1610612743.0,DEN,driving reverse,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,3.54,Missed,,,,,,,,,,,,,,,,,,
16,PT10M48.00S,2023-10-27T23:11:51.4Z,1,REGULAR,rebound,offensive,[],203999,,,1610612743,0,0,2023-10-27T23:11:52Z,160000,False,,,0,,N. Jokic REBOUND (Off:1 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,,,15.0,2.0,1.0,1.0,,,,,,,,,,,,,,
17,PT10M48.00S,2023-10-27T23:11:51.5Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",203999,94.40999984741211,50.0,1610612743,0,2,2023-10-27T23:11:53Z,170000,False,0.0,0.0,1,right,N. Jokic putback Layup (2 PTS),[203999],1610612743.0,DEN,putback,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,,,,2.0,,,,,,,,,,
18,PT10M36.00S,2023-10-27T23:12:02.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628991,11.12023653088042,52.450980392156865,1610612763,2,2,2023-10-27T23:12:12Z,180000,False,-12.0,52.0,1,left,J. Jackson Jr. turnaround Hook (2 PTS) (Z. Williams 1 AST),"[1628991, 1630533]",1610612763.0,MEM,turnaround,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),0-8 Center,5.34,Made,,,,,,,,2.0,Z. Williams,1630533.0,1.0,,,,,,,
20,PT10M21.00S,2023-10-27T23:12:21.7Z,1,REGULAR,foul,personal,[],203935,,,1610612743,2,2,2023-10-27T23:12:31Z,200000,False,,,0,,M. Smart personal FOUL (1 PF),"[203935, 1627750]",1610612763.0,MEM,,,,Smart,M. Smart,,,,,Above the Break 3,24+ Center,,,,,,,,,1629178.0,,,,,1.0,0.0,Murray,1627750.0,,,
22,PT10M18.00S,2023-10-27T23:12:46.2Z,1,REGULAR,foul,personal,[],1630214,,,1610612743,2,2,2023-10-27T23:12:53Z,220000,False,,,0,,X. Tillman personal FOUL (1 PF),"[1630214, 203999]",1610612763.0,MEM,,,,Tillman,X. Tillman,,,,,Mid-Range,8-16 Left,,,,,,,,,1629178.0,,,,,1.0,0.0,Jokic,203999.0,,,
24,PT10M07.00S,2023-10-27T23:13:15.9Z,1,REGULAR,3pt,Jump Shot,[],203484,68.54467805519053,25.245098039215684,1610612743,2,2,2023-10-27T23:13:21Z,240000,False,-124.0,243.0,1,right,MISS K. Caldwell-Pope 27' 3PT,[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Above the Break 3,24+ Left Center,27.29,Missed,,,,,,,,,,,,,,,,,,
25,PT10M05.00S,2023-10-27T23:13:17.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612763,2,2,2023-10-27T23:13:21Z,250000,False,,,0,,TEAM defensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,Above the Break 3,24+ Left Center,,,24.0,,,,,,,,,,,,,,,,,
27,PT09M54.00S,2023-10-27T23:13:41.1Z,1,REGULAR,3pt,Jump Shot,[],1630217,28.465834428383708,73.0392156862745,1610612763,2,2,2023-10-27T23:13:45Z,270000,False,-115.0,215.0,1,left,MISS D. Bane 24' pullup 3PT,[1630217],1610612763.0,MEM,pullup,,,Bane,D. Bane,,,,,Above the Break 3,24+ Left Center,24.4,Missed,,,,,,,,,,,,,,,,,,
28,PT09M51.00S,2023-10-27T23:13:44.4Z,1,REGULAR,rebound,offensive,[],1630533,,,1610612763,2,2,2023-10-27T23:13:44Z,280000,False,,,0,,Z. Williams REBOUND (Off:1 Def:0),[1630533],1610612763.0,MEM,,,,Williams,Z. Williams,,,,,Above the Break 3,24+ Left Center,,,27.0,1.0,0.0,1.0,,,,,,,,,,,,,,
