actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-10-26T00:12:50.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-10-26T00:12:50Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-10-26T00:12:52.0Z,1,REGULAR,jumpball,recovered,[],203935,,,1610612763,0,0,2023-10-26T00:12:52Z,40000,False,,,0,,Jump Ball J. Jackson Jr. vs. J. Valanciunas: Tip to M. Smart,"[203935, 1628991, 202685]",1610612763.0,MEM,startperiod,M. Smart,203935.0,Smart,M. Smart,Jackson Jr.,1628991.0,Valanciunas,202685.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2023-10-26T00:13:10.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630214,94.03745072273325,50.0,1610612763,2,0,2023-10-26T00:13:14Z,70000,False,0.0,4.0,1,right,X. Tillman cutting DUNK (2 PTS) (D. Bane 1 AST),"[1630214, 1630217]",1610612763.0,MEM,cutting,,,Tillman,X. Tillman,,,,,Restricted Area,0-8 Center,0.35,Made,2.0,D. Bane,1630217.0,1.0,,,,,,,,,,,,,,
9,PT11M22.00S,2023-10-26T00:13:26.4Z,1,REGULAR,foul,personal,['2freethrow'],1630214,,,1610612740,2,0,2023-10-26T00:13:38Z,90000,False,,,0,,X. Tillman shooting personal FOUL (1 PF) (Williamson 2 FT),"[1630214, 1629627]",1610612763.0,MEM,shooting,,,Tillman,X. Tillman,,,,,Restricted Area,0-8 Center,,,,,,,2004.0,1.0,0.0,Williamson,1629627.0,,,,,,,,,
11,PT11M22.00S,2023-10-26T00:13:56.2Z,1,REGULAR,freethrow,1 of 2,[],1629627,,,1610612740,2,1,2023-10-26T00:13:56Z,110000,False,,,0,,Z. Williamson Free Throw 1 of 2 (1 PTS),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
12,PT11M22.00S,2023-10-26T00:14:12.5Z,1,REGULAR,freethrow,2 of 2,[],1629627,,,1610612740,2,2,2023-10-26T00:14:12Z,120000,False,,,0,,Z. Williamson Free Throw 2 of 2 (2 PTS),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
13,PT11M14.00S,2023-10-26T00:14:24.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628991,91.01511169513797,50.73529411764706,1610612763,2,2,2023-10-26T00:14:28Z,130000,False,4.0,32.0,1,right,MISS J. Jackson Jr. driving Layup - blocked,"[1628991, 203468]",1610612763.0,MEM,driving,,,Jackson Jr.,J. Jackson Jr.,,,,,Restricted Area,0-8 Center,3.22,Missed,,,,,,,,,,McCollum,203468.0,,,,,,,
14,PT11M14.00S,2023-10-26T00:14:24.0Z,1,REGULAR,block,,[],203468,,,1610612763,2,2,2023-10-26T00:14:26Z,140000,False,,,0,,C. McCollum BLOCK (1 BLK),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
15,PT11M11.00S,2023-10-26T00:14:27.0Z,1,REGULAR,rebound,defensive,[],203468,,,1610612740,2,2,2023-10-26T00:14:28Z,150000,False,,,0,,C. McCollum REBOUND (Off:0 Def:1),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,
16,PT11M08.00S,2023-10-26T00:14:30.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",203468,9.149145860709593,45.34313725490196,1610612740,2,4,2023-10-26T00:14:36Z,160000,False,23.0,34.0,1,left,C. McCollum driving floating bank Jump Shot (2 PTS),[203468],1610612740.0,NOP,driving floating bank,,,McCollum,C. McCollum,,,,,Restricted Area,0-8 Center,4.08,Made,2.0,,,,,,,,,,,,,,,,,
17,PT10M59.00S,2023-10-26T00:14:39.2Z,1,REGULAR,3pt,Jump Shot,[],1630217,66.96780551905388,50.73529411764706,1610612763,5,4,2023-10-26T00:14:43Z,170000,False,4.0,258.0,1,right,D. Bane 25' 3PT  (3 PTS) (M. Smart 1 AST),"[1630217, 203935]",1610612763.0,MEM,,,,Bane,D. Bane,,,,,Above the Break 3,24+ Center,25.8,Made,3.0,M. Smart,203935.0,1.0,,,,,,,,,,,,,,
19,PT10M40.00S,2023-10-26T00:14:57.9Z,1,REGULAR,turnover,bad pass,[],1629627,,,1610612740,5,4,2023-10-26T00:15:00Z,190000,False,,,0,,Z. Williamson bad pass TURNOVER (1 TO),"[1629627, 1630217]",1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,1.0,Bane,1630217.0
20,PT10M40.00S,2023-10-26T00:14:57.9Z,1,REGULAR,steal,,[],1630217,,,1610612763,5,4,2023-10-26T00:14:59Z,200000,False,,,0,,D. Bane STEAL (1 STL),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
21,PT10M36.00S,2023-10-26T00:15:02.6Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630217,65.1281208935611,44.85294117647059,1610612763,5,4,2023-10-26T00:15:07Z,210000,False,-26.0,275.0,1,right,MISS D. Bane 27' running pullup 3PT,[1630217],1610612763.0,MEM,running pullup,,,Bane,D. Bane,,,,,Above the Break 3,24+ Center,27.65,Missed,,,,,,,,,,,,,,,,,,
22,PT10M31.00S,2023-10-26T00:15:06.8Z,1,REGULAR,rebound,offensive,[],1630214,,,1610612763,5,4,2023-10-26T00:15:06Z,220000,False,,,0,,X. Tillman REBOUND (Off:1 Def:0),[1630214],1610612763.0,MEM,,,,Tillman,X. Tillman,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,21.0,1.0,0.0,1.0,,,
23,PT10M29.00S,2023-10-26T00:15:09.1Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",203935,69.85873850197109,22.54901960784314,1610612763,8,4,2023-10-26T00:15:12Z,230000,False,-137.0,231.0,1,right,M. Smart 26' 3PT  (3 PTS) (X. Tillman 1 AST),"[203935, 1630214]",1610612763.0,MEM,,,,Smart,M. Smart,,,,,Above the Break 3,24+ Left Center,26.86,Made,3.0,X. Tillman,1630214.0,1.0,,,,,,,,,,,,,,
25,PT10M08.00S,2023-10-26T00:15:30.3Z,1,REGULAR,2pt,Jump Shot,[],1627742,23.340998685939553,68.38235294117648,1610612740,8,6,2023-10-26T00:15:33Z,250000,False,-92.0,167.0,1,left,B. Ingram 19' pullup Jump Shot (2 PTS),[1627742],1610612740.0,NOP,pullup,,,Ingram,B. Ingram,,,,,Mid-Range,16-24 Left Center,19.05,Made,2.0,,,,,,,,,,,,,,,,,
