actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-03-28T00:10:30.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-28T00:10:30Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-03-28T00:10:31.8Z,1,REGULAR,jumpball,recovered,[],1630590,,,1610612763,0,0,2024-03-28T00:10:31Z,40000,False,,,0,,Jump Ball J. Jackson Jr. vs. J. Hayes: Tip to S. Pippen Jr.,"[1630590, 1628991, 1629637]",1610612763.0,MEM,startperiod,S. Pippen Jr.,1630590.0,Pippen Jr.,S. Pippen Jr.,Jackson Jr.,1628991.0,Hayes,1629637.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2024-03-28T00:10:53.3Z,1,REGULAR,violation,kicked ball,[],1629637,,,1610612763,0,0,2024-03-28T00:10:56Z,70000,False,,,0,,J. Hayes kicked ball VIOLATION,[1629637],1610612747.0,LAL,,,,Hayes,J. Hayes,,,,,1193.0,,,,,,,,,,,,,,,,,,,,,
8,PT11M33.00S,2024-03-28T00:11:11.5Z,1,REGULAR,3pt,Jump Shot,[],1630583,29.38567674113009,25.49019607843137,1610612763,0,0,2024-03-28T00:11:14Z,80000,False,123.0,224.0,1,left,MISS S. Aldama 25' 3PT,[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,,Above the Break 3,24+ Right Center,25.5,Missed,,,,,,,,,,,,,,,,,
9,PT11M30.00S,2024-03-28T00:11:14.5Z,1,REGULAR,rebound,defensive,[],1629060,,,1610612747,0,0,2024-03-28T00:11:14Z,90000,False,,,0,,R. Hachimura REBOUND (Off:0 Def:1),[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,,Above the Break 3,24+ Right Center,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M17.00S,2024-03-28T00:11:26.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626156,86.15308804204993,40.44117647058824,1610612747,0,0,2024-03-28T00:11:29Z,100000,False,-48.0,78.0,1,right,MISS D. Russell 9' driving floating Shot - blocked,"[1626156, 1630590]",1610612747.0,LAL,driving floating,,,Russell,D. Russell,,,,,,In The Paint (Non-RA),8-16 Center,9.12,Missed,,,,,Pippen Jr.,1630590.0,,,,,,,,,,,
11,PT11M17.00S,2024-03-28T00:11:26.7Z,1,REGULAR,block,,[],1630590,,,1610612747,0,0,2024-03-28T00:21:45Z,110000,False,,,0,,S. Pippen Jr. BLOCK (1 BLK),[1630590],1610612763.0,MEM,,,,Pippen Jr.,S. Pippen Jr.,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,
12,PT11M14.00S,2024-03-28T00:11:29.7Z,1,REGULAR,rebound,defensive,[],1641713,,,1610612763,0,0,2024-03-28T00:11:29Z,120000,False,,,0,,G. Jackson REBOUND (Off:0 Def:1),[1641713],1610612763.0,MEM,,,,Jackson,G. Jackson,,,,,,In The Paint (Non-RA),8-16 Center,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,
13,PT11M13.00S,2024-03-28T00:11:31.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630217,25.57490144546649,16.42156862745098,1610612763,0,0,2024-03-28T00:11:36Z,130000,False,168.0,188.0,1,left,MISS D. Bane 25' running 3PT,[1630217],1610612763.0,MEM,running,,,Bane,D. Bane,,,,,,Above the Break 3,24+ Right Center,25.2,Missed,,,,,,,,,,,,,,,,,
14,PT11M08.00S,2024-03-28T00:11:36.2Z,1,REGULAR,rebound,offensive,[],1628991,,,1610612763,0,0,2024-03-28T00:11:36Z,140000,False,,,0,,J. Jackson Jr. REBOUND (Off:1 Def:0),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,Above the Break 3,24+ Right Center,,,13.0,1.0,0.0,1.0,,,,,,,,,,,,,
15,PT11M06.00S,2024-03-28T00:11:38.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630590,13.61695137976347,4.411764705882353,1610612763,3,0,2024-03-28T00:11:42Z,150000,False,228.0,75.0,1,left,S. Pippen Jr. 24' 3PT  (3 PTS) (D. Bane 1 AST),"[1630590, 1630217]",1610612763.0,MEM,,,,Pippen Jr.,S. Pippen Jr.,,,,,,Right Corner 3,24+ Right,24.01,Made,,,,,,,3.0,D. Bane,1630217.0,1.0,,,,,,,
17,PT10M51.00S,2024-03-28T00:11:54.1Z,1,REGULAR,turnover,bad pass,[],1630559,,,1610612747,3,0,2024-03-28T00:12:00Z,170000,False,,,0,,A. Reaves bad pass TURNOVER (1 TO),"[1630559, 1630590]",1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,1.0,Pippen Jr.,1630590.0,,,,
18,PT10M51.00S,2024-03-28T00:11:54.1Z,1,REGULAR,steal,,[],1630590,,,1610612763,3,0,2024-03-28T00:11:55Z,180000,False,,,0,,S. Pippen Jr. STEAL (1 STL),[1630590],1610612763.0,MEM,,,,Pippen Jr.,S. Pippen Jr.,,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,
19,PT10M44.00S,2024-03-28T00:12:00.4Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630590,19.004599211563733,45.09803921568628,1610612763,3,0,2024-03-28T00:15:32Z,190000,False,25.0,126.0,1,left,MISS S. Pippen Jr. 12' floating Shot,[1630590],1610612763.0,MEM,floating,,,Pippen Jr.,S. Pippen Jr.,,,,,,In The Paint (Non-RA),8-16 Center,12.85,Missed,,,,,,,,,,,,,,,,,
20,PT10M41.00S,2024-03-28T00:12:03.4Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,3,0,2024-03-28T00:12:04Z,200000,False,,,0,,L. James REBOUND (Off:0 Def:1),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,In The Paint (Non-RA),8-16 Center,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,,
21,PT10M31.00S,2024-03-28T00:12:15.3Z,1,REGULAR,foul,personal,[],1641713,,,1610612747,3,0,2024-03-28T00:12:19Z,210000,False,,,0,,G. Jackson personal FOUL (1 PF),"[1641713, 1630559]",1610612763.0,MEM,,,,Jackson,G. Jackson,,,,,1162.0,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,1.0,0.0,Reaves,1630559.0
23,PT10M25.00S,2024-03-28T00:12:39.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629637,93.64323258869908,49.01960784313725,1610612747,3,2,2024-03-28T00:12:42Z,230000,False,-5.0,7.0,1,right,J. Hayes alley-oop DUNK (2 PTS) (A. Reaves 1 AST),"[1629637, 1630559]",1610612747.0,LAL,alley-oop,,,Hayes,J. Hayes,,,,,,Restricted Area,0-8 Center,0.88,Made,,,,,,,2.0,A. Reaves,1630559.0,1.0,,,,,,,
26,PT10M09.00S,2024-03-28T00:13:01.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630590,7.30946123521682,50.49019607843137,1610612763,5,2,2024-03-28T00:13:04Z,260000,False,-2.0,16.0,1,left,S. Pippen Jr. driving finger roll Layup (5 PTS) (J. Jackson Jr. 1 AST),"[1630590, 1628991]",1610612763.0,MEM,driving finger roll,,,Pippen Jr.,S. Pippen Jr.,,,,,,Restricted Area,0-8 Center,1.64,Made,,,,,,,5.0,J. Jackson Jr.,1628991.0,1.0,,,,,,,
29,PT09M57.00S,2024-03-28T00:13:13.3Z,1,REGULAR,2pt,Jump Shot,[],1629060,82.47371879106439,66.91176470588235,1610612747,5,4,2024-03-28T00:13:16Z,290000,False,85.0,112.0,1,right,R. Hachimura 14' Jump Shot (2 PTS) (A. Reaves 2 AST),"[1629060, 1630559]",1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,,Mid-Range,8-16 Right,14.05,Made,,,,,,,2.0,A. Reaves,1630559.0,2.0,,,,,,,
31,PT09M44.00S,2024-03-28T00:13:25.7Z,1,REGULAR,2pt,Jump Shot,[],1641713,26.49474375821288,69.85294117647058,1610612763,5,4,2024-03-28T00:13:28Z,310000,False,-99.0,197.0,1,left,MISS G. Jackson 22' step back Shot,[1641713],1610612763.0,MEM,step back,,,Jackson,G. Jackson,,,,,,Mid-Range,16-24 Left Center,22.03,Missed,,,,,,,,,,,,,,,,,
32,PT09M42.00S,2024-03-28T00:13:27.7Z,1,REGULAR,rebound,defensive,[],1629637,,,1610612747,5,4,2024-03-28T00:13:28Z,320000,False,,,0,,J. Hayes REBOUND (Off:0 Def:1),[1629637],1610612747.0,LAL,,,,Hayes,J. Hayes,,,,,,Mid-Range,16-24 Left Center,,,31.0,1.0,1.0,0.0,,,,,,,,,,,,,
33,PT09M34.00S,2024-03-28T00:13:37.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629637,93.77463863337714,49.50980392156863,1610612747,5,6,2024-03-28T00:13:40Z,330000,False,-2.0,6.0,1,right,J. Hayes cutting DUNK (4 PTS) (D. Russell 1 AST),"[1629637, 1626156]",1610612747.0,LAL,cutting,,,Hayes,J. Hayes,,,,,,Restricted Area,0-8 Center,0.65,Made,,,,,,,4.0,D. Russell,1626156.0,1.0,,,,,,,
