actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-02-27T01:10:27.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-02-27T01:10:27Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-02-27T01:10:30.4Z,1,REGULAR,jumpball,recovered,[],203471,,,1610612751,0,0,2024-02-27T01:10:30Z,40000,False,,,0,,Jump Ball N. Claxton vs. J. Jackson Jr.: Tip to D. Schroder,"[203471, 1629651, 1628991]",1610612751.0,BKN,startperiod,D. Schroder,203471.0,Schroder,D. Schroder,Claxton,1629651.0,Jackson Jr.,1628991.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M34.00S,2024-02-27T01:10:52.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630560,6.652431011826544,48.529411764705884,1610612751,0,0,2024-02-27T01:10:56Z,70000,False,7.0,10.0,1,left,MISS C. Thomas driving floating Shot - blocked,"[1630560, 1628991]",1610612751.0,BKN,driving floating,,,Thomas,C. Thomas,,,,,Restricted Area,0-8 Center,1.24,Missed,Jackson Jr.,1628991.0,,,,,,,,,,,,,,,,
8,PT11M34.00S,2024-02-27T01:10:52.3Z,1,REGULAR,block,,[],1628991,,,1610612751,0,0,2024-02-27T01:10:54Z,80000,False,,,0,,J. Jackson Jr. BLOCK (1 BLK),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M31.00S,2024-02-27T01:10:55.3Z,1,REGULAR,rebound,offensive,[],1627827,,,1610612751,0,0,2024-02-27T01:10:56Z,90000,False,,,0,,D. Finney-Smith REBOUND (Off:1 Def:0),[1627827],1610612751.0,BKN,,,,Finney-Smith,D. Finney-Smith,,,,,Restricted Area,0-8 Center,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,
10,PT11M31.00S,2024-02-27T01:10:56.2Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1627827,11.826544021024969,69.38572303921569,1610612751,0,0,2024-02-27T01:11:30Z,100000,False,-97.0,59.0,1,left,MISS D. Finney-Smith 11' floating Shot,[1627827],1610612751.0,BKN,floating,,,Finney-Smith,D. Finney-Smith,,,,,Mid-Range,8-16 Left,11.33,Missed,,,,,,,,,,,,,,,,,,
11,PT11M27.00S,2024-02-27T01:11:00.2Z,1,REGULAR,rebound,defensive,[],1630533,,,1610612763,0,0,2024-02-27T01:11:00Z,110000,False,,,0,,Z. Williams REBOUND (Off:0 Def:1),[1630533],1610612763.0,MEM,,,,Williams,Z. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,
12,PT11M10.00S,2024-02-27T01:11:17.2Z,1,REGULAR,turnover,bad pass,[],1630533,,,1610612763,0,0,2024-02-27T01:11:22Z,120000,False,,,0,,Z. Williams bad pass TURNOVER (1 TO),"[1630533, 1629651]",1610612763.0,MEM,,,,Williams,Z. Williams,,,,,Mid-Range,16-24 Left Center,,,,,,,,,1.0,Claxton,1629651.0,,,,,,,,,
13,PT11M10.00S,2024-02-27T01:11:17.2Z,1,REGULAR,steal,,[],1629651,,,1610612751,0,0,2024-02-27T01:11:18Z,130000,False,,,0,,N. Claxton STEAL (1 STL),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
14,PT11M04.00S,2024-02-27T01:11:23.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629651,5.732588699080158,50.245098039215684,1610612751,0,2,2024-02-27T01:11:28Z,140000,False,-1.0,1.0,1,left,N. Claxton running DUNK (2 PTS) (D. Finney-Smith 1 AST),"[1629651, 1627827]",1610612751.0,BKN,running,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,0.18,Made,,,,,,,,,,2.0,D. Finney-Smith,1627827.0,1.0,,,,,
16,PT10M49.00S,2024-02-27T01:11:38.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630533,92.85479632063075,52.94117647058824,1610612763,0,2,2024-02-27T01:11:42Z,160000,False,15.0,15.0,1,right,MISS Z. Williams alley-oop DUNK,[1630533],1610612763.0,MEM,alley-oop,,,Williams,Z. Williams,,,,,Restricted Area,0-8 Center,2.08,Missed,,,,,,,,,,,,,,,,,,
17,PT10M45.00S,2024-02-27T01:11:42.3Z,1,REGULAR,rebound,defensive,[],1630560,,,1610612751,0,2,2024-02-27T01:11:42Z,170000,False,,,0,,C. Thomas REBOUND (Off:0 Def:1),[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,Restricted Area,0-8 Center,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,
18,PT10M30.00S,2024-02-27T01:11:56.6Z,1,REGULAR,2pt,Jump Shot,[],203471,21.632720105124836,49.50980392156863,1610612751,0,2,2024-02-27T01:12:00Z,180000,False,2.0,151.0,1,left,MISS D. Schroder 15' pullup Shot,[203471],1610612751.0,BKN,pullup,,,Schroder,D. Schroder,,,,,Mid-Range,8-16 Center,15.08,Missed,,,,,,,,,,,,,,,,,,
19,PT10M28.00S,2024-02-27T01:11:58.6Z,1,REGULAR,rebound,defensive,[],1631246,,,1610612763,0,2,2024-02-27T01:12:00Z,190000,False,,,0,,V. Williams Jr. REBOUND (Off:0 Def:1),[1631246],1610612763.0,MEM,,,,Williams Jr.,V. Williams Jr.,,,,,Mid-Range,8-16 Center,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,
20,PT10M22.00S,2024-02-27T01:12:04.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630533,93.38042049934296,49.50980392156863,1610612763,2,2,2024-02-27T01:12:09Z,200000,False,-2.0,10.0,1,right,Z. Williams driving finger roll Layup (2 PTS) (V. Williams Jr. 1 AST),"[1630533, 1631246]",1610612763.0,MEM,driving finger roll,,,Williams,Z. Williams,,,,,Restricted Area,0-8 Center,1.0,Made,,,,,,,,,,2.0,V. Williams Jr.,1631246.0,1.0,,,,,
22,PT09M55.00S,2024-02-27T01:12:31.6Z,1,REGULAR,3pt,Jump Shot,[],1630560,6.521024967148489,96.07843137254902,1610612751,2,5,2024-02-27T01:12:35Z,220000,False,-230.0,9.0,1,left,C. Thomas 3PT  (3 PTS) (D. Finney-Smith 2 AST),"[1630560, 1627827]",1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,Left Corner 3,24+ Left,23.06,Made,,,,,,,,,,3.0,D. Finney-Smith,1627827.0,2.0,,,,,
