actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-03-09T01:10:47.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-09T01:10:47Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-03-09T01:10:49.5Z,1,REGULAR,jumpball,recovered,[],1630692,,,1610612763,0,0,2024-03-09T01:10:49Z,40000,False,,,0,,Jump Ball J. Jackson Jr. vs. C. Capela: Tip to J. Goodwin,"[1630692, 1628991, 203991]",1610612763.0,MEM,startperiod,J. Goodwin,1630692.0,Goodwin,J. Goodwin,Jackson Jr.,1628991.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2024-03-09T01:11:01.3Z,1,REGULAR,foul,personal,['3freethrow'],203991,,,1610612763,0,0,2024-03-09T01:11:11Z,70000,False,,,0,,C. Capela shooting personal FOUL (1 PF) (Jackson Jr. 3 FT),"[203991, 1628991]",1610612737.0,ATL,shooting,,,Capela,C. Capela,,,,,Above the Break 3,24+ Right Center,2003.0,1.0,0.0,Jackson Jr.,1628991.0,,,,,,,,,,,,,,,
9,PT11M46.00S,2024-03-09T01:11:27.2Z,1,REGULAR,freethrow,1 of 3,[],1628991,,,1610612763,1,0,2024-03-09T01:11:27Z,90000,False,,,0,,J. Jackson Jr. Free Throw 1 of 3 (1 PTS),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M46.00S,2024-03-09T01:11:39.4Z,1,REGULAR,freethrow,2 of 3,[],1628991,,,1610612763,2,0,2024-03-09T01:11:39Z,100000,False,,,0,,J. Jackson Jr. Free Throw 2 of 3 (2 PTS),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
11,PT11M46.00S,2024-03-09T01:11:49.9Z,1,REGULAR,freethrow,3 of 3,[],1628991,,,1610612763,3,0,2024-03-09T01:11:49Z,110000,False,,,0,,J. Jackson Jr. Free Throw 3 of 3 (3 PTS),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,
12,PT11M31.00S,2024-03-09T01:12:04.8Z,1,REGULAR,3pt,Jump Shot,[],203992,70.25295663600527,23.284313725490197,1610612737,3,3,2024-03-09T01:12:08Z,120000,False,-134.0,227.0,1,right,B. Bogdanovic 26' 3PT  (3 PTS) (D. Murray 1 AST),"[203992, 1627749]",1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,Above the Break 3,24+ Left Center,,,,,,Made,3.0,26.35,D. Murray,1627749.0,1.0,,,,,,,,,
14,PT11M11.00S,2024-03-09T01:12:24.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628991,10.85742444152431,45.83333333333333,1610612763,5,3,2024-03-09T01:12:28Z,140000,False,21.0,50.0,1,left,J. Jackson Jr. Hook (5 PTS),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Made,5.0,5.38,,,,,,,,,,,,
15,PT11M02.00S,2024-03-09T01:12:33.9Z,1,REGULAR,turnover,bad pass,[],1627749,,,1610612737,5,3,2024-03-09T01:12:38Z,150000,False,,,0,,D. Murray bad pass TURNOVER (1 TO),"[1627749, 1628991]",1610612737.0,ATL,,,,Murray,D. Murray,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,1.0,Jackson Jr.,1628991.0,,,,,,
16,PT11M02.00S,2024-03-09T01:12:33.9Z,1,REGULAR,steal,,[],1628991,,,1610612763,5,3,2024-03-09T01:12:35Z,160000,False,,,0,,J. Jackson Jr. STEAL (1 STL),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
