actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-03-14T00:10:44.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-14T00:10:44Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-03-14T00:10:46.8Z,1,REGULAR,jumpball,recovered,[],1628970,,,1610612766,0,0,2024-03-14T00:10:46Z,40000,False,,,0,,Jump Ball N. Richards vs. T. Jemison: Tip to M. Bridges,"[1628970, 1630208, 1641998]",1610612766.0,CHA,startperiod,M. Bridges,1628970.0,Bridges,M. Bridges,Richards,1630208.0,Jemison,1641998.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2024-03-14T00:10:59.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628970,11.908672798948752,51.225490196078425,1610612766,0,2,2024-03-14T00:11:06Z,70000,False,-6.0,59.0,1,left,M. Bridges driving Hook (2 PTS),[1628970],1610612766.0,CHA,driving,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),0-8 Center,5.97,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M21.00S,2024-03-14T00:11:22.3Z,1,REGULAR,turnover,bad pass,[],1628379,,,1610612763,0,2,2024-03-14T00:11:25Z,80000,False,,,0,,L. Kennard bad pass TURNOVER (1 TO),"[1628379, 203995]",1610612763.0,MEM,,,,Kennard,L. Kennard,,,,,Mid-Range,16-24 Right Center,,,,1.0,Micic,203995.0,,,,,,,,,,,,,,
9,PT11M21.00S,2024-03-14T00:11:22.3Z,1,REGULAR,steal,,[],203995,,,1610612766,0,2,2024-03-14T00:11:24Z,90000,False,,,0,,V. Micic STEAL (1 STL),[203995],1610612766.0,CHA,,,,Micic,V. Micic,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
10,PT11M17.00S,2024-03-14T00:11:27.0Z,1,REGULAR,turnover,out-of-bounds,[],203995,,,1610612766,0,2,2024-03-14T00:11:34Z,100000,False,,,0,,V. Micic bad pass out-of-bounds TURNOVER (1 TO),[203995],1610612766.0,CHA,bad pass,,,Micic,V. Micic,,,,,In The Paint (Non-RA),0-8 Center,,,,1.0,,,2005.0,,,,,,,,,,,,,
11,PT10M59.00S,2024-03-14T00:11:49.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1641713,92.19776609724047,40.68627450980392,1610612763,0,2,2024-03-14T00:11:54Z,110000,False,-47.0,21.0,1,right,MISS G. Jackson driving Layup,[1641713],1610612763.0,MEM,driving,,,Jackson,G. Jackson,,,,,In The Paint (Non-RA),0-8 Center,5.1,Missed,,,,,,,,,,,,,,,,,,
12,PT10M56.00S,2024-03-14T00:11:52.7Z,1,REGULAR,rebound,defensive,[],1630208,,,1610612766,0,2,2024-03-14T00:11:54Z,120000,False,,,0,,N. Richards REBOUND (Off:0 Def:1),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,
13,PT10M54.00S,2024-03-14T00:11:57.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628970,9.543363994743759,44.6078431372549,1610612766,0,2,2024-03-14T00:12:05Z,130000,False,27.0,37.0,1,left,MISS M. Bridges running Layup - blocked,"[1628970, 1630590]",1610612766.0,CHA,running,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),0-8 Center,4.6,Missed,,,,,,,,,,Pippen Jr.,1630590.0,,,,,,,
14,PT10M54.00S,2024-03-14T00:11:57.7Z,1,REGULAR,block,,[],1630590,,,1610612766,0,2,2024-03-14T00:11:59Z,140000,False,,,0,,S. Pippen Jr. BLOCK (1 BLK),[1630590],1610612763.0,MEM,,,,Pippen Jr.,S. Pippen Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
15,PT10M54.00S,2024-03-14T00:11:57.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612766,0,2,2024-03-14T00:12:05Z,150000,False,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,13.0,,,,,,,,,,,,
17,PT10M47.00S,2024-03-14T00:12:20.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",203995,15.193823915900131,45.34313725490196,1610612766,0,4,2024-03-14T00:12:25Z,170000,False,23.0,90.0,1,left,V. Micic 9' turnaround Jump Shot (2 PTS) (N. Richards 1 AST),"[203995, 1630208]",1610612766.0,CHA,turnaround,,,Micic,V. Micic,,,,,In The Paint (Non-RA),8-16 Center,9.33,Made,2.0,,,,,,,,,,,N. Richards,1630208.0,1.0,,,,
18,PT10M26.00S,2024-03-14T00:12:40.5Z,1,REGULAR,3pt,Jump Shot,[],1641713,65.52233902759527,50.73529411764706,1610612763,3,4,2024-03-14T00:12:45Z,180000,False,4.0,272.0,1,right,G. Jackson 27' 3PT pullup (3 PTS) (L. Kennard 1 AST),"[1641713, 1628379]",1610612763.0,MEM,pullup,,,Jackson,G. Jackson,,,,,Above the Break 3,24+ Center,27.16,Made,3.0,,,,,,,,,,,L. Kennard,1628379.0,1.0,,,,
20,PT10M03.00S,2024-03-14T00:13:03.0Z,1,REGULAR,3pt,Jump Shot,[],203995,8.360709592641262,2.696078431372549,1610612766,3,4,2024-03-14T00:13:06Z,200000,False,237.0,26.0,1,left,MISS V. Micic 3PT,[203995],1610612766.0,CHA,,,,Micic,V. Micic,,,,,Right Corner 3,24+ Right,23.79,Missed,,,,,,,,,,,,,,,,,,
21,PT10M02.00S,2024-03-14T00:13:04.0Z,1,REGULAR,rebound,defensive,[],1630590,,,1610612763,3,4,2024-03-14T00:13:06Z,210000,False,,,0,,S. Pippen Jr. REBOUND (Off:0 Def:1),[1630590],1610612763.0,MEM,,,,Pippen Jr.,S. Pippen Jr.,,,,,Right Corner 3,24+ Right,,,,,,,,20.0,1.0,1.0,0.0,,,,,,,,,
22,PT09M56.00S,2024-03-14T00:13:11.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628379,70.25295663600527,19.607843137254903,1610612763,6,4,2024-03-14T00:13:17Z,220000,False,-152.0,227.0,1,right,L. Kennard 27' 3PT running (3 PTS) (S. Pippen Jr. 1 AST),"[1628379, 1630590]",1610612763.0,MEM,running,,,Kennard,L. Kennard,,,,,Above the Break 3,24+ Left Center,27.33,Made,3.0,,,,,,,,,,,S. Pippen Jr.,1630590.0,1.0,,,,
24,PT09M38.00S,2024-03-14T00:13:27.9Z,1,REGULAR,3pt,Jump Shot,[],1630544,17.95335085413929,5.147058823529411,1610612766,6,4,2024-03-14T00:13:33Z,240000,False,224.0,116.0,1,left,MISS T. Mann 25' 3PT,[1630544],1610612766.0,CHA,,,,Mann,T. Mann,,,,,Above the Break 3,24+ Right Center,25.27,Missed,,,,,,,,,,,,,,,,,,
25,PT09M34.00S,2024-03-14T00:13:31.9Z,1,REGULAR,rebound,offensive,[],1630208,,,1610612766,6,4,2024-03-14T00:13:33Z,250000,False,,,0,,N. Richards REBOUND (Off:1 Def:1),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,Above the Break 3,24+ Right Center,,,,,,,,24.0,2.0,1.0,1.0,,,,,,,,,
26,PT09M34.00S,2024-03-14T00:13:32.6Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1630208,5.590000152587891,50.0,1610612766,6,4,2024-03-14T00:14:53Z,260000,False,0.0,0.0,1,left,MISS N. Richards tip Layup,[1630208],1610612766.0,CHA,tip,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
27,PT09M33.00S,2024-03-14T00:13:33.6Z,1,REGULAR,rebound,defensive,[],1641998,,,1610612763,6,4,2024-03-14T00:16:31Z,270000,False,,,0,,T. Jemison REBOUND (Off:0 Def:1),[1641998],1610612763.0,MEM,,,,Jemison,T. Jemison,,,,,Restricted Area,0-8 Center,,,,,,,,26.0,1.0,1.0,0.0,,,,,,,,,
28,PT09M30.00S,2024-03-14T00:13:38.6Z,1,REGULAR,foul,offensive,[],1641713,,,1610612763,6,4,2024-03-14T00:13:45Z,280000,False,,,0,,G. Jackson offensive FOUL (1 PF),"[1641713, 1630544]",1610612763.0,MEM,,,,Jackson,G. Jackson,,,,,Above the Break 3,24+ Center,,,,,,,2005.0,,,,,,,,,,1.0,0.0,Mann,1630544.0
30,PT09M30.00S,2024-03-14T00:13:38.6Z,1,REGULAR,turnover,offensive foul,[],1641713,,,1610612763,6,4,2024-03-14T00:13:38Z,300000,False,,,0,,G. Jackson offensive foul TURNOVER (1 TO),[1641713],1610612763.0,MEM,,,,Jackson,G. Jackson,,,,,Above the Break 3,24+ Center,,,,1.0,,,2005.0,,,,,,,,,,,,,
32,PT09M18.00S,2024-03-14T00:14:09.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1641706,23.73521681997372,13.480392156862745,1610612766,6,7,2024-03-14T00:14:13Z,310000,False,183.0,171.0,1,left,B. Miller 24' 3PT pullup (3 PTS),[1641706],1610612766.0,CHA,pullup,,,Miller,B. Miller,,,,,Above the Break 3,24+ Right Center,24.99,Made,3.0,,,,,,,,,,,,,,,,,
33,PT09M03.00S,2024-03-14T00:14:23.3Z,1,REGULAR,3pt,Jump Shot,[],1628379,79.05716162943496,8.088235294117647,1610612763,6,7,2024-03-14T00:14:27Z,320000,False,-210.0,144.0,1,right,MISS L. Kennard 25' 3PT,[1628379],1610612763.0,MEM,,,,Kennard,L. Kennard,,,,,Above the Break 3,24+ Left Center,25.45,Missed,,,,,,,,,,,,,,,,,,
34,PT09M01.00S,2024-03-14T00:14:25.3Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,6,7,2024-03-14T00:14:27Z,330000,False,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Left Center,,,,,,,,33.0,1.0,1.0,0.0,,,,,,,,,
35,PT08M57.00S,2024-03-14T00:14:29.7Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1641706,6.783837056504599,46.32352941176471,1610612766,6,9,2024-03-14T00:14:38Z,340000,False,18.0,11.0,1,left,B. Miller running Layup (5 PTS) (M. Bridges 1 AST),"[1641706, 1628970]",1610612766.0,CHA,running,,,Miller,B. Miller,,,,,Restricted Area,0-8 Center,2.16,Made,5.0,,,,,,,,,,,M. Bridges,1628970.0,1.0,,,,
37,PT08M57.00S,2024-03-14T00:14:33.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612763,6,9,2024-03-14T00:14:33Z,360000,False,,,0,,MEM Timeout,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,PT08M42.00S,2024-03-14T00:17:40.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1641998,88.91261498028909,43.872549019607845,1610612763,6,9,2024-03-14T00:17:45Z,370000,False,-31.0,52.0,1,right,MISS T. Jemison 6' Hook - blocked,"[1641998, 1630208]",1610612763.0,MEM,,,,Jemison,T. Jemison,,,,,In The Paint (Non-RA),0-8 Center,6.01,Missed,,,,,,,,,,Richards,1630208.0,,,,,,,
39,PT08M42.00S,2024-03-14T00:17:40.9Z,1,REGULAR,block,,[],1630208,,,1610612763,6,9,2024-03-14T00:17:42Z,380000,False,,,0,,N. Richards BLOCK (1 BLK),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
40,PT08M39.00S,2024-03-14T00:17:43.9Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,6,9,2024-03-14T00:17:45Z,390000,False,,,0,,M. Bridges REBOUND (Off:0 Def:2),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,38.0,2.0,2.0,0.0,,,,,,,,,
41,PT08M37.00S,2024-03-14T00:17:45.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203995,7.30946123521682,45.34313725490196,1610612766,6,11,2024-03-14T00:17:52Z,400000,False,23.0,16.0,1,left,V. Micic running finger roll Layup (4 PTS) (M. Bridges 2 AST),"[203995, 1628970]",1610612766.0,CHA,running finger roll,,,Micic,V. Micic,,,,,Restricted Area,0-8 Center,2.84,Made,4.0,,,,,,,,,,,M. Bridges,1628970.0,2.0,,,,
43,PT08M19.00S,2024-03-14T00:18:03.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628379,85.62746386333771,54.90196078431373,1610612763,6,11,2024-03-14T00:18:08Z,420000,False,25.0,83.0,1,right,MISS L. Kennard 8' driving floating Shot,[1628379],1610612763.0,MEM,driving floating,,,Kennard,L. Kennard,,,,,In The Paint (Non-RA),8-16 Center,8.62,Missed,,,,,,,,,,,,,,,,,,
