actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-12-16T01:10:53.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-16T01:10:53Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-12-16T01:10:56.2Z,1,REGULAR,jumpball,recovered,[],1627832,,,1610612745,0,0,2023-12-16T01:10:56Z,40000,False,,,0,,Jump Ball A. Sengun vs. J. Jackson Jr.: Tip to F. VanVleet,"[1627832, 1630578, 1628991]",1610612745.0,HOU,startperiod,F. VanVleet,1627832.0,VanVleet,F. VanVleet,Sengun,1630578.0,Jackson Jr.,1628991.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2023-12-16T01:11:15.2Z,1,REGULAR,turnover,bad pass,[],1630578,,,1610612745,0,0,2023-12-16T01:11:19Z,70000,False,,,0,,A. Sengun bad pass TURNOVER (1 TO),"[1630578, 1631246]",1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Mid-Range,8-16 Right,1.0,Williams Jr.,1631246.0,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2023-12-16T01:11:15.2Z,1,REGULAR,steal,,[],1631246,,,1610612763,0,0,2023-12-16T01:11:16Z,80000,False,,,0,,V. Williams Jr. STEAL (1 STL),[1631246],1610612763.0,MEM,,,,Williams Jr.,V. Williams Jr.,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
9,PT11M27.00S,2023-12-16T01:11:26.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628991,86.41590013140605,43.627450980392155,1610612763,2,0,2023-12-16T01:11:31Z,90000,False,-32.0,75.0,1,right,J. Jackson Jr. 8' driving floating Jump Shot (2 PTS) (V. Williams Jr. 1 AST),"[1628991, 1631246]",1610612763.0,MEM,driving floating,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,8.17,Made,2.0,V. Williams Jr.,1631246.0,1.0,,,,,,,,,,,
11,PT11M08.00S,2023-12-16T01:11:44.4Z,1,REGULAR,3pt,Jump Shot,[],1631095,8.754927726675426,3.431372549019608,1610612745,2,0,2023-12-16T01:11:49Z,110000,False,233.0,30.0,1,left,MISS J. Smith Jr. 3PT,[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Right Corner 3,24+ Right,,,,23.47,Missed,,,,,,,,,,,,,,,
12,PT11M04.00S,2023-12-16T01:11:48.4Z,1,REGULAR,rebound,defensive,[],202687,,,1610612763,2,0,2023-12-16T01:11:49Z,120000,False,,,0,,B. Biyombo REBOUND (Off:0 Def:1),[202687],1610612763.0,MEM,,,,Biyombo,B. Biyombo,,,,,Right Corner 3,24+ Right,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,
13,PT10M52.00S,2023-12-16T01:12:00.2Z,1,REGULAR,3pt,Jump Shot,[],1631246,77.21747700394218,10.294117647058822,1610612763,5,0,2023-12-16T01:12:05Z,130000,False,-199.0,162.0,1,right,V. Williams Jr. 25' 3PT  (3 PTS) (J. Jackson Jr. 1 AST),"[1631246, 1628991]",1610612763.0,MEM,,,,Williams Jr.,V. Williams Jr.,,,,,Above the Break 3,24+ Left Center,,,,25.6,Made,3.0,J. Jackson Jr.,1628991.0,1.0,,,,,,,,,,,
15,PT10M40.00S,2023-12-16T01:12:12.8Z,1,REGULAR,3pt,Jump Shot,[],1630224,31.750985545335087,58.333333333333336,1610612745,5,0,2023-12-16T02:12:05Z,150000,False,-42.0,246.0,1,left,MISS J. Green 24' step back 3PT,[1630224],1610612745.0,HOU,step back,,,Green,J. Green,,,,,Above the Break 3,24+ Center,,,,24.95,Missed,,,,,,,,,,,,,,,
16,PT10M37.00S,2023-12-16T01:12:15.8Z,1,REGULAR,rebound,defensive,[],202687,,,1610612763,5,0,2023-12-16T01:12:19Z,160000,False,,,0,,B. Biyombo REBOUND (Off:0 Def:2),[202687],1610612763.0,MEM,,,,Biyombo,B. Biyombo,,,,,Above the Break 3,24+ Center,,,,,,,,,,15.0,2.0,2.0,0.0,,,,,,,
17,PT10M33.00S,2023-12-16T01:12:20.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630217,70.25295663600527,81.12745098039215,1610612763,5,0,2023-12-16T01:12:28Z,170000,False,156.0,227.0,1,right,MISS D. Bane 27' running pullup 3PT,[1630217],1610612763.0,MEM,running pullup,,,Bane,D. Bane,,,,,Above the Break 3,24+ Right Center,,,,27.53,Missed,,,,,,,,,,,,,,,
18,PT10M27.00S,2023-12-16T01:12:26.4Z,1,REGULAR,rebound,offensive,[],1630217,,,1610612763,5,0,2023-12-16T01:32:27Z,180000,False,,,0,,D. Bane REBOUND (Off:1 Def:0),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,17.0,1.0,0.0,1.0,,,,,,,
