actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-10-31T00:10:22.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-10-31T00:10:22Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-10-31T00:10:25.8Z,1,REGULAR,jumpball,recovered,[],203935,,,1610612763,0,0,2023-10-31T00:10:25Z,40000,False,,,0,,Jump Ball J. Jackson Jr. vs. D. Lively II: Tip to M. Smart,"[203935, 1628991, 1641726]",1610612763.0,MEM,startperiod,M. Smart,203935.0,Smart,M. Smart,Jackson Jr.,1628991.0,Lively II,1641726.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2023-10-31T00:10:39.3Z,1,REGULAR,violation,kicked ball,[],1629029,,,1610612763,0,0,2023-10-31T00:10:47Z,70000,False,,,0,,L. Doncic kicked ball VIOLATION,[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,200833.0,,,,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2023-10-31T00:10:58.3Z,1,REGULAR,3pt,Jump Shot,[],1630533,4.155716162943495,4.166666666666666,1610612763,0,0,2023-10-31T00:11:02Z,80000,False,229.0,-13.0,1,left,MISS Z. Williams 3PT,[1630533],1610612763.0,MEM,,,,Williams,Z. Williams,,,,,,Right Corner 3,24+ Right,22.96,Missed,,,,,,,,,,,,,,,,,
9,PT11M34.00S,2023-10-31T00:11:02.3Z,1,REGULAR,rebound,defensive,[],1629684,,,1610612742,0,0,2023-10-31T00:11:02Z,90000,False,,,0,,G. Williams REBOUND (Off:0 Def:1),[1629684],1610612742.0,DAL,,,,Williams,G. Williams,,,,,,Right Corner 3,24+ Right,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M12.00S,2023-10-31T00:11:23.3Z,1,REGULAR,3pt,Jump Shot,[],1629029,70.90998685939553,20.098039215686274,1610612742,0,0,2023-10-31T00:11:28Z,100000,False,-150.0,221.0,1,right,MISS L. Doncic 26' step back 3PT,[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,,Above the Break 3,24+ Left Center,26.67,Missed,,,,,,,,,,,,,,,,,
11,PT11M07.00S,2023-10-31T00:11:28.3Z,1,REGULAR,rebound,defensive,[],1630217,,,1610612763,0,0,2023-10-31T00:11:28Z,110000,False,,,0,,D. Bane REBOUND (Off:0 Def:1),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,Above the Break 3,24+ Left Center,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,
12,PT11M03.00S,2023-10-31T00:11:34.7Z,1,REGULAR,foul,personal,['2freethrow'],1641726,,,1610612763,0,0,2023-10-31T00:11:43Z,120000,False,,,0,,D. Lively II shooting personal FOUL (1 PF) (Jackson Jr. 2 FT),"[1641726, 1628991]",1610612742.0,DAL,shooting,,,Lively II,D. Lively II,,,,,1627961.0,Restricted Area,0-8 Center,,,,,,,1.0,0.0,Jackson Jr.,1628991.0,,,,,,,,,
14,PT11M03.00S,2023-10-31T00:11:58.3Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1628991,,,1610612763,1,0,2023-10-31T00:11:58Z,140000,False,,,0,,J. Jackson Jr. Free Throw 1 of 2 (1 PTS),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,Made,,,,,,,,,1.0,,,,,,,,
15,PT11M03.00S,2023-10-31T00:12:12.8Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1628991,,,1610612763,1,0,2023-10-31T00:12:12Z,150000,False,,,0,,MISS J. Jackson Jr. Free Throw 2 of 2,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,Missed,,,,,,,,,,,,,,,,,
