actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-03-17T00:10:35.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-17T00:10:35Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-03-17T00:10:36.9Z,1,REGULAR,jumpball,recovered,[],1628379,,,1610612763,0,0,2024-03-17T00:10:37Z,40000,False,,,0,,Jump Ball J. Jackson Jr. vs. C. Holmgren: Tip to L. Kennard,"[1628379, 1628991, 1631096]",1610612763.0,MEM,startperiod,L. Kennard,1628379.0,Kennard,L. Kennard,Jackson Jr.,1628991.0,Holmgren,1631096.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2024-03-17T00:10:49.2Z,1,REGULAR,3pt,Jump Shot,[],1630217,4.5499342969776615,95.58823529411765,1610612763,3,0,2024-03-17T00:10:53Z,70000,False,-228.0,-10.0,1,left,D. Bane 3PT  (3 PTS) (L. Kennard 1 AST),"[1630217, 1628379]",1610612763.0,MEM,,,,Bane,D. Bane,,,,,Left Corner 3,24+ Left,22.81,Made,3.0,L. Kennard,1628379.0,1.0,,,,,,,,,,,,,,
9,PT11M27.00S,2024-03-17T00:11:06.5Z,1,REGULAR,3pt,Jump Shot,[],1629652,72.35545335085413,18.872549019607842,1610612760,3,0,2024-03-17T00:11:10Z,90000,False,-156.0,207.0,1,right,MISS L. Dort 25' 3PT,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Left Center,25.93,Missed,,,,,,,,,,,,,,,,,,
10,PT11M24.00S,2024-03-17T00:11:09.5Z,1,REGULAR,rebound,defensive,[],1628991,,,1610612763,3,0,2024-03-17T00:11:10Z,100000,False,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:1),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M20.00S,2024-03-17T00:11:14.9Z,1,REGULAR,turnover,lost ball,[],1630217,,,1610612763,3,0,2024-03-17T00:11:18Z,110000,False,,,0,,D. Bane lost ball TURNOVER (1 TO),"[1630217, 1631096]",1610612763.0,MEM,,,,Bane,D. Bane,,,,,Mid-Range,8-16 Right,,,,,,,,,,,1.0,Holmgren,1631096.0,,,,,,,
12,PT11M20.00S,2024-03-17T00:11:14.9Z,1,REGULAR,steal,,[],1631096,,,1610612760,3,0,2024-03-17T00:11:16Z,120000,False,,,0,,C. Holmgren STEAL (1 STL),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
13,PT11M08.00S,2024-03-17T00:11:27.0Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628983,77.08607095926413,20.098039215686274,1610612760,3,0,2024-03-17T00:11:31Z,130000,False,-150.0,163.0,1,right,MISS S. Gilgeous-Alexander 22' step back Shot,[1628983],1610612760.0,OKC,step back,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,16-24 Left Center,22.11,Missed,,,,,,,,,,,,,,,,,,
14,PT11M05.00S,2024-03-17T00:11:30.0Z,1,REGULAR,rebound,defensive,[],1630583,,,1610612763,3,0,2024-03-17T00:11:31Z,140000,False,,,0,,S. Aldama REBOUND (Off:0 Def:1),[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,Mid-Range,16-24 Left Center,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,
15,PT10M59.00S,2024-03-17T00:11:37.7Z,1,REGULAR,turnover,out-of-bounds,[],1628991,,,1610612763,3,0,2024-03-17T00:11:42Z,150000,False,,,0,,J. Jackson Jr. lost ball out-of-bounds TURNOVER (1 TO),[1628991],1610612763.0,MEM,lost ball,,,Jackson Jr.,J. Jackson Jr.,,,,,Mid-Range,8-16 Right,,,,,,,,,,,1.0,,,1628159.0,,,,,,
