actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-02-03T01:10:44.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-02-03T01:10:44Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-02-03T01:10:46.2Z,1,REGULAR,jumpball,recovered,[],1629723,,,1610612763,0,0,2024-02-03T01:10:46Z,40000,False,,,0,,Jump Ball J. Jackson Jr. vs. D. Green: Tip to J. Konchar,"[1629723, 1628991, 203110]",1610612763.0,MEM,startperiod,J. Konchar,1629723.0,Konchar,J. Konchar,Jackson Jr.,1628991.0,Green,203110.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2024-02-03T01:10:58.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631246,83.919185282523,45.588235294117645,1610612763,0,0,2024-02-03T01:11:03Z,70000,False,-22.0,99.0,1,right,MISS V. Williams Jr. 10' fadeaway Shot,[1631246],1610612763.0,MEM,fadeaway,,,Williams Jr.,V. Williams Jr.,,,,,In The Paint (Non-RA),8-16 Center,10.11,Missed,,,,,,,,,,,,,,,,,,
9,PT11M41.00S,2024-02-03T01:11:01.9Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,0,0,2024-02-03T01:11:03Z,90000,False,,,0,,D. Green REBOUND (Off:0 Def:1),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,In The Paint (Non-RA),8-16 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10,PT11M32.00S,2024-02-03T01:11:11.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203110,6.258212877792378,49.50980392156863,1610612744,0,2,2024-02-03T01:11:15Z,100000,False,2.0,6.0,1,left,D. Green driving finger roll Layup (2 PTS) (S. Curry 1 AST),"[203110, 201939]",1610612744.0,GSW,driving finger roll,,,Green,D. Green,,,,,Restricted Area,0-8 Center,0.68,Made,,,,,2.0,S. Curry,201939.0,1.0,,,,,,,,,,
12,PT11M20.00S,2024-02-03T01:11:22.8Z,1,REGULAR,3pt,Jump Shot,[],1630583,69.33311432325887,72.05882352941177,1610612763,0,2,2024-02-03T01:11:25Z,120000,False,110.0,236.0,1,right,MISS S. Aldama 26' 3PT,[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,Above the Break 3,24+ Right Center,26.03,Missed,,,,,,,,,,,,,,,,,,
13,PT11M18.00S,2024-02-03T01:11:24.8Z,1,REGULAR,rebound,defensive,[],1630228,,,1610612744,0,2,2024-02-03T01:11:25Z,130000,False,,,0,,J. Kuminga REBOUND (Off:0 Def:1),[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,Above the Break 3,24+ Right Center,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT11M10.00S,2024-02-03T01:11:32.9Z,1,REGULAR,3pt,Jump Shot,[],203110,28.465834428383708,75.49019607843137,1610612744,0,5,2024-02-03T01:11:37Z,140000,False,-127.0,215.0,1,left,D. Green 25' 3PT  (5 PTS),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Left Center,25.0,Made,,,,,5.0,,,,,,,,,,,,,
15,PT10M57.00S,2024-02-03T01:11:45.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628991,84.44480946123521,49.50980392156863,1610612763,2,5,2024-02-03T01:11:49Z,150000,False,-2.0,94.0,1,right,J. Jackson Jr. 9' driving floating bank Jump Shot (2 PTS),[1628991],1610612763.0,MEM,driving floating bank,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),8-16 Center,9.37,Made,,,,,2.0,,,,,,,,,,,,,
16,PT10M37.00S,2024-02-03T01:12:07.5Z,1,REGULAR,turnover,out-of-bounds,[],201939,,,1610612744,2,5,2024-02-03T01:12:12Z,160000,False,,,0,,S. Curry bad pass out-of-bounds TURNOVER (1 TO),[201939],1610612744.0,GSW,bad pass,,,Curry,S. Curry,,,,,Mid-Range,16-24 Center,,,,,,,,,,,1627962.0,1.0,,,,,,,,
