actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2024-01-26T00:10:45.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-26T00:10:45Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-01-26T00:10:48.6Z,1,REGULAR,jumpball,recovered,[],1630178,,,1610612755,0,0,2024-01-26T00:10:48Z,40000,False,,,0,,Jump Ball J. Embiid vs. M. Turner: Tip to T. Maxey,"[1630178, 203954, 1626167]",1610612755.0,PHI,startperiod,T. Maxey,1630178.0,Maxey,T. Maxey,Embiid,203954.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2024-01-26T00:10:59.9Z,1,REGULAR,turnover,bad pass,[],201587,,,1610612755,0,0,2024-01-26T00:11:08Z,70000,False,,,0,,N. Batum bad pass TURNOVER (1 TO),"[201587, 1626167]",1610612755.0,PHI,,,,Batum,N. Batum,,,,,Above the Break 3,24+ Center,1.0,Turner,1626167.0,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2024-01-26T00:10:59.9Z,1,REGULAR,steal,,[],1626167,,,1610612754,0,0,2024-01-26T00:11:01Z,80000,False,,,0,,M. Turner STEAL (1 STL),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
9,PT11M40.00S,2024-01-26T00:11:06.0Z,1,REGULAR,foul,personal,['2freethrow'],201587,,,1610612754,0,0,2024-01-26T00:11:19Z,90000,False,,,0,,N. Batum shooting personal FOUL (1 PF) (Turner 2 FT),"[201587, 1626167]",1610612755.0,PHI,shooting,,,Batum,N. Batum,,,,,In The Paint (Non-RA),0-8 Center,,,,200834.0,1.0,0.0,Turner,1626167.0,,,,,,,,,,,,
11,PT11M40.00S,2024-01-26T00:11:30.2Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1626167,,,1610612754,1,0,2024-01-26T00:11:30Z,110000,False,,,0,,M. Turner Free Throw 1 of 2 (1 PTS),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,,,,Made,1.0,,,,,,,,,,
12,PT11M40.00S,2024-01-26T00:11:47.5Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1626167,,,1610612754,2,0,2024-01-26T00:11:47Z,120000,False,,,0,,M. Turner Free Throw 2 of 2 (2 PTS),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,,,,Made,2.0,,,,,,,,,,
13,PT11M25.00S,2024-01-26T00:12:04.4Z,1,REGULAR,2pt,Jump Shot,[],203954,22.28975032851511,58.333333333333336,1610612755,2,0,2024-01-26T00:12:12Z,130000,False,-42.0,157.0,1,left,MISS J. Embiid 16' Jump Shot - blocked,"[203954, 1626167]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Mid-Range,16-24 Center,,,,,,,,,Missed,,16.24,Turner,1626167.0,,,,,,,
14,PT11M25.00S,2024-01-26T00:12:04.4Z,1,REGULAR,block,,[],1626167,,,1610612755,2,0,2024-01-26T00:12:06Z,140000,False,,,0,,M. Turner BLOCK (1 BLK),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
15,PT11M22.00S,2024-01-26T00:12:07.4Z,1,REGULAR,rebound,defensive,[],1627741,,,1610612754,2,0,2024-01-26T00:12:12Z,150000,False,,,0,,B. Hield REBOUND (Off:0 Def:1),[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,
16,PT11M20.00S,2024-01-26T00:12:09.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629614,92.72339027595268,51.470588235294116,1610612754,4,0,2024-01-26T00:12:18Z,160000,False,7.0,16.0,1,right,A. Nembhard running finger roll Layup (2 PTS) (B. Hield 1 AST),"[1629614, 1627741]",1610612754.0,IND,running finger roll,,,Nembhard,A. Nembhard,,,,,Restricted Area,0-8 Center,,,,,,,,,Made,2.0,1.75,,,,,,,B. Hield,1627741.0,1.0
18,PT11M08.00S,2024-01-26T00:12:20.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201976,6.389618922470433,49.26470588235294,1610612755,4,0,2024-01-26T00:12:25Z,180000,False,4.0,8.0,1,left,MISS P. Beverley driving finger roll Layup,[201976],1610612755.0,PHI,driving finger roll,,,Beverley,P. Beverley,,,,,Restricted Area,0-8 Center,,,,,,,,,Missed,,0.85,,,,,,,,,
19,PT11M06.00S,2024-01-26T00:12:22.7Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612754,4,0,2024-01-26T00:12:25Z,190000,False,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,18.0,1.0,1.0,0.0,,,
20,PT11M03.00S,2024-01-26T00:12:26.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629614,91.40932982917214,46.568627450980394,1610612754,6,0,2024-01-26T00:12:33Z,200000,False,-17.0,28.0,1,right,A. Nembhard running finger roll Layup (4 PTS) (P. Siakam 1 AST),"[1629614, 1627783]",1610612754.0,IND,running finger roll,,,Nembhard,A. Nembhard,,,,,Restricted Area,0-8 Center,,,,,,,,,Made,4.0,3.31,,,,,,,P. Siakam,1627783.0,1.0
22,PT10M48.00S,2024-01-26T00:12:52.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630178,7.835085413929041,48.28431372549019,1610612755,6,2,2024-01-26T00:12:57Z,220000,False,9.0,21.0,1,left,T. Maxey driving finger roll Layup (2 PTS),[1630178],1610612755.0,PHI,driving finger roll,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,,,,,,,,,Made,2.0,2.28,,,,,,,,,
