actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,officialId,playerName,playerNameI,descriptor,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,jumpBallRecoveredName,jumpBallRecoverdPersonId,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId
2,PT12M00.00S,2023-12-31T00:11:07.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-31T00:11:07Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2023-12-31T00:11:17.4Z,1,REGULAR,violation,jumpball,[],1626167,,,0,0,0,2023-12-31T00:11:23Z,40000,False,,,0,,M. Turner jumpball VIOLATION,[1626167],1610612754.0,IND,1628172.0,Turner,M. Turner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PT11M43.00S,2023-12-31T00:11:36.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628973,7.440867279894875,47.05882352941176,1610612752,0,0,2023-12-31T00:11:43Z,50000,False,15.0,17.0,1,left,MISS J. Brunson driving finger roll Layup,[1628973],1610612752.0,NYK,,Brunson,J. Brunson,driving finger roll,Restricted Area,0-8 Center,2.28,Missed,,,,,,,,,,,,,,,,,,,,,,,
6,PT11M39.00S,2023-12-31T00:11:40.6Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,0,0,2023-12-31T00:11:43Z,60000,False,,,0,,M. Turner REBOUND (Off:0 Def:1),[1626167],1610612754.0,IND,,Turner,M. Turner,,Restricted Area,0-8 Center,,,5.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2023-12-31T00:11:43.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630188,68.80749014454665,22.794117647058822,1610612754,0,0,2023-12-31T00:11:52Z,70000,False,-136.0,241.0,1,right,MISS J. Smith 27' running 3PT,[1630188],1610612754.0,IND,,Smith,J. Smith,running,Above the Break 3,24+ Left Center,27.65,Missed,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M33.00S,2023-12-31T00:11:46.3Z,1,REGULAR,rebound,defensive,[],1628392,,,1610612752,0,0,2023-12-31T00:11:52Z,80000,False,,,0,,I. Hartenstein REBOUND (Off:0 Def:1),[1628392],1610612752.0,NYK,,Hartenstein,I. Hartenstein,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,
9,PT11M16.00S,2023-12-31T00:12:04.2Z,1,REGULAR,2pt,Jump Shot,[],203944,21.50131406044678,50.49019607843137,1610612752,0,2,2023-12-31T00:12:10Z,90000,False,-2.0,150.0,1,left,J. Randle 14' pullup Jump Shot (2 PTS),[203944],1610612752.0,NYK,,Randle,J. Randle,pullup,Mid-Range,8-16 Center,14.96,Made,,,,,2.0,,,,,,,,,,,,,,,,,,
10,PT11M00.00S,2023-12-31T00:12:19.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630188,89.30683311432325,58.57843137254902,1610612754,2,2,2023-12-31T00:12:23Z,100000,False,43.0,48.0,1,right,J. Smith 6' Hook (2 PTS) (A. Nembhard 1 AST),"[1630188, 1629614]",1610612754.0,IND,,Smith,J. Smith,,In The Paint (Non-RA),0-8 Center,6.44,Made,,,,,2.0,A. Nembhard,1629614.0,1.0,,,,,,,,,,,,,,,
12,PT10M43.00S,2023-12-31T00:12:35.9Z,1,REGULAR,3pt,Jump Shot,[],1628404,9.149145860709593,3.6764705882352944,1610612752,2,5,2023-12-31T00:12:40Z,120000,False,232.0,34.0,1,left,J. Hart 3PT  (3 PTS) (I. Hartenstein 1 AST),"[1628404, 1628392]",1610612752.0,NYK,,Hart,J. Hart,,Right Corner 3,24+ Right,23.4,Made,,,,,3.0,I. Hartenstein,1628392.0,1.0,,,,,,,,,,,,,,,
14,PT10M18.00S,2023-12-31T00:13:00.7Z,1,REGULAR,3pt,Jump Shot,[],1626167,93.51182654402102,4.411764705882353,1610612754,2,5,2023-12-31T00:13:05Z,140000,False,-228.0,8.0,1,right,MISS M. Turner 3PT,[1626167],1610612754.0,IND,,Turner,M. Turner,,Left Corner 3,24+ Left,22.81,Missed,,,,,,,,,,,,,,,,,,,,,,,
15,PT10M15.00S,2023-12-31T00:13:03.7Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612752,2,5,2023-12-31T00:13:05Z,150000,False,,,0,,J. Hart REBOUND (Off:0 Def:1),[1628404],1610612752.0,NYK,,Hart,J. Hart,,Left Corner 3,24+ Left,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,
16,PT10M13.00S,2023-12-31T00:13:08.4Z,1,REGULAR,turnover,out-of-bounds,[],1628973,,,1610612752,2,5,2023-12-31T00:13:15Z,160000,False,,,0,,J. Brunson lost ball out-of-bounds TURNOVER (1 TO),[1628973],1610612752.0,NYK,203592.0,Brunson,J. Brunson,lost ball,Above the Break 3,24+ Right Center,,,,,,,,,,,1.0,,,,,,,,,,,,,,
17,PT10M06.00S,2023-12-31T00:13:24.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630169,78.26872536136662,9.068627450980392,1610612754,2,5,2023-12-31T00:13:29Z,170000,False,-205.0,152.0,1,right,MISS T. Haliburton 25' pullup 3PT,[1630169],1610612754.0,IND,,Haliburton,T. Haliburton,pullup,Above the Break 3,24+ Left Center,25.48,Missed,,,,,,,,,,,,,,,,,,,,,,,
18,PT10M02.00S,2023-12-31T00:13:28.0Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612752,2,5,2023-12-31T00:13:29Z,180000,False,,,0,,J. Hart REBOUND (Off:0 Def:2),[1628404],1610612752.0,NYK,,Hart,J. Hart,,Above the Break 3,24+ Left Center,,,17.0,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,,
