actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-01-07T00:10:32.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-07T00:10:32Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-01-07T00:10:35.0Z,1,REGULAR,jumpball,recovered,[],1628401,,,1610612738,0,0,2024-01-07T00:10:35Z,40000,False,,,0,,Jump Ball K. Porzingis vs. M. Turner: Tip to D. White,"[1628401, 204001, 1626167]",1610612738.0,BOS,startperiod,D. White,1628401.0,White,D. White,Porzingis,204001.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2024-01-07T00:10:53.3Z,1,REGULAR,2pt,Jump Shot,[],1627759,87.07293035479631,27.205882352941174,1610612738,0,0,2024-01-07T01:40:44Z,70000,False,-114.0,69.0,1,right,MISS J. Brown 13' fadeaway bank Shot,[1627759],1610612738.0,BOS,fadeaway bank,,,Brown,J. Brown,,,,,Mid-Range,8-16 Left,13.33,Missed,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2024-01-07T00:10:55.3Z,1,REGULAR,rebound,defensive,[],1630188,,,1610612754,0,0,2024-01-07T00:11:12Z,80000,False,,,0,,J. Smith REBOUND (Off:0 Def:1),[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,Mid-Range,8-16 Left,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M29.00S,2024-01-07T00:11:02.4Z,1,REGULAR,3pt,Jump Shot,[],1630174,11.514454664914586,4.411764705882353,1610612754,0,0,2024-01-07T00:11:09Z,90000,False,228.0,56.0,1,left,MISS A. Nesmith 3PT,[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Right Corner 3,24+ Right,23.46,Missed,,,,,,,,,,,,,,,,,,
10,PT11M26.00S,2024-01-07T00:11:05.4Z,1,REGULAR,rebound,defensive,[],204001,,,1610612738,0,0,2024-01-07T00:11:09Z,100000,False,,,0,,K. Porzingis REBOUND (Off:0 Def:1),[204001],1610612738.0,BOS,,,,Porzingis,K. Porzingis,,,,,Right Corner 3,24+ Right,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M16.00S,2024-01-07T00:11:15.6Z,1,REGULAR,3pt,Jump Shot,[],201950,94.03745072273325,5.147058823529411,1610612738,0,0,2024-01-07T00:11:22Z,110000,False,-224.0,4.0,1,right,MISS J. Holiday 3PT,[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,Left Corner 3,24+ Left,22.43,Missed,,,,,,,,,,,,,,,,,,
12,PT11M12.00S,2024-01-07T00:11:19.6Z,1,REGULAR,rebound,defensive,[],1630169,,,1610612754,0,0,2024-01-07T00:11:22Z,120000,False,,,0,,T. Haliburton REBOUND (Off:0 Def:1),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Left Corner 3,24+ Left,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT11M02.00S,2024-01-07T00:11:28.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627741,6.521024967148489,49.50980392156863,1610612754,0,0,2024-01-07T01:41:08Z,130000,False,2.0,9.0,1,left,MISS B. Hield driving finger roll Layup,[1627741],1610612754.0,IND,driving finger roll,,,Hield,B. Hield,,,,,Restricted Area,0-8 Center,0.91,Missed,,,,,,,,,,,,,,,,,,
14,PT11M00.00S,2024-01-07T00:11:30.6Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,0,0,2024-01-07T00:11:35Z,140000,False,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
