actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-11-07T00:10:32.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-07T00:10:32Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2023-11-07T00:10:34.8Z,1,REGULAR,jumpball,recovered,[],1630167,,,1610612754,0,0,2023-11-07T00:10:34Z,40000,False,,,0,,Jump Ball M. Turner vs. V. Wembanyama: Tip to O. Toppin,"[1630167, 1626167, 1641705]",1610612754.0,IND,startperiod,O. Toppin,1630167.0,Toppin,O. Toppin,Turner,1626167.0,Wembanyama,1641705.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2023-11-07T00:10:51.2Z,1,REGULAR,3pt,Jump Shot,[],1630167,92.59198423127464,2.941176470588235,1610612754,0,0,2023-11-07T00:10:56Z,70000,False,-235.0,17.0,1,right,MISS O. Toppin 3PT,[1630167],1610612754.0,IND,,,,Toppin,O. Toppin,,,,,Left Corner 3,24+ Left,23.59,Missed,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2023-11-07T00:10:54.2Z,1,REGULAR,rebound,defensive,[],1631110,,,1610612759,0,0,2023-11-07T00:10:56Z,80000,False,,,0,,J. Sochan REBOUND (Off:0 Def:1),[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Left Corner 3,24+ Left,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M32.00S,2023-11-07T00:11:01.9Z,1,REGULAR,turnover,out-of-bounds,[],1631110,,,1610612759,0,0,2023-11-07T00:11:05Z,90000,False,,,0,,J. Sochan bad pass out-of-bounds TURNOVER (1 TO),[1631110],1610612759.0,SAS,bad pass,,,Sochan,J. Sochan,,,,,Mid-Range,16-24 Left Center,,,,,,,1628953.0,1.0,,,,,,,,,,,,
10,PT11M25.00S,2023-11-07T00:11:17.2Z,1,REGULAR,2pt,Layup,['fromturnover'],1630169,90.62089356110381,68.87254901960785,1610612754,2,0,2023-11-07T00:11:20Z,100000,False,94.0,36.0,1,right,T. Haliburton 10' driving finger roll Layup (2 PTS),[1630169],1610612754.0,IND,driving finger roll,,,Haliburton,T. Haliburton,,,,,Mid-Range,8-16 Right,10.09,Made,,,,,,,2.0,,,,,,,,,,,
11,PT11M07.00S,2023-11-07T00:11:34.4Z,1,REGULAR,turnover,bad pass,[],1628380,,,1610612759,2,0,2023-11-07T00:11:37Z,110000,False,,,0,,Z. Collins bad pass TURNOVER (1 TO),"[1628380, 1630167]",1610612759.0,SAS,,,,Collins,Z. Collins,,,,,Mid-Range,8-16 Left,,,,,,,,1.0,,Toppin,1630167.0,,,,,,,,,
12,PT11M07.00S,2023-11-07T00:11:34.4Z,1,REGULAR,steal,,[],1630167,,,1610612754,2,0,2023-11-07T00:11:35Z,120000,False,,,0,,O. Toppin STEAL (1 STL),[1630167],1610612754.0,IND,,,,Toppin,O. Toppin,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
13,PT11M02.00S,2023-11-07T00:11:39.0Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1631097,73.53810775295663,13.23529411764706,1610612754,2,0,2023-11-07T00:11:45Z,130000,False,-184.0,196.0,1,right,MISS B. Mathurin 26' running pullup 3PT,[1631097],1610612754.0,IND,running pullup,,,Mathurin,B. Mathurin,,,,,Above the Break 3,24+ Left Center,26.88,Missed,,,,,,,,,,,,,,,,,,
14,PT10M58.00S,2023-11-07T00:11:43.0Z,1,REGULAR,rebound,defensive,[],1628380,,,1610612759,2,0,2023-11-07T00:11:45Z,140000,False,,,0,,Z. Collins REBOUND (Off:0 Def:1),[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,Above the Break 3,24+ Left Center,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT10M49.00S,2023-11-07T00:11:52.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628380,17.427726675427067,46.32352941176471,1610612759,2,2,2023-11-07T00:11:58Z,150000,False,18.0,111.0,1,left,Z. Collins 11' floating Jump Shot (2 PTS) (K. Johnson 1 AST),"[1628380, 1629640]",1610612759.0,SAS,floating,,,Collins,Z. Collins,,,,,In The Paint (Non-RA),8-16 Center,11.28,Made,,,,,,,2.0,,,K. Johnson,1629640.0,1.0,,,,,,
17,PT10M31.00S,2023-11-07T00:12:13.0Z,1,REGULAR,foul,personal,['2freethrow'],1628380,,,1610612754,2,2,2023-11-07T00:12:25Z,170000,False,,,0,,Z. Collins shooting personal FOUL (1 PF) (Mathurin 2 FT),"[1628380, 1631097]",1610612759.0,SAS,shooting,,,Collins,Z. Collins,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1626301.0,,,,,,,,1.0,0.0,Mathurin,1631097.0,,
19,PT10M31.00S,2023-11-07T00:12:38.9Z,1,REGULAR,freethrow,1 of 2,[],1631097,,,1610612754,3,2,2023-11-07T00:12:39Z,190000,False,,,0,,B. Mathurin Free Throw 1 of 2 (1 PTS),[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
20,PT10M31.00S,2023-11-07T00:12:58.0Z,1,REGULAR,freethrow,2 of 2,[],1631097,,,1610612754,4,2,2023-11-07T00:12:58Z,200000,False,,,0,,B. Mathurin Free Throw 2 of 2 (2 PTS),[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,,,,Made,,,,,,,2.0,,,,,,,,,,,
21,PT10M20.00S,2023-11-07T00:13:10.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631110,5.732588699080158,50.245098039215684,1610612759,4,4,2023-11-07T00:13:14Z,210000,False,-1.0,1.0,1,left,J. Sochan cutting DUNK (2 PTS) (Z. Collins 1 AST),"[1631110, 1628380]",1610612759.0,SAS,cutting,,,Sochan,J. Sochan,,,,,Restricted Area,0-8 Center,0.18,Made,,,,,,,2.0,,,Z. Collins,1628380.0,1.0,,,,,,
23,PT10M08.00S,2023-11-07T00:13:22.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630169,92.9862023653088,55.14705882352941,1610612754,4,4,2023-11-07T00:13:28Z,230000,False,26.0,13.0,1,right,MISS T. Haliburton driving reverse Layup,[1630169],1610612754.0,IND,driving reverse,,,Haliburton,T. Haliburton,,,,,Restricted Area,0-8 Center,2.9,Missed,,,,,,,,,,,,,,,,,,
24,PT10M06.00S,2023-11-07T00:13:24.1Z,1,REGULAR,rebound,defensive,[],1641705,,,1610612759,4,4,2023-11-07T00:13:28Z,240000,False,,,0,,V. Wembanyama REBOUND (Off:0 Def:1),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,,,23.0,1.0,1.0,0.0,,,,,,,,,,,,,,
