actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
25,PT09M59.00S,2023-11-07T00:13:31.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641705,13.091327201051248,40.44117647058824,1610612759,4,4,2023-11-07T00:13:34Z,250000,False,48.0,71.0,1,left,MISS V. Wembanyama 8' turnaround fadeaway Shot,[1641705],1610612759.0,SAS,turnaround fadeaway,,,Wembanyama,V. Wembanyama,,,,,In The Paint (Non-RA),8-16 Right,8.53,Missed,,,,,,,,,,,,,,,,,,
26,PT09M57.00S,2023-11-07T00:13:33.0Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,4,4,2023-11-07T00:13:34Z,260000,False,,,0,,M. Turner REBOUND (Off:0 Def:1),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,In The Paint (Non-RA),8-16 Right,,,25.0,1.0,1.0,0.0,,,,,,,,,,,,,,
27,PT09M50.00S,2023-11-07T00:13:42.3Z,1,REGULAR,foul,personal,['2freethrow'],1631110,,,1610612754,4,4,2023-11-07T00:13:50Z,270000,False,,,0,,J. Sochan shooting personal FOUL (1 PF) (Turner 2 FT),"[1631110, 1626167]",1610612759.0,SAS,shooting,,,Sochan,J. Sochan,,,,,Restricted Area,0-8 Center,,,,,,,1628953.0,,,,,,,,1.0,0.0,Turner,1626167.0,,
29,PT09M50.00S,2023-11-07T00:14:04.7Z,1,REGULAR,freethrow,1 of 2,[],1626167,,,1610612754,5,4,2023-11-07T00:14:04Z,290000,False,,,0,,M. Turner Free Throw 1 of 2 (1 PTS),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
30,PT09M50.00S,2023-11-07T00:14:20.3Z,1,REGULAR,freethrow,2 of 2,[],1626167,,,1610612754,6,4,2023-11-07T00:14:20Z,300000,False,,,0,,M. Turner Free Throw 2 of 2 (2 PTS),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,Made,,,,,,,2.0,,,,,,,,,,,
31,PT09M42.00S,2023-11-07T00:14:34.6Z,1,REGULAR,foul,personal,[],1630167,,,1610612759,6,4,2023-11-07T00:14:39Z,310000,False,,,0,,O. Toppin personal FOUL (1 PF),"[1630167, 1641705]",1610612754.0,IND,,,,Toppin,O. Toppin,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1628953.0,,,,,,,,1.0,0.0,Wembanyama,1641705.0,,
33,PT09M31.00S,2023-11-07T00:15:00.4Z,1,REGULAR,3pt,Jump Shot,[],1631110,18.084756898817346,95.34313725490196,1610612759,6,4,2023-11-07T00:15:09Z,330000,False,-227.0,117.0,1,left,MISS J. Sochan 25' 3PT - blocked,"[1631110, 1630169]",1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Above the Break 3,24+ Left Center,25.53,Missed,,,,,,,,,,,,,,,,,Haliburton,1630169.0
34,PT09M31.00S,2023-11-07T00:15:00.4Z,1,REGULAR,block,,[],1630169,,,1610612759,6,4,2023-11-07T00:15:02Z,340000,False,,,0,,T. Haliburton BLOCK (1 BLK),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
35,PT09M29.00S,2023-11-07T00:15:02.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612754,6,4,2023-11-07T00:15:12Z,350000,False,,,0,,TEAM defensive REBOUND,[],1610612754.0,IND,,,,,,,,,,Above the Break 3,24+ Left Center,,,33.0,,,,,,,,,,,,,,,,,
37,PT09M22.00S,2023-11-07T00:15:23.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630169,90.62089356110381,54.166666666666664,1610612754,8,4,2023-11-07T00:15:31Z,370000,False,21.0,36.0,1,right,T. Haliburton driving finger roll Layup (4 PTS),[1630169],1610612754.0,IND,driving finger roll,,,Haliburton,T. Haliburton,,,,,Restricted Area,0-8 Center,4.13,Made,,,,,,,4.0,,,,,,,,,,,
38,PT09M22.00S,2023-11-07T00:15:26.0Z,1,REGULAR,foul,personal,['1freethrow'],1631110,,,1610612754,8,4,2023-11-07T00:15:30Z,380000,False,,,0,,J. Sochan shooting personal FOUL (2 PF) (Haliburton 1 FT),"[1631110, 1630169]",1610612759.0,SAS,shooting,,,Sochan,J. Sochan,,,,,Restricted Area,0-8 Center,,,,,,,1628953.0,,,,,,,,2.0,0.0,Haliburton,1630169.0,,
40,PT09M22.00S,2023-11-07T00:15:38.0Z,1,REGULAR,substitution,out,[],1631110,,,1610612754,8,4,2023-11-07T00:16:39Z,400000,False,,,0,,SUB out: J. Sochan,[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,,,,,,,,,,,,,,,,,,,,,,
41,PT09M22.00S,2023-11-07T00:15:38.0Z,1,REGULAR,substitution,in,[],1630200,,,1610612754,8,4,2023-11-07T00:16:39Z,410000,False,,,0,,SUB in: T. Jones,[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
42,PT09M22.00S,2023-11-07T00:15:53.5Z,1,REGULAR,freethrow,1 of 1,[],1630169,,,1610612754,9,4,2023-11-07T00:15:53Z,420000,False,,,0,,T. Haliburton Free Throw 1 of 1 (5 PTS),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,,,,Made,,,,,,,5.0,,,,,,,,,,,
43,PT09M13.00S,2023-11-07T00:16:04.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631103,16.770696452036795,44.36274509803921,1610612759,9,6,2023-11-07T00:16:08Z,430000,False,28.0,105.0,1,left,M. Branham 10' driving floating Jump Shot (2 PTS),[1631103],1610612759.0,SAS,driving floating,,,Branham,M. Branham,,,,,In The Paint (Non-RA),8-16 Center,10.88,Made,,,,,,,2.0,,,,,,,,,,,
44,PT09M00.00S,2023-11-07T00:16:15.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628971,80.6340341655716,42.40196078431372,1610612754,11,6,2023-11-07T00:16:19Z,440000,False,-38.0,130.0,1,right,B. Brown 13' pullup Jump Shot (2 PTS) (T. Haliburton 1 AST),"[1628971, 1630169]",1610612754.0,IND,pullup,,,Brown,B. Brown,,,,,In The Paint (Non-RA),8-16 Center,13.5,Made,,,,,,,2.0,,,T. Haliburton,1630169.0,1.0,,,,,,
46,PT08M45.00S,2023-11-07T00:16:32.9Z,1,REGULAR,foul,personal,[],1631097,,,1610612759,11,6,2023-11-07T00:16:39Z,460000,False,,,0,,B. Mathurin personal FOUL (1 PF),"[1631097, 1629640]",1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,Above the Break 3,24+ Right Center,,,,,,,1626301.0,,,,,,,,1.0,0.0,Johnson,1629640.0,,
48,PT08M39.00S,2023-11-07T00:16:53.4Z,1,REGULAR,2pt,Jump Shot,[],1630200,16.770696452036795,69.6078431372549,1610612759,11,6,2023-11-07T00:16:57Z,480000,False,-98.0,105.0,1,left,MISS T. Jones 14' driving floating Shot,[1630200],1610612759.0,SAS,driving floating,,,Jones,T. Jones,,,,,Mid-Range,8-16 Left,14.37,Missed,,,,,,,,,,,,,,,,,,
49,PT08M36.00S,2023-11-07T00:16:56.4Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,11,6,2023-11-07T00:16:57Z,490000,False,,,0,,M. Turner REBOUND (Off:0 Def:2),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Mid-Range,8-16 Left,,,48.0,2.0,2.0,0.0,,,,,,,,,,,,,,
50,PT08M29.00S,2023-11-07T00:17:03.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626167,92.72339027595268,43.13725490196079,1610612754,11,6,2023-11-07T00:17:08Z,500000,False,-34.0,16.0,1,right,MISS M. Turner cutting Layup,[1626167],1610612754.0,IND,cutting,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,3.78,Missed,,,,,,,,,,,,,,,,,,
51,PT08M26.00S,2023-11-07T00:17:06.9Z,1,REGULAR,rebound,defensive,[],1641705,,,1610612759,11,6,2023-11-07T00:17:08Z,510000,False,,,0,,V. Wembanyama REBOUND (Off:0 Def:2),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,,,50.0,2.0,2.0,0.0,,,,,,,,,,,,,,
52,PT08M20.00S,2023-11-07T00:17:11.5Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1641705,26.231931668856767,51.225490196078425,1610612759,11,8,2023-11-07T00:17:20Z,520000,False,-6.0,194.0,1,left,V. Wembanyama 19' running pullup Jump Shot (2 PTS),[1641705],1610612759.0,SAS,running pullup,,,Wembanyama,V. Wembanyama,,,,,Mid-Range,16-24 Center,19.42,Made,,,,,,,2.0,,,,,,,,,,,
53,PT08M05.00S,2023-11-07T00:17:28.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630169,93.24901445466492,54.90196078431373,1610612754,11,8,2023-11-07T00:18:07Z,530000,False,25.0,11.0,1,right,MISS T. Haliburton driving Layup,[1630169],1610612754.0,IND,driving,,,Haliburton,T. Haliburton,,,,,Restricted Area,0-8 Center,2.69,Missed,,,,,,,,,,,,,,,,,,
54,PT08M01.00S,2023-11-07T00:17:32.2Z,1,REGULAR,rebound,offensive,[],1626167,,,1610612754,11,8,2023-11-07T00:17:32Z,540000,False,,,0,,M. Turner REBOUND (Off:1 Def:2),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,,,53.0,3.0,2.0,1.0,,,,,,,,,,,,,,
55,PT08M01.00S,2023-11-07T00:17:30.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626167,94.40999984741211,50.0,1610612754,13,8,2023-11-07T00:17:30Z,550000,False,0.0,0.0,1,right,M. Turner tip Layup (4 PTS),[1626167],1610612754.0,IND,tip,,,Turner,M. Turner,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,,,4.0,,,,,,,,,,,
56,PT07M48.00S,2023-11-07T00:17:43.6Z,1,REGULAR,3pt,Jump Shot,[],1628380,30.831143232588698,66.66666666666666,1610612759,13,11,2023-11-07T00:17:47Z,560000,False,-83.0,237.0,1,left,Z. Collins 25' 3PT  (5 PTS) (K. Johnson 2 AST),"[1628380, 1629640]",1610612759.0,SAS,,,,Collins,Z. Collins,,,,,Above the Break 3,24+ Left Center,25.15,Made,,,,,,,5.0,,,K. Johnson,1629640.0,2.0,,,,,,
58,PT07M34.00S,2023-11-07T00:17:58.8Z,1,REGULAR,3pt,Jump Shot,[],1630169,85.10183968462549,94.85294117647058,1610612754,16,11,2023-11-07T00:18:02Z,580000,False,224.0,88.0,1,right,T. Haliburton 24' 3PT pullup (8 PTS) (B. Mathurin 1 AST),"[1630169, 1631097]",1610612754.0,IND,pullup,,,Haliburton,T. Haliburton,,,,,Right Corner 3,24+ Right,24.08,Made,,,,,,,8.0,,,B. Mathurin,1631097.0,1.0,,,,,,
60,PT07M31.00S,2023-11-07T00:18:04.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612759,16,11,2023-11-07T00:18:04Z,600000,False,,,0,,SAS Timeout,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT07M15.00S,2023-11-07T00:21:24.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631103,6.652431011826544,50.98039215686274,1610612759,16,13,2023-11-07T00:21:28Z,610000,False,-5.0,10.0,1,left,M. Branham cutting DUNK (4 PTS) (T. Jones 1 AST),"[1631103, 1630200]",1610612759.0,SAS,cutting,,,Branham,M. Branham,,,,,Restricted Area,0-8 Center,1.11,Made,,,,,,,4.0,,,T. Jones,1630200.0,1.0,,,,,,
64,PT07M07.00S,2023-11-07T00:21:45.8Z,1,REGULAR,foul,personal,['2freethrow'],1641705,,,1610612754,16,13,2023-11-07T00:21:51Z,640000,False,,,0,,V. Wembanyama shooting personal FOUL (1 PF) (Toppin 2 FT),"[1641705, 1630167]",1610612759.0,SAS,shooting,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,,,,,,,1628953.0,,,,,,,,1.0,0.0,Toppin,1630167.0,,
66,PT07M07.00S,2023-11-07T00:22:08.8Z,1,REGULAR,freethrow,1 of 2,[],1630167,,,1610612754,17,13,2023-11-07T00:22:08Z,660000,False,,,0,,O. Toppin Free Throw 1 of 2 (1 PTS),[1630167],1610612754.0,IND,,,,Toppin,O. Toppin,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
67,PT07M07.00S,2023-11-07T00:22:22.4Z,1,REGULAR,freethrow,2 of 2,[],1630167,,,1610612754,18,13,2023-11-07T00:22:22Z,670000,False,,,0,,O. Toppin Free Throw 2 of 2 (2 PTS),[1630167],1610612754.0,IND,,,,Toppin,O. Toppin,,,,,,,,Made,,,,,,,2.0,,,,,,,,,,,
68,PT06M51.00S,2023-11-07T00:22:41.2Z,1,REGULAR,2pt,Jump Shot,[],1641705,16.507884362680684,23.03921568627451,1610612759,18,13,2023-11-07T00:22:44Z,680000,False,135.0,103.0,1,left,MISS V. Wembanyama 16' pullup Shot,[1641705],1610612759.0,SAS,pullup,,,Wembanyama,V. Wembanyama,,,,,Mid-Range,16-24 Right Center,16.95,Missed,,,,,,,,,,,,,,,,,,
69,PT06M48.00S,2023-11-07T00:22:44.2Z,1,REGULAR,rebound,defensive,[],1631097,,,1610612754,18,13,2023-11-07T00:22:44Z,690000,False,,,0,,B. Mathurin REBOUND (Off:0 Def:1),[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,Mid-Range,16-24 Right Center,,,68.0,1.0,1.0,0.0,,,,,,,,,,,,,,
70,PT06M33.00S,2023-11-07T00:22:57.6Z,1,REGULAR,3pt,Jump Shot,[],1630169,73.9323258869908,17.401960784313726,1610612754,18,13,2023-11-07T00:23:01Z,700000,False,-163.0,193.0,1,right,MISS T. Haliburton 25' step back 3PT,[1630169],1610612754.0,IND,step back,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Left Center,25.22,Missed,,,,,,,,,,,,,,,,,,
71,PT06M30.00S,2023-11-07T00:23:00.6Z,1,REGULAR,rebound,defensive,[],1641705,,,1610612759,18,13,2023-11-07T00:23:01Z,710000,False,,,0,,V. Wembanyama REBOUND (Off:0 Def:3),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Above the Break 3,24+ Left Center,,,70.0,3.0,3.0,0.0,,,,,,,,,,,,,,
72,PT06M17.00S,2023-11-07T00:23:13.4Z,1,REGULAR,3pt,Jump Shot,[],1631103,28.86005256241787,21.323529411764707,1610612759,18,13,2023-11-07T00:23:18Z,720000,False,143.0,219.0,1,left,MISS M. Branham 26' 3PT,[1631103],1610612759.0,SAS,,,,Branham,M. Branham,,,,,Above the Break 3,24+ Right Center,26.16,Missed,,,,,,,,,,,,,,,,,,
73,PT06M14.00S,2023-11-07T00:23:16.4Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,18,13,2023-11-07T00:23:18Z,730000,False,,,0,,M. Turner REBOUND (Off:1 Def:3),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Right Center,,,72.0,4.0,3.0,1.0,,,,,,,,,,,,,,
74,PT06M09.00S,2023-11-07T00:23:21.5Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1628971,72.48685939553219,31.61764705882353,1610612754,18,13,2023-11-07T00:25:14Z,740000,False,-92.0,206.0,1,right,MISS B. Brown 22' running Shot,[1628971],1610612754.0,IND,running,,,Brown,B. Brown,,,,,Mid-Range,16-24 Left Center,22.57,Missed,,,,,,,,,,,,,,,,,,
75,PT06M07.00S,2023-11-07T00:23:23.5Z,1,REGULAR,rebound,defensive,[],1629640,,,1610612759,18,13,2023-11-07T00:23:25Z,750000,False,,,0,,K. Johnson REBOUND (Off:0 Def:1),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Left Center,,,74.0,1.0,1.0,0.0,,,,,,,,,,,,,,
76,PT06M00.00S,2023-11-07T00:23:33.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629640,9.674770039421814,54.65686274509803,1610612759,18,15,2023-11-07T00:23:38Z,760000,False,-23.0,38.0,1,left,K. Johnson driving Layup (2 PTS),[1629640],1610612759.0,SAS,driving,,,Johnson,K. Johnson,,,,,In The Paint (Non-RA),0-8 Center,4.49,Made,,,,,,,2.0,,,,,,,,,,,
77,PT06M00.00S,2023-11-07T00:23:36.3Z,1,REGULAR,foul,personal,['1freethrow'],1626167,,,1610612759,18,15,2023-11-07T00:23:39Z,770000,False,,,0,,M. Turner shooting personal FOUL (1 PF) (Johnson 1 FT),"[1626167, 1629640]",1610612754.0,IND,shooting,,,Turner,M. Turner,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1626301.0,,,,,,,,1.0,0.0,Johnson,1629640.0,,
79,PT06M00.00S,2023-11-07T00:23:40.9Z,1,REGULAR,substitution,out,[],1631097,,,1610612759,18,15,2023-11-07T00:24:13Z,790000,False,,,0,,SUB out: B. Mathurin,[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT06M00.00S,2023-11-07T00:23:40.9Z,1,REGULAR,substitution,out,[],1628971,,,1610612759,18,15,2023-11-07T00:24:13Z,800000,False,,,0,,SUB out: B. Brown,[1628971],1610612754.0,IND,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT06M00.00S,2023-11-07T00:23:40.9Z,1,REGULAR,substitution,out,[],1641705,,,1610612759,18,15,2023-11-07T00:24:13Z,810000,False,,,0,,SUB out: V. Wembanyama,[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT06M00.00S,2023-11-07T00:23:40.9Z,1,REGULAR,substitution,in,[],1627741,,,1610612759,18,15,2023-11-07T00:24:13Z,820000,False,,,0,,SUB in: B. Hield,[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT06M00.00S,2023-11-07T00:23:40.9Z,1,REGULAR,substitution,in,[],1630174,,,1610612759,18,15,2023-11-07T00:24:13Z,830000,False,,,0,,SUB in: A. Nesmith,[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT06M00.00S,2023-11-07T00:23:40.9Z,1,REGULAR,substitution,in,[],1626224,,,1610612759,18,15,2023-11-07T00:24:13Z,840000,False,,,0,,SUB in: C. Osman,[1626224],1610612759.0,SAS,,,,Osman,C. Osman,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT06M00.00S,2023-11-07T00:24:12.7Z,1,REGULAR,freethrow,1 of 1,[],1629640,,,1610612759,18,15,2023-11-07T00:24:14Z,850000,False,,,0,,MISS K. Johnson Free Throw 1 of 1,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
86,PT05M59.00S,2023-11-07T00:24:13.7Z,1,REGULAR,rebound,defensive,[],1630167,,,1610612754,18,15,2023-11-07T00:24:14Z,860000,False,,,0,,O. Toppin REBOUND (Off:0 Def:1),[1630167],1610612754.0,IND,,,,Toppin,O. Toppin,,,,,,,,,85.0,1.0,1.0,0.0,,,,,,,,,,,,,,
