actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-12-19T00:12:09.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-19T00:12:09Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-12-19T00:12:12.0Z,1,REGULAR,jumpball,recovered,[],202331,,,1610612746,0,0,2023-12-19T00:12:12Z,40000,False,,,0,,Jump Ball I. Zubac vs. I. Jackson: Tip to P. George,"[202331, 1627826, 1630543]",1610612746.0,LAC,startperiod,P. George,202331.0,George,P. George,Zubac,1627826.0,Jackson,1630543.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2023-12-19T00:12:36.1Z,1,REGULAR,foul,offensive,[],202695,,,1610612746,0,0,2023-12-19T00:12:48Z,80000,False,,,0,,K. Leonard offensive FOUL (1 PF),"[202695, 1630169]",1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,Mid-Range,8-16 Right,1199.0,1.0,0.0,Haliburton,1630169.0,,,,,,,,,,,,,,,
10,PT11M44.00S,2023-12-19T00:12:36.1Z,1,REGULAR,turnover,offensive foul,[],202695,,,1610612746,0,0,2023-12-19T00:12:36Z,100000,False,,,0,,K. Leonard offensive foul TURNOVER (1 TO),[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,Mid-Range,8-16 Right,1199.0,,,,,1.0,,,,,,,,,,,,,,
11,PT11M33.00S,2023-12-19T00:12:52.1Z,1,REGULAR,turnover,out-of-bounds,[],1630169,,,1610612754,0,0,2023-12-19T00:13:02Z,110000,False,,,0,,T. Haliburton bad pass out-of-bounds TURNOVER (1 TO),[1630169],1610612754.0,IND,bad pass,,,Haliburton,T. Haliburton,,,,,Mid-Range,16-24 Right Center,1199.0,,,,,1.0,,,,,,,,,,,,,,
12,PT11M26.00S,2023-12-19T00:13:07.8Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],202331,89.30683311432325,78.43137254901961,1610612746,0,2,2023-12-19T00:13:12Z,120000,False,142.0,48.0,1,right,P. George 15' fadeaway Jump Shot (2 PTS) (J. Harden 1 AST),"[202331, 201935]",1610612746.0,LAC,fadeaway,,,George,P. George,,,,,Mid-Range,8-16 Right,,,,,,,15.01,Made,2.0,J. Harden,201935.0,1.0,,,,,,,,
14,PT11M15.00S,2023-12-19T00:13:18.4Z,1,REGULAR,2pt,Jump Shot,[],1628971,11.777266754270697,30.88235294117647,1610612754,2,2,2023-12-19T00:13:22Z,140000,False,96.0,58.0,1,left,B. Brown 11' pullup Jump Shot (2 PTS),[1628971],1610612754.0,IND,pullup,,,Brown,B. Brown,,,,,Mid-Range,8-16 Right,,,,,,,11.19,Made,2.0,,,,,,,,,,,
15,PT10M55.00S,2023-12-19T00:13:37.7Z,1,REGULAR,2pt,Jump Shot,[],202331,93.77463863337714,75.0,1610612746,2,2,2023-12-19T00:13:43Z,150000,False,125.0,6.0,1,right,MISS P. George 12' turnaround fadeaway Shot,[202331],1610612746.0,LAC,turnaround fadeaway,,,George,P. George,,,,,Mid-Range,8-16 Right,,,,,,,12.51,Missed,,,,,,,,,,,,
16,PT10M51.00S,2023-12-19T00:13:41.7Z,1,REGULAR,rebound,defensive,[],1628971,,,1610612754,2,2,2023-12-19T00:13:43Z,160000,False,,,0,,B. Brown REBOUND (Off:0 Def:1),[1628971],1610612754.0,IND,,,,Brown,B. Brown,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,
17,PT10M41.00S,2023-12-19T00:13:51.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628971,6.652431011826544,54.41176470588235,1610612754,4,2,2023-12-19T00:13:54Z,170000,False,-22.0,10.0,1,left,B. Brown driving finger roll Layup (4 PTS),[1628971],1610612754.0,IND,driving finger roll,,,Brown,B. Brown,,,,,Restricted Area,0-8 Center,,,,,,,2.43,Made,4.0,,,,,,,,,,,
18,PT10M26.00S,2023-12-19T00:14:06.9Z,1,REGULAR,3pt,Jump Shot,[],202331,67.49342969776609,66.66666666666666,1610612746,4,2,2023-12-19T00:14:13Z,180000,False,83.0,253.0,1,right,MISS P. George 26' 3PT,[202331],1610612746.0,LAC,,,,George,P. George,,,,,Above the Break 3,24+ Center,,,,,,,26.65,Missed,,,,,,,,,,,,
19,PT10M22.00S,2023-12-19T00:14:10.9Z,1,REGULAR,rebound,defensive,[],1630167,,,1610612754,4,2,2023-12-19T00:14:13Z,190000,False,,,0,,O. Toppin REBOUND (Off:0 Def:1),[1630167],1610612754.0,IND,,,,Toppin,O. Toppin,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,18.0,1.0,1.0,0.0,,,,
20,PT10M04.00S,2023-12-19T00:14:28.3Z,1,REGULAR,3pt,Jump Shot,[],1630169,7.440867279894875,3.6764705882352944,1610612754,4,2,2023-12-19T00:14:32Z,200000,False,232.0,17.0,1,left,MISS T. Haliburton 3PT,[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Right Corner 3,24+ Right,,,,,,,23.23,Missed,,,,,,,,,,,,
21,PT10M02.00S,2023-12-19T00:14:30.3Z,1,REGULAR,rebound,defensive,[],201935,,,1610612746,4,2,2023-12-19T00:14:32Z,210000,False,,,0,,J. Harden REBOUND (Off:0 Def:1),[201935],1610612746.0,LAC,,,,Harden,J. Harden,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,20.0,1.0,1.0,0.0,,,,
22,PT09M57.00S,2023-12-19T00:14:37.5Z,1,REGULAR,foul,personal,[],1628971,,,1610612746,4,2,2023-12-19T00:14:42Z,220000,False,,,0,,B. Brown personal FOUL (1 PF),"[1628971, 201935]",1610612754.0,IND,,,,Brown,B. Brown,,,,,Above the Break 3,24+ Center,1162.0,1.0,0.0,Harden,201935.0,,,,,,,,,,,,,,,
25,PT09M51.00S,2023-12-19T00:15:08.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627826,92.46057818659659,55.392156862745104,1610612746,4,4,2023-12-19T00:15:12Z,250000,False,27.0,18.0,1,right,I. Zubac cutting Layup (2 PTS) (J. Harden 2 AST),"[1627826, 201935]",1610612746.0,LAC,cutting,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,,,,,,,3.27,Made,2.0,J. Harden,201935.0,2.0,,,,,,,,
27,PT09M38.00S,2023-12-19T00:15:22.9Z,1,REGULAR,foul,personal,['2freethrow'],1627826,,,1610612754,4,4,2023-12-19T00:15:28Z,270000,False,,,0,,I. Zubac shooting personal FOUL (1 PF) (Jackson 2 FT),"[1627826, 1630543]",1610612746.0,LAC,shooting,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),0-8 Center,1627519.0,1.0,0.0,Jackson,1630543.0,,,,,,,,,,,,,,,
