actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-12-05T00:35:36.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-05T00:35:36Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-12-05T00:35:38.7Z,1,REGULAR,jumpball,recovered,[],1630167,,,1610612754,0,0,2023-12-05T00:35:38Z,40000,False,,,0,,Jump Ball M. Turner vs. A. Horford: Tip to O. Toppin,"[1630167, 1626167, 201143]",1610612754.0,IND,startperiod,O. Toppin,1630167.0,Toppin,O. Toppin,Turner,1626167.0,Horford,201143.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2023-12-05T00:35:59.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628971,11.12023653088042,35.53921568627451,1610612754,0,0,2023-12-05T00:36:04Z,70000,False,72.0,52.0,1,left,MISS B. Brown 8' driving floating bank Shot,[1628971],1610612754.0,IND,driving floating bank,,,Brown,B. Brown,,,,,In The Paint (Non-RA),8-16 Right,8.91,Missed,,,,,,,,,,,,,,,,,,
8,PT11M32.00S,2023-12-05T00:36:02.2Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,0,0,2023-12-05T00:36:04Z,80000,False,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,In The Paint (Non-RA),8-16 Right,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M20.00S,2023-12-05T00:36:14.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201950,91.93495400788436,44.85294117647059,1610612738,0,0,2023-12-05T00:36:18Z,90000,False,-26.0,23.0,1,right,MISS J. Holiday driving finger roll Layup,[201950],1610612738.0,BOS,driving finger roll,,,Holiday,J. Holiday,,,,,Restricted Area,0-8 Center,3.47,Missed,,,,,,,,,,,,,,,,,,
10,PT11M19.00S,2023-12-05T00:36:15.4Z,1,REGULAR,rebound,defensive,[],1628971,,,1610612754,0,0,2023-12-05T00:36:18Z,100000,False,,,0,,B. Brown REBOUND (Off:0 Def:1),[1628971],1610612754.0,IND,,,,Brown,B. Brown,,,,,Restricted Area,0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M14.00S,2023-12-05T00:36:23.0Z,1,REGULAR,foul,personal,['2freethrow'],1627759,,,1610612754,0,0,2023-12-05T00:36:33Z,110000,False,,,0,,J. Brown shooting personal FOUL (1 PF) (Brown 2 FT),"[1627759, 1628971]",1610612738.0,BOS,shooting,,,Brown,J. Brown,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,203593.0,1.0,0.0,Brown,1628971.0,,,,,,,,,
13,PT11M14.00S,2023-12-05T00:36:46.1Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1628971,,,1610612754,1,0,2023-12-05T00:36:46Z,130000,False,,,0,,B. Brown Free Throw 1 of 2 (1 PTS),[1628971],1610612754.0,IND,,,,Brown,B. Brown,,,,,,,,Made,,,,,,,,,,1.0,,,,,,,,
14,PT11M14.00S,2023-12-05T00:36:59.8Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1628971,,,1610612754,2,0,2023-12-05T00:36:59Z,140000,False,,,0,,B. Brown Free Throw 2 of 2 (2 PTS),[1628971],1610612754.0,IND,,,,Brown,B. Brown,,,,,,,,Made,,,,,,,,,,2.0,,,,,,,,
15,PT10M54.00S,2023-12-05T00:37:21.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628369,92.59198423127464,50.98039215686274,1610612738,2,2,2023-12-05T00:37:29Z,150000,False,5.0,17.0,1,right,J. Tatum cutting DUNK (2 PTS) (D. White 1 AST),"[1628369, 1628401]",1610612738.0,BOS,cutting,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,1.78,Made,,,,,,,,,,2.0,D. White,1628401.0,1.0,,,,,
