actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-03-16T23:11:10.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-16T23:11:10Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-03-16T23:11:12.7Z,1,REGULAR,jumpball,recovered,[],1630560,,,1610612751,0,0,2024-03-16T23:11:12Z,40000,False,,,0,,Jump Ball N. Claxton vs. M. Turner: Tip to C. Thomas,"[1630560, 1629651, 1626167]",1610612751.0,BKN,startperiod,C. Thomas,1630560.0,Thomas,C. Thomas,Claxton,1629651.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2024-03-16T23:11:29.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203471,6.258212877792378,50.0,1610612751,0,0,2024-03-16T23:11:35Z,70000,False,0.0,6.0,1,left,MISS D. Schroder driving finger roll Layup,[203471],1610612751.0,BKN,driving finger roll,,,Schroder,D. Schroder,,,,,Restricted Area,0-8 Center,0.63,Missed,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2024-03-16T23:11:33.4Z,1,REGULAR,rebound,offensive,[],1629651,,,1610612751,0,0,2024-03-16T23:11:35Z,80000,False,,,0,,N. Claxton REBOUND (Off:1 Def:0),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M36.00S,2024-03-16T23:11:33.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629651,5.590000152587891,50.0,1610612751,0,2,2024-03-16T23:11:33Z,90000,False,0.0,0.0,1,left,N. Claxton tip Layup (2 PTS),[1629651],1610612751.0,BKN,tip,,,Claxton,N. Claxton,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M16.00S,2024-03-16T23:11:53.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630169,94.69448094612353,50.73529411764706,1610612754,0,2,2024-03-16T23:11:59Z,100000,False,4.0,-3.0,1,right,MISS T. Haliburton driving reverse Layup - blocked,"[1630169, 1629651]",1610612754.0,IND,driving reverse,,,Haliburton,T. Haliburton,,,,,Restricted Area,0-8 Center,0.45,Missed,,,,,,Claxton,1629651.0,,,,,,,,,,,
11,PT11M16.00S,2024-03-16T23:11:53.6Z,1,REGULAR,block,,[],1629651,,,1610612754,0,2,2024-03-16T23:11:55Z,110000,False,,,0,,N. Claxton BLOCK (1 BLK),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
12,PT11M14.00S,2024-03-16T23:11:55.6Z,1,REGULAR,rebound,defensive,[],1627827,,,1610612751,0,2,2024-03-16T23:11:59Z,120000,False,,,0,,D. Finney-Smith REBOUND (Off:0 Def:1),[1627827],1610612751.0,BKN,,,,Finney-Smith,D. Finney-Smith,,,,,Restricted Area,0-8 Center,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT11M03.00S,2024-03-16T23:12:06.4Z,1,REGULAR,3pt,Jump Shot,[],1630560,31.225361366622867,73.52941176470588,1610612751,0,2,2024-03-16T23:12:11Z,130000,False,-118.0,241.0,1,left,MISS C. Thomas 26' 3PT,[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,Above the Break 3,24+ Left Center,26.82,Missed,,,,,,,,,,,,,,,,,,
14,PT11M00.00S,2024-03-16T23:12:09.4Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612754,0,2,2024-03-16T23:12:11Z,140000,False,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Left Center,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
