actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-04-14T17:11:28.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-04-14T17:11:28Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-04-14T17:11:31.0Z,1,REGULAR,jumpball,recovered,[],1629631,,,1610612737,0,0,2024-04-14T17:11:31Z,40000,False,,,0,,Jump Ball B. Fernando vs. M. Turner: Tip to D. Hunter,"[1629631, 1628981, 1626167]",1610612737.0,ATL,startperiod,D. Hunter,1629631.0,Hunter,D. Hunter,Fernando,1628981.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2024-04-14T17:11:49.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628981,6.389618922470433,56.127450980392155,1610612737,0,0,2024-04-14T17:12:22Z,80000,False,-31.0,8.0,1,left,MISS B. Fernando Layup - blocked,"[1628981, 1626167]",1610612737.0,ATL,,,,Fernando,B. Fernando,,,,,Restricted Area,0-8 Center,3.15,Missed,Turner,1626167.0,,,,,,,,,,,,,,,,
9,PT11M38.00S,2024-04-14T17:11:49.8Z,1,REGULAR,block,,[],1626167,,,1610612737,0,0,2024-04-14T17:11:52Z,90000,False,,,0,,M. Turner BLOCK (1 BLK),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
10,PT11M35.00S,2024-04-14T17:11:52.8Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,0,0,2024-04-14T17:17:34Z,100000,False,,,0,,M. Turner REBOUND (Off:0 Def:1),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,
11,PT11M28.00S,2024-04-14T17:12:00.0Z,1,REGULAR,3pt,Jump Shot,[],1630169,88.91261498028909,96.81372549019608,1610612754,0,0,2024-04-14T17:12:04Z,110000,False,234.0,52.0,1,right,MISS T. Haliburton 3PT,[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Right Corner 3,24+ Right,23.97,Missed,,,,,,,,,,,,,,,,,,
12,PT11M25.00S,2024-04-14T17:12:03.0Z,1,REGULAR,rebound,defensive,[],1629027,,,1610612737,0,0,2024-04-14T17:12:04Z,120000,False,,,0,,T. Young REBOUND (Off:0 Def:1),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,Right Corner 3,24+ Right,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,
13,PT11M18.00S,2024-04-14T17:12:13.9Z,1,REGULAR,foul,personal,[],1630174,,,1610612737,0,0,2024-04-14T17:12:34Z,130000,False,,,0,,A. Nesmith personal FOUL (1 PF),"[1630174, 1629631]",1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Mid-Range,16-24 Center,,,,,,,,,101283.0,1.0,0.0,Hunter,1629631.0,,,,,,,
15,PT11M13.00S,2024-04-14T17:12:39.7Z,1,REGULAR,2pt,Jump Shot,[],1629631,8.229303547963205,71.56862745098039,1610612737,0,0,2024-04-14T17:12:45Z,150000,False,-108.0,25.0,1,left,MISS D. Hunter 11' fadeaway Shot,[1629631],1610612737.0,ATL,fadeaway,,,Hunter,D. Hunter,,,,,Mid-Range,8-16 Left,11.06,Missed,,,,,,,,,,,,,,,,,,
16,PT11M10.00S,2024-04-14T17:12:42.7Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,0,0,2024-04-14T17:12:45Z,160000,False,,,0,,M. Turner REBOUND (Off:0 Def:2),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Mid-Range,8-16 Left,,,,,15.0,2.0,2.0,0.0,,,,,,,,,,,,
17,PT11M02.00S,2024-04-14T17:12:51.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626167,93.11760840998686,43.13725490196079,1610612754,2,0,2024-04-14T17:12:56Z,170000,False,-34.0,12.0,1,right,M. Turner cutting Layup (2 PTS) (T. Haliburton 1 AST),"[1626167, 1630169]",1610612754.0,IND,cutting,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,3.64,Made,,,,,,,,,,,,2.0,T. Haliburton,1630169.0,1.0,,,
19,PT11M02.00S,2024-04-14T17:12:54.7Z,1,REGULAR,foul,personal,['1freethrow'],1628981,,,1610612754,2,0,2024-04-14T17:13:02Z,190000,False,,,0,,B. Fernando shooting personal FOUL (1 PF) (Turner 1 FT),"[1628981, 1626167]",1610612737.0,ATL,shooting,,,Fernando,B. Fernando,,,,,Restricted Area,0-8 Center,,,,,,,,,101283.0,1.0,0.0,Turner,1626167.0,,,,,,,
21,PT11M02.00S,2024-04-14T17:13:16.2Z,1,REGULAR,freethrow,1 of 1,[],1626167,,,1610612754,3,0,2024-04-14T17:13:16Z,210000,False,,,0,,M. Turner Free Throw 1 of 1 (3 PTS),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,Made,,,,,,,,,,,,3.0,,,,,,
22,PT10M50.00S,2024-04-14T17:13:30.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628981,11.777266754270697,49.754901960784316,1610612737,3,0,2024-04-14T17:13:33Z,220000,False,1.0,58.0,1,left,MISS B. Fernando Layup - blocked,"[1628981, 1626167]",1610612737.0,ATL,,,,Fernando,B. Fernando,,,,,In The Paint (Non-RA),0-8 Center,5.82,Missed,Turner,1626167.0,,,,,,,,,,,,,,,,
23,PT10M50.00S,2024-04-14T17:13:30.3Z,1,REGULAR,block,,[],1626167,,,1610612737,3,0,2024-04-14T17:13:32Z,230000,False,,,0,,M. Turner BLOCK (2 BLK),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
24,PT10M47.00S,2024-04-14T17:13:33.3Z,1,REGULAR,rebound,defensive,[],1630174,,,1610612754,3,0,2024-04-14T17:13:33Z,240000,False,,,0,,A. Nesmith REBOUND (Off:0 Def:1),[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,In The Paint (Non-RA),0-8 Center,,,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,
25,PT10M44.00S,2024-04-14T17:13:35.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627783,92.32917214191852,47.05882352941176,1610612754,5,0,2024-04-14T17:13:39Z,250000,False,-15.0,20.0,1,right,P. Siakam running finger roll Layup (2 PTS) (T. Haliburton 2 AST),"[1627783, 1630169]",1610612754.0,IND,running finger roll,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,2.45,Made,,,,,,,,,,,,2.0,T. Haliburton,1630169.0,2.0,,,
28,PT10M25.00S,2024-04-14T17:14:11.5Z,1,REGULAR,3pt,Jump Shot,[],1629631,13.354139290407357,95.83333333333334,1610612737,5,0,2024-04-14T17:14:14Z,280000,False,-229.0,73.0,1,left,MISS D. Hunter 24' 3PT,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Left Corner 3,24+ Left,24.05,Missed,,,,,,,,,,,,,,,,,,
29,PT10M22.00S,2024-04-14T17:14:14.5Z,1,REGULAR,rebound,defensive,[],1630169,,,1610612754,5,0,2024-04-14T17:14:14Z,290000,False,,,0,,T. Haliburton REBOUND (Off:0 Def:1),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Left Corner 3,24+ Left,,,,,28.0,1.0,1.0,0.0,,,,,,,,,,,,
30,PT10M12.00S,2024-04-14T17:14:23.9Z,1,REGULAR,3pt,Jump Shot,[],1626167,67.62483574244416,73.2843137254902,1610612754,8,0,2024-04-14T17:14:28Z,300000,False,116.0,252.0,1,right,M. Turner 27' 3PT  (6 PTS) (T. Haliburton 3 AST),"[1626167, 1630169]",1610612754.0,IND,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Right Center,27.74,Made,,,,,,,,,,,,6.0,T. Haliburton,1630169.0,3.0,,,
33,PT10M09.00S,2024-04-14T17:14:32.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612737,8,0,2024-04-14T17:14:32Z,330000,False,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,PT10M09.00S,2024-04-14T17:17:34.8Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612737,8,0,2024-04-14T17:17:44Z,340000,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,2002.0,,,,,,,,,,,
35,PT09M57.00S,2024-04-14T17:18:00.3Z,1,REGULAR,3pt,Jump Shot,[],1627749,33.327858081471746,47.30392156862745,1610612737,8,0,2024-04-14T17:18:14Z,350000,False,13.0,261.0,1,left,MISS D. Murray 26' 3PT,[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,Above the Break 3,24+ Center,26.11,Missed,,,,,,,,,,,,,,,,,,
36,PT09M53.00S,2024-04-14T17:18:04.3Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,8,0,2024-04-14T17:18:14Z,360000,False,,,0,,M. Turner REBOUND (Off:0 Def:3),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Center,,,,,35.0,3.0,3.0,0.0,,,,,,,,,,,,
37,PT09M48.00S,2024-04-14T17:18:08.7Z,1,REGULAR,turnover,bad pass,[],1630169,,,1610612754,8,0,2024-04-14T17:18:17Z,370000,False,,,0,,T. Haliburton bad pass TURNOVER (1 TO),"[1630169, 1627749]",1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,1.0,Murray,1627749.0
38,PT09M48.00S,2024-04-14T17:18:08.7Z,1,REGULAR,steal,,[],1627749,,,1610612737,8,0,2024-04-14T17:18:10Z,380000,False,,,0,,D. Murray STEAL (1 STL),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
39,PT09M45.00S,2024-04-14T17:18:11.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627749,5.995400788436268,55.392156862745104,1610612737,8,2,2024-04-14T17:18:20Z,390000,False,-27.0,4.0,1,left,D. Murray running Layup (2 PTS),[1627749],1610612737.0,ATL,running,,,Murray,D. Murray,,,,,Restricted Area,0-8 Center,2.73,Made,,,,,,,,,,,,2.0,,,,,,
40,PT09M34.00S,2024-04-14T17:18:22.1Z,1,REGULAR,3pt,Jump Shot,[],1626167,66.17936925098554,50.49019607843137,1610612754,11,2,2024-04-14T17:18:26Z,400000,False,2.0,265.0,1,right,M. Turner 26' 3PT  (9 PTS) (T. Haliburton 4 AST),"[1626167, 1630169]",1610612754.0,IND,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Center,26.54,Made,,,,,,,,,,,,9.0,T. Haliburton,1630169.0,4.0,,,
42,PT09M17.00S,2024-04-14T17:18:39.4Z,1,REGULAR,3pt,Jump Shot,[],203992,9.937582128777924,97.79411764705883,1610612737,11,2,2024-04-14T17:18:42Z,420000,False,-239.0,41.0,1,left,MISS B. Bogdanovic 24' 3PT,[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,Left Corner 3,24+ Left,24.25,Missed,,,,,,,,,,,,,,,,,,
43,PT09M15.00S,2024-04-14T17:18:41.4Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612754,11,2,2024-04-14T17:18:42Z,430000,False,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Left Corner 3,24+ Left,,,,,42.0,1.0,1.0,0.0,,,,,,,,,,,,
44,PT09M06.00S,2024-04-14T17:18:50.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627783,84.97043363994744,57.59803921568627,1610612754,13,2,2024-04-14T17:19:38Z,440000,False,38.0,89.0,1,right,P. Siakam 9' Jump Shot (4 PTS),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),8-16 Center,9.66,Made,,,,,,,,,,,,4.0,,,,,,
45,PT08M49.00S,2024-04-14T17:19:07.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628981,14.799605781865965,50.49019607843137,1610612737,13,4,2024-04-14T17:19:21Z,450000,False,-2.0,87.0,1,left,B. Fernando 8' floating Jump Shot (2 PTS) (D. Murray 1 AST),"[1628981, 1627749]",1610612737.0,ATL,floating,,,Fernando,B. Fernando,,,,,In The Paint (Non-RA),8-16 Center,8.66,Made,,,,,,,,,,,,2.0,D. Murray,1627749.0,1.0,,,
47,PT08M37.00S,2024-04-14T17:19:19.1Z,1,REGULAR,2pt,Jump Shot,[],1626167,80.76544021024968,32.1078431372549,1610612754,15,4,2024-04-14T17:19:25Z,470000,False,-89.0,128.0,1,right,M. Turner 15' Jump Shot (11 PTS) (T. Haliburton 5 AST),"[1626167, 1630169]",1610612754.0,IND,,,,Turner,M. Turner,,,,,Mid-Range,8-16 Left,15.64,Made,,,,,,,,,,,,11.0,T. Haliburton,1630169.0,5.0,,,
49,PT08M22.00S,2024-04-14T17:19:36.6Z,1,REGULAR,foul,offensive,[],1628981,,,1610612737,15,4,2024-04-14T17:19:41Z,490000,False,,,0,,B. Fernando offensive FOUL (2 PF),"[1628981, 1630174]",1610612737.0,ATL,,,,Fernando,B. Fernando,,,,,Mid-Range,8-16 Right,,,,,,,,,1146.0,2.0,0.0,Nesmith,1630174.0,,,,,,,
51,PT08M22.00S,2024-04-14T17:19:36.6Z,1,REGULAR,turnover,offensive foul,[],1628981,,,1610612737,15,4,2024-04-14T17:19:36Z,510000,False,,,0,,B. Fernando offensive foul TURNOVER (1 TO),[1628981],1610612737.0,ATL,,,,Fernando,B. Fernando,,,,,Mid-Range,8-16 Right,,,,,,,,,1146.0,,,,,,,,,1.0,,
52,PT08M13.00S,2024-04-14T17:20:45.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1626167,91.40932982917214,55.88235294117647,1610612754,15,4,2024-04-14T17:20:49Z,520000,False,29.0,28.0,1,right,MISS M. Turner driving Layup,[1626167],1610612754.0,IND,driving,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,4.08,Missed,,,,,,,,,,,,,,,,,,
53,PT08M08.00S,2024-04-14T17:20:50.2Z,1,REGULAR,rebound,offensive,[],1627783,,,1610612754,15,4,2024-04-14T17:20:49Z,530000,False,,,0,,P. Siakam REBOUND (Off:1 Def:1),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,,,,,52.0,2.0,1.0,1.0,,,,,,,,,,,,
54,PT08M08.00S,2024-04-14T17:20:48.4Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint', 'fromturnover']",1627783,94.40999984741211,50.0,1610612754,17,4,2024-04-14T17:20:51Z,540000,False,0.0,0.0,1,right,P. Siakam tip DUNK (6 PTS),[1627783],1610612754.0,IND,tip,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,,,,,,,,6.0,,,,,,
55,PT07M57.00S,2024-04-14T17:21:02.1Z,1,REGULAR,foul,personal,['2freethrow'],1626167,,,1610612737,17,4,2024-04-14T17:21:08Z,550000,False,,,0,,M. Turner shooting personal FOUL (1 PF) (Fernando 2 FT),"[1626167, 1628981]",1610612754.0,IND,shooting,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,,,,,,,,,101283.0,1.0,0.0,Fernando,1628981.0,,,,,,,
57,PT07M57.00S,2024-04-14T17:21:30.1Z,1,REGULAR,freethrow,1 of 2,[],1628981,,,1610612737,17,5,2024-04-14T17:21:30Z,570000,False,,,0,,B. Fernando Free Throw 1 of 2 (3 PTS),[1628981],1610612737.0,ATL,,,,Fernando,B. Fernando,,,,,,,,Made,,,,,,,,,,,,3.0,,,,,,
