actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-11-25T01:10:38.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-25T01:10:38Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2023-11-25T01:10:40.0Z,1,REGULAR,jumpball,recovered,[],1630169,,,1610612754,0,0,2023-11-25T01:10:40Z,40000,False,,,0,,Jump Ball M. Turner vs. M. Bagley III: Tip to T. Haliburton,"[1630169, 1626167, 1628963]",1610612754.0,IND,startperiod,T. Haliburton,1630169.0,Haliburton,T. Haliburton,Turner,1626167.0,Bagley III,1628963.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2023-11-25T01:10:58.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1626167,14.4053876478318,45.588235294117645,1610612754,2,0,2023-11-25T01:11:38Z,70000,False,22.0,83.0,1,left,M. Turner 8' turnaround Hook (2 PTS),[1626167],1610612754.0,IND,turnaround,,,Turner,M. Turner,,,,,In The Paint (Non-RA),8-16 Center,8.58,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M18.00S,2023-11-25T01:11:18.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630595,88.38699080157687,52.69607843137255,1610612765,2,0,2023-11-25T01:11:23Z,80000,False,13.0,57.0,1,right,MISS C. Cunningham pullup Shot,[1630595],1610612765.0,DET,pullup,,,Cunningham,C. Cunningham,,,,,In The Paint (Non-RA),0-8 Center,5.83,Missed,,,,,,,,,,,,,,,,,,
9,PT11M16.00S,2023-11-25T01:11:20.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612754,2,0,2023-11-25T01:11:23Z,90000,False,,,0,,TEAM defensive REBOUND,[],1610612754.0,IND,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,8.0,,,,,,,,,,,,,,,,
11,PT11M09.00S,2023-11-25T01:11:32.4Z,1,REGULAR,3pt,Jump Shot,[],1626167,32.276609724047304,42.64705882352941,1610612754,2,0,2023-11-25T01:11:38Z,110000,False,37.0,251.0,1,left,MISS M. Turner 25' 3PT,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Center,25.36,Missed,,,,,,,,,,,,,,,,,,
12,PT11M04.00S,2023-11-25T01:11:37.4Z,1,REGULAR,rebound,defensive,[],1641709,,,1610612765,2,0,2023-11-25T01:11:38Z,120000,False,,,0,,A. Thompson REBOUND (Off:0 Def:1),[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,Above the Break 3,24+ Center,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,
13,PT10M44.00S,2023-11-25T01:11:56.9Z,1,REGULAR,2pt,Jump Shot,[],1641709,76.82325886990802,52.20588235294118,1610612765,2,0,2023-11-25T01:12:00Z,130000,False,11.0,165.0,1,right,MISS A. Thompson 16' pullup Shot,[1641709],1610612765.0,DET,pullup,,,Thompson,A. Thompson,,,,,Mid-Range,16-24 Center,16.58,Missed,,,,,,,,,,,,,,,,,,
14,PT10M41.00S,2023-11-25T01:11:59.9Z,1,REGULAR,rebound,defensive,[],1627741,,,1610612754,2,0,2023-11-25T01:12:00Z,140000,False,,,0,,B. Hield REBOUND (Off:0 Def:1),[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,Mid-Range,16-24 Center,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,
15,PT10M22.00S,2023-11-25T01:12:18.5Z,1,REGULAR,3pt,Jump Shot,[],1626167,29.6484888304862,71.81372549019608,1610612754,5,0,2023-11-25T01:12:23Z,150000,False,-109.0,226.0,1,left,M. Turner 25' 3PT  (5 PTS) (T. Haliburton 1 AST),"[1626167, 1630169]",1610612754.0,IND,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Left Center,25.11,Made,5.0,,,,,T. Haliburton,1630169.0,1.0,,,,,,,,,,
17,PT10M03.00S,2023-11-25T01:12:36.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1641709,93.11760840998686,47.05882352941176,1610612765,5,2,2023-11-25T01:12:40Z,170000,False,-15.0,12.0,1,right,A. Thompson driving DUNK (2 PTS) (J. Ivey 1 AST),"[1641709, 1631093]",1610612765.0,DET,driving,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,1.91,Made,2.0,,,,,J. Ivey,1631093.0,1.0,,,,,,,,,,
19,PT09M52.00S,2023-11-25T01:12:48.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628971,13.485545335085414,52.450980392156865,1610612754,5,2,2023-11-25T01:12:52Z,190000,False,-12.0,74.0,1,left,MISS B. Brown 7' driving floating Shot,[1628971],1610612754.0,IND,driving floating,,,Brown,B. Brown,,,,,In The Paint (Non-RA),0-8 Center,7.53,Missed,,,,,,,,,,,,,,,,,,
20,PT09M50.00S,2023-11-25T01:12:50.4Z,1,REGULAR,rebound,defensive,[],1641709,,,1610612765,5,2,2023-11-25T01:12:52Z,200000,False,,,0,,A. Thompson REBOUND (Off:0 Def:2),[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,In The Paint (Non-RA),0-8 Center,,,,19.0,2.0,2.0,0.0,,,,,,,,,,,,,
21,PT09M45.00S,2023-11-25T01:12:55.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630191,92.32917214191852,53.92156862745098,1610612765,5,4,2023-11-25T01:13:00Z,210000,False,20.0,20.0,1,right,I. Stewart running Layup (2 PTS) (A. Thompson 1 AST),"[1630191, 1641709]",1610612765.0,DET,running,,,Stewart,I. Stewart,,,,,Restricted Area,0-8 Center,2.77,Made,2.0,,,,,A. Thompson,1641709.0,1.0,,,,,,,,,,
23,PT09M34.00S,2023-11-25T01:13:08.9Z,1,REGULAR,foul,personal,['2freethrow'],1641709,,,1610612754,5,4,2023-11-25T01:13:16Z,230000,False,,,0,,A. Thompson shooting personal FOUL (1 PF) (Turner 2 FT),"[1641709, 1626167]",1610612765.0,DET,shooting,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1627963.0,1.0,0.0,Turner,1626167.0,,,,,
