actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-03-13T23:40:58.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-13T23:40:58Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-03-13T23:41:00.1Z,1,REGULAR,jumpball,recovered,[],1629614,,,1610612754,0,0,2024-03-13T23:41:00Z,40000,False,,,0,,Jump Ball M. Turner vs. N. Vucevic: Tip to A. Nembhard,"[1629614, 1626167, 202696]",1610612754.0,IND,startperiod,A. Nembhard,1629614.0,Nembhard,A. Nembhard,Turner,1626167.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M56.00S,2024-03-13T23:41:02.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629614,5.075558475689881,55.392156862745104,1610612754,0,0,2024-03-13T23:41:05Z,70000,False,-27.0,-5.0,1,left,MISS A. Nembhard driving Layup,[1629614],1610612754.0,IND,driving,,,Nembhard,A. Nembhard,,,,,Restricted Area,0-8 Center,2.74,Missed,,,,,,,,,,,,,,,,,,
8,PT11M53.00S,2024-03-13T23:41:05.3Z,1,REGULAR,rebound,offensive,[],1629614,,,1610612754,0,0,2024-03-13T23:41:05Z,80000,False,,,0,,A. Nembhard REBOUND (Off:1 Def:0),[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,Restricted Area,0-8 Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M53.00S,2024-03-13T23:41:04.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629614,5.590000152587891,50.0,1610612754,2,0,2024-03-13T23:41:04Z,90000,False,0.0,0.0,1,left,A. Nembhard tip Layup (2 PTS),[1629614],1610612754.0,IND,tip,,,Nembhard,A. Nembhard,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M36.00S,2024-03-13T23:41:20.7Z,1,REGULAR,3pt,Jump Shot,[],202696,78.53153745072274,9.803921568627452,1610612741,2,0,2024-03-13T23:41:28Z,100000,False,-201.0,149.0,1,right,MISS N. Vucevic 25' 3PT,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Above the Break 3,24+ Left Center,25.04,Missed,,,,,,,,,,,,,,,,,,
11,PT11M32.00S,2024-03-13T23:41:24.7Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612754,2,0,2024-03-13T23:41:28Z,110000,False,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Left Center,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M23.00S,2024-03-13T23:41:33.6Z,1,REGULAR,turnover,bad pass,[],1630169,,,1610612754,2,0,2024-03-13T23:41:36Z,120000,False,,,0,,T. Haliburton bad pass TURNOVER (1 TO),"[1630169, 202696]",1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Center,,,,,,,,1.0,Vucevic,202696.0,,,,,,,,,,
13,PT11M23.00S,2024-03-13T23:41:33.6Z,1,REGULAR,steal,,[],202696,,,1610612741,2,0,2024-03-13T23:41:35Z,130000,False,,,0,,N. Vucevic STEAL (1 STL),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
14,PT11M20.00S,2024-03-13T23:41:38.5Z,1,REGULAR,foul,personal,['2freethrow'],1630174,,,1610612741,2,0,2024-03-13T23:41:45Z,140000,False,,,0,,A. Nesmith shooting personal FOUL (1 PF) (Dosunmu 2 FT),"[1630174, 1630245]",1610612754.0,IND,shooting,,,Nesmith,A. Nesmith,,,,,Restricted Area,0-8 Center,,,,,,,,,,,203591.0,1.0,0.0,Dosunmu,1630245.0,,,,,
