actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-02-23T00:10:24.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-02-23T00:10:24Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-02-23T00:10:27.1Z,1,REGULAR,jumpball,recovered,[],1631097,,,1610612754,0,0,2024-02-23T00:10:27Z,40000,False,,,0,,Jump Ball M. Turner vs. J. Duren: Tip to B. Mathurin,"[1631097, 1626167, 1631105]",1610612754.0,IND,startperiod,B. Mathurin,1631097.0,Mathurin,B. Mathurin,Turner,1626167.0,Duren,1631105.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2024-02-23T00:10:43.8Z,1,REGULAR,3pt,Jump Shot,[],1627783,32.14520367936925,40.44117647058824,1610612754,3,0,2024-02-23T00:10:48Z,70000,False,48.0,250.0,1,left,P. Siakam 25' 3PT  (3 PTS) (T. Haliburton 1 AST),"[1627783, 1630169]",1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Center,25.42,Made,3.0,T. Haliburton,1630169.0,1.0,,,,,,,,,,,,,,
9,PT11M24.00S,2024-02-23T00:10:59.6Z,1,REGULAR,turnover,bad pass,[],1631105,,,1610612765,3,0,2024-02-23T00:11:02Z,90000,False,,,0,,J. Duren bad pass TURNOVER (1 TO),"[1631105, 1626167]",1610612765.0,DET,,,,Duren,J. Duren,,,,,Above the Break 3,24+ Center,,,,,,,1.0,Turner,1626167.0,,,,,,,,,,,
10,PT11M24.00S,2024-02-23T00:10:59.6Z,1,REGULAR,steal,,[],1626167,,,1610612754,3,0,2024-02-23T00:11:01Z,100000,False,,,0,,M. Turner STEAL (1 STL),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
11,PT11M20.00S,2024-02-23T00:11:04.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627783,6.652431011826544,47.549019607843135,1610612754,5,0,2024-02-23T00:11:08Z,110000,False,12.0,10.0,1,left,P. Siakam running finger roll Layup (5 PTS) (T. Haliburton 2 AST),"[1627783, 1630169]",1610612754.0,IND,running finger roll,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,1.59,Made,5.0,T. Haliburton,1630169.0,2.0,,,,,,,,,,,,,,
13,PT11M07.00S,2024-02-23T00:11:17.6Z,1,REGULAR,turnover,bad pass,[],1631093,,,1610612765,5,0,2024-02-23T00:11:20Z,130000,False,,,0,,J. Ivey bad pass TURNOVER (1 TO),"[1631093, 1630169]",1610612765.0,DET,,,,Ivey,J. Ivey,,,,,Above the Break 3,24+ Left Center,,,,,,,1.0,Haliburton,1630169.0,,,,,,,,,,,
14,PT11M07.00S,2024-02-23T00:11:17.6Z,1,REGULAR,steal,,[],1630169,,,1610612754,5,0,2024-02-23T00:11:19Z,140000,False,,,0,,T. Haliburton STEAL (1 STL),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
16,PT10M56.00S,2024-02-23T00:11:27.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1626167,18.610381077529567,36.029411764705884,1610612754,7,0,2024-02-23T00:11:32Z,160000,False,70.0,122.0,1,left,M. Turner 14' Jump Shot (2 PTS) (T. Haliburton 3 AST),"[1626167, 1630169]",1610612754.0,IND,,,,Turner,M. Turner,,,,,In The Paint (Non-RA),8-16 Center,14.1,Made,2.0,T. Haliburton,1630169.0,3.0,,,,,,,,,,,,,,
18,PT10M40.00S,2024-02-23T00:11:44.3Z,1,REGULAR,2pt,Jump Shot,[],1630595,91.93495400788436,68.62745098039215,1610612765,7,2,2024-02-23T00:11:48Z,180000,False,93.0,23.0,1,right,C. Cunningham 9' fadeaway Jump Shot (2 PTS),[1630595],1610612765.0,DET,fadeaway,,,Cunningham,C. Cunningham,,,,,Mid-Range,8-16 Right,9.6,Made,2.0,,,,,,,,,,,,,,,,,
19,PT10M19.00S,2024-02-23T00:12:04.9Z,1,REGULAR,3pt,Jump Shot,[],1629614,12.959921156373195,3.1862745098039214,1610612754,7,2,2024-02-23T00:12:09Z,190000,False,234.0,69.0,1,left,MISS A. Nembhard 24' 3PT,[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,Right Corner 3,24+ Right,24.41,Missed,,,,,,,,,,,,,,,,,,
