actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-04-05T23:10:37.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-04-05T23:10:37Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-04-05T23:10:38.7Z,1,REGULAR,jumpball,recovered,[],1630581,,,1610612760,0,0,2024-04-05T23:10:38Z,40000,False,,,0,,Jump Ball C. Holmgren vs. M. Turner: Tip to J. Giddey,"[1630581, 1631096, 1626167]",1610612760.0,OKC,startperiod,J. Giddey,1630581.0,Giddey,J. Giddey,Holmgren,1631096.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2024-04-05T23:10:55.0Z,1,REGULAR,3pt,Jump Shot,[],1629652,30.56833114323259,30.637254901960787,1610612760,0,0,2024-04-05T23:11:00Z,70000,False,97.0,235.0,1,left,MISS L. Dort 25' 3PT,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Right Center,25.4,Missed,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2024-04-05T23:10:59.0Z,1,REGULAR,rebound,defensive,[],1630174,,,1610612754,0,0,2024-04-05T23:11:00Z,80000,False,,,0,,A. Nesmith REBOUND (Off:0 Def:1),[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M25.00S,2024-04-05T23:11:10.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626167,90.75229960578186,47.549019607843135,1610612754,0,0,2024-04-05T23:11:15Z,90000,False,-12.0,34.0,1,right,MISS M. Turner Layup,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,3.65,Missed,,,,,,,,,,,,,,,,,,
10,PT11M22.00S,2024-04-05T23:11:13.8Z,1,REGULAR,rebound,offensive,[],1627783,,,1610612754,0,0,2024-04-05T23:11:15Z,100000,False,,,0,,P. Siakam REBOUND (Off:1 Def:0),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,
11,PT11M16.00S,2024-04-05T23:11:20.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627783,92.72339027595268,56.127450980392155,1610612754,2,0,2024-04-05T23:11:24Z,110000,False,31.0,16.0,1,right,P. Siakam Layup (2 PTS),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,3.45,Made,,,,,2.0,,,,,,,,,,,,,
12,PT11M00.00S,2024-04-05T23:11:40.4Z,1,REGULAR,foul,personal,['2freethrow'],1626167,,,1610612760,2,0,2024-04-05T23:11:44Z,120000,False,,,0,,M. Turner shooting personal FOUL (1 PF) (Holmgren 2 FT),"[1626167, 1631096]",1610612754.0,IND,shooting,,,Turner,M. Turner,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,203593.0,1.0,0.0,Holmgren,1631096.0,,,,,,,,
14,PT11M00.00S,2024-04-05T23:12:02.3Z,1,REGULAR,freethrow,1 of 2,[],1631096,,,1610612760,2,1,2024-04-05T23:12:02Z,140000,False,,,0,,C. Holmgren Free Throw 1 of 2 (1 PTS),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
15,PT11M00.00S,2024-04-05T23:12:20.1Z,1,REGULAR,freethrow,2 of 2,[],1631096,,,1610612760,2,2,2024-04-05T23:12:20Z,150000,False,,,0,,C. Holmgren Free Throw 2 of 2 (2 PTS),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
