actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
15,PT10M28.00S,2023-11-19T22:12:08.6Z,1,REGULAR,turnover,bad pass,[],1628971,,,1610612754,0,2,2023-11-19T22:12:14Z,150000,False,,,0,,B. Brown bad pass TURNOVER (1 TO),"[1628971, 1630532]",1610612754.0,IND,,,,Brown,B. Brown,,,,,Above the Break 3,24+ Left Center,,,,,,,,1.0,,Wagner,1630532.0,,,,,,,,,
16,PT10M28.00S,2023-11-19T22:12:08.6Z,1,REGULAR,steal,,[],1630532,,,1610612753,0,2,2023-11-19T22:12:10Z,160000,False,,,0,,F. Wagner STEAL (1 STL),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
17,PT10M24.00S,2023-11-19T22:12:12.9Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1641710,33.590670170827856,48.529411764705884,1610612753,0,2,2023-11-19T22:12:32Z,170000,False,7.0,263.0,1,left,MISS A. Black 26' running pullup 3PT,[1641710],1610612753.0,ORL,running pullup,,,Black,A. Black,,,,,Above the Break 3,24+ Center,26.34,Missed,,,,,,,,,,,,,,,,,,
18,PT10M19.00S,2023-11-19T22:12:17.9Z,1,REGULAR,rebound,offensive,[],1630591,,,1610612753,0,2,2023-11-19T22:12:18Z,180000,False,,,0,,J. Suggs REBOUND (Off:1 Def:0),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Above the Break 3,24+ Center,,,17.0,1.0,0.0,1.0,,,,,,,,,,,,,,
19,PT10M19.00S,2023-11-19T22:12:17.3Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint', 'fromturnover']",1630591,5.590000152587891,50.0,1610612753,0,4,2023-11-19T22:12:22Z,190000,False,0.0,0.0,1,left,J. Suggs tip Layup (2 PTS),[1630591],1610612753.0,ORL,tip,,,Suggs,J. Suggs,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,,,2.0,,,,,,,,,,,
20,PT10M04.00S,2023-11-19T22:12:33.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631097,94.30026281208936,53.67647058823529,1610612754,0,4,2023-11-19T22:12:41Z,200000,False,18.0,1.0,1,right,MISS B. Mathurin driving Layup - blocked,"[1631097, 1641710]",1610612754.0,IND,driving,,,Mathurin,B. Mathurin,,,,,Restricted Area,0-8 Center,1.84,Missed,,,,,,,,,,Black,1641710.0,,,,,,,
21,PT10M04.00S,2023-11-19T22:12:33.3Z,1,REGULAR,block,,[],1641710,,,1610612754,0,4,2023-11-19T22:12:35Z,210000,False,,,0,,A. Black BLOCK (1 BLK),[1641710],1610612753.0,ORL,,,,Black,A. Black,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
22,PT10M04.00S,2023-11-19T22:12:33.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612754,0,4,2023-11-19T22:12:41Z,220000,False,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,Restricted Area,0-8 Center,,,20.0,,,,,,,,,,,,,,,,,
24,PT09M54.00S,2023-11-19T22:12:58.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630167,76.16622864651774,10.294117647058822,1610612754,0,4,2023-11-19T22:13:02Z,240000,False,-199.0,172.0,1,right,MISS O. Toppin 26' 3PT,[1630167],1610612754.0,IND,,,,Toppin,O. Toppin,,,,,Above the Break 3,24+ Left Center,26.23,Missed,,,,,,,,,,,,,,,,,,
25,PT09M52.00S,2023-11-19T22:13:01.1Z,1,REGULAR,rebound,defensive,[],1629048,,,1610612753,0,4,2023-11-19T22:13:01Z,250000,False,,,0,,G. Bitadze REBOUND (Off:0 Def:1),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,Above the Break 3,24+ Left Center,,,24.0,1.0,1.0,0.0,,,,,,,,,,,,,,
26,PT09M48.00S,2023-11-19T22:13:05.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630591,5.469776609724048,52.450980392156865,1610612753,0,6,2023-11-19T22:13:12Z,260000,False,-12.0,-1.0,1,left,J. Suggs running finger roll Layup (4 PTS),[1630591],1610612753.0,ORL,running finger roll,,,Suggs,J. Suggs,,,,,Restricted Area,0-8 Center,1.23,Made,,,,,,,4.0,,,,,,,,,,,
27,PT09M46.00S,2023-11-19T22:13:09.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,0,6,2023-11-19T22:13:09Z,270000,False,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,PT09M26.00S,2023-11-19T22:16:27.6Z,1,REGULAR,3pt,Jump Shot,[],1630169,66.83639947437582,46.568627450980394,1610612754,0,6,2023-11-19T22:16:34Z,280000,False,-17.0,259.0,1,right,MISS T. Haliburton 25' 3PT,[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Center,25.98,Missed,,,,,,,,,,,,,,,,,,
29,PT09M22.00S,2023-11-19T22:16:31.6Z,1,REGULAR,rebound,defensive,[],1629048,,,1610612753,0,6,2023-11-19T22:16:34Z,290000,False,,,0,,G. Bitadze REBOUND (Off:0 Def:2),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,Above the Break 3,24+ Center,,,28.0,2.0,2.0,0.0,,,,,,,,,,,,,,
30,PT09M11.00S,2023-11-19T22:16:42.0Z,1,REGULAR,3pt,Jump Shot,[],1630591,33.722076215505915,30.88235294117647,1610612753,0,9,2023-11-19T22:16:47Z,300000,False,96.0,264.0,1,left,J. Suggs 28' 3PT  (7 PTS) (G. Bitadze 1 AST),"[1630591, 1629048]",1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Above the Break 3,24+ Right Center,28.12,Made,,,,,,,7.0,,,,,G. Bitadze,1629048.0,1.0,,,,
