actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-10-25T23:13:48.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-10-25T23:13:48Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2023-10-25T23:13:50.8Z,1,REGULAR,jumpball,recovered,[],1630167,,,1610612754,0,0,2023-10-25T23:13:50Z,40000,False,,,0,,Jump Ball M. Turner vs. D. Gafford: Tip to O. Toppin,"[1630167, 1626167, 1629655]",1610612754.0,IND,startperiod,O. Toppin,1630167.0,Toppin,O. Toppin,Turner,1626167.0,Gafford,1629655.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2023-10-25T23:14:03.5Z,1,REGULAR,turnover,lost ball,[],1630169,,,1610612754,0,0,2023-10-25T23:14:10Z,70000,False,,,0,,T. Haliburton lost ball TURNOVER (1 TO),"[1630169, 1626145]",1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Mid-Range,16-24 Right,1.0,Jones,1626145.0,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2023-10-25T23:14:03.5Z,1,REGULAR,steal,,[],1626145,,,1610612764,0,0,2023-10-25T23:14:05Z,80000,False,,,0,,T. Jones STEAL (1 STL),[1626145],1610612764.0,WAS,,,,Jones,T. Jones,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,,,,,,,
9,PT11M41.00S,2023-10-25T23:14:06.8Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1629673,74.85216819973719,12.5,1610612764,0,0,2023-10-25T23:14:13Z,90000,False,-188.0,184.0,1,right,MISS J. Poole 26' running 3PT,[1629673],1610612764.0,WAS,running,,,Poole,J. Poole,,,,,Above the Break 3,24+ Left Center,,,,26.26,Missed,,,,,,,,,,,,,,,
10,PT11M38.00S,2023-10-25T23:14:10.8Z,1,REGULAR,rebound,offensive,[],1630166,,,1610612764,0,0,2023-10-25T23:14:10Z,100000,False,,,0,,D. Avdija REBOUND (Off:1 Def:0),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Left Center,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,,
11,PT11M36.00S,2023-10-25T23:14:11.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1630166,93.38042049934296,49.01960784313725,1610612764,0,0,2023-10-25T23:14:18Z,110000,False,-5.0,10.0,1,right,MISS D. Avdija putback Layup,[1630166],1610612764.0,WAS,putback,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,,,,1.09,Missed,,,,,,,,,,,,,,,
12,PT11M36.00S,2023-10-25T23:14:11.8Z,1,REGULAR,rebound,offensive,[],1629655,,,1610612764,0,0,2023-10-25T23:14:18Z,120000,False,,,0,,D. Gafford REBOUND (Off:1 Def:0),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,Restricted Area,0-8 Center,,,,,,11.0,1.0,0.0,1.0,,,,,,,,,,,
13,PT11M36.00S,2023-10-25T23:14:16.8Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint', 'fromturnover']",1629655,94.40999984741211,50.0,1610612764,0,2,2023-10-25T23:14:46Z,130000,False,0.0,0.0,1,right,D. Gafford tip DUNK (2 PTS),[1629655],1610612764.0,WAS,tip,,,Gafford,D. Gafford,,,,,Restricted Area,0-8 Center,,,,0.0,Made,,,,,2.0,,,,,,,,,,
15,PT11M29.00S,2023-10-25T23:15:12.1Z,1,REGULAR,2pt,Jump Shot,[],1630169,19.398817345597898,27.205882352941174,1610612754,2,2,2023-10-25T23:15:16Z,150000,False,114.0,130.0,1,left,T. Haliburton 17' pullup Jump Shot (2 PTS),[1630169],1610612754.0,IND,pullup,,,Haliburton,T. Haliburton,,,,,Mid-Range,16-24 Right Center,,,,17.28,Made,,,,,2.0,,,,,,,,,,
