actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-04-07T21:10:30.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-04-07T21:10:30Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-04-07T21:10:33.6Z,1,REGULAR,jumpball,recovered,[],202710,,,1610612748,0,0,2024-04-07T21:10:33Z,40000,False,,,0,,Jump Ball B. Adebayo vs. M. Turner: Tip to J. Butler,"[202710, 1628389, 1626167]",1610612748.0,MIA,startperiod,J. Butler,202710.0,Butler,J. Butler,Adebayo,1628389.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2024-04-07T21:10:46.4Z,1,REGULAR,3pt,Jump Shot,[],1629130,30.56833114323259,69.11764705882352,1610612748,0,0,2024-04-07T21:10:51Z,70000,False,-96.0,235.0,1,left,MISS D. Robinson 25' 3PT,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,Above the Break 3,24+ Left Center,25.35,Missed,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2024-04-07T21:10:48.4Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612754,0,0,2024-04-07T21:11:09Z,80000,False,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M34.00S,2024-04-07T21:10:56.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627783,80.23981603153744,49.50980392156863,1610612754,0,0,2024-04-07T21:11:02Z,90000,False,-2.0,133.0,1,right,MISS P. Siakam 13' pullup Shot,[1627783],1610612754.0,IND,pullup,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),8-16 Center,13.32,Missed,,,,,,,,,,,,,,,,,,
10,PT11M31.00S,2024-04-07T21:10:59.5Z,1,REGULAR,rebound,defensive,[],1631107,,,1610612748,0,0,2024-04-07T21:11:02Z,100000,False,,,0,,N. Jovic REBOUND (Off:0 Def:1),[1631107],1610612748.0,MIA,,,,Jovic,N. Jovic,,,,,In The Paint (Non-RA),8-16 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M24.00S,2024-04-07T21:11:06.2Z,1,REGULAR,3pt,Jump Shot,[],1631107,7.703679369250986,5.392156862745098,1610612748,0,0,2024-04-07T21:11:11Z,110000,False,223.0,20.0,1,left,MISS N. Jovic 3PT,[1631107],1610612748.0,MIA,,,,Jovic,N. Jovic,,,,,Right Corner 3,24+ Right,22.39,Missed,,,,,,,,,,,,,,,,,,
12,PT11M21.00S,2024-04-07T21:11:09.2Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,0,0,2024-04-07T21:11:11Z,120000,False,,,0,,M. Turner REBOUND (Off:0 Def:1),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Right Corner 3,24+ Right,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT11M07.00S,2024-04-07T21:11:24.3Z,1,REGULAR,turnover,discontinued dribble,[],1630169,,,1610612754,0,0,2024-04-07T21:11:28Z,130000,False,,,0,,T. Haliburton discontinued dribble TURNOVER (1 TO),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1162.0,1.0,,,,,,,,,,,,
14,PT10M55.00S,2024-04-07T21:11:50.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",202710,6.521024967148489,45.34313725490196,1610612748,0,2,2024-04-07T21:11:58Z,140000,False,23.0,9.0,1,left,J. Butler cutting Layup (2 PTS) (B. Adebayo 1 AST),"[202710, 1628389]",1610612748.0,MIA,cutting,,,Butler,J. Butler,,,,,Restricted Area,0-8 Center,2.49,Made,,,,,,,2.0,B. Adebayo,1628389.0,1.0,,,,,,,,
16,PT10M33.00S,2024-04-07T21:12:12.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629614,92.59198423127464,56.86274509803921,1610612754,2,2,2024-04-07T21:12:15Z,160000,False,34.0,17.0,1,right,A. Nembhard driving finger roll Layup (2 PTS),[1629614],1610612754.0,IND,driving finger roll,,,Nembhard,A. Nembhard,,,,,Restricted Area,0-8 Center,3.83,Made,,,,,,,2.0,,,,,,,,,,,
17,PT10M24.00S,2024-04-07T21:12:21.1Z,1,REGULAR,3pt,Jump Shot,[],1629130,28.991458607095925,76.9607843137255,1610612748,2,2,2024-04-07T21:12:25Z,170000,False,-135.0,220.0,1,left,MISS D. Robinson 25' pullup 3PT,[1629130],1610612748.0,MIA,pullup,,,Robinson,D. Robinson,,,,,Above the Break 3,24+ Left Center,25.8,Missed,,,,,,,,,,,,,,,,,,
