actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-11-09T00:10:31.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-09T00:10:31Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2023-11-09T00:10:33.9Z,1,REGULAR,jumpball,recovered,[],1630167,,,1610612754,0,0,2023-11-09T00:10:33Z,40000,False,,,0,,Jump Ball M. Turner vs. J. Collins: Tip to O. Toppin,"[1630167, 1626167, 1628381]",1610612754.0,IND,startperiod,O. Toppin,1630167.0,Toppin,O. Toppin,Turner,1626167.0,Collins,1628381.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2023-11-09T00:10:52.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626167,8.623521681997373,46.568627450980394,1610612754,0,0,2023-11-09T00:10:56Z,70000,False,17.0,29.0,1,left,MISS M. Turner cutting finger roll Layup,[1626167],1610612754.0,IND,cutting finger roll,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,3.34,Missed,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2023-11-09T00:10:55.1Z,1,REGULAR,rebound,defensive,[],1630534,,,1610612762,0,0,2023-11-09T00:10:56Z,80000,False,,,0,,O. Agbaji REBOUND (Off:0 Def:1),[1630534],1610612762.0,UTA,,,,Agbaji,O. Agbaji,,,,,Restricted Area,0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M21.00S,2023-11-09T00:11:09.4Z,1,REGULAR,turnover,bad pass,[],1630534,,,1610612762,0,0,2023-11-09T00:11:13Z,90000,False,,,0,,O. Agbaji bad pass TURNOVER (1 TO),"[1630534, 1630167]",1610612762.0,UTA,,,,Agbaji,O. Agbaji,,,,,Mid-Range,24+ Center,,,,,,,1.0,Toppin,1630167.0,,,,,,,,,,,
10,PT11M21.00S,2023-11-09T00:11:09.4Z,1,REGULAR,steal,,[],1630167,,,1610612754,0,0,2023-11-09T00:11:11Z,100000,False,,,0,,O. Toppin STEAL (1 STL),[1630167],1610612754.0,IND,,,,Toppin,O. Toppin,,,,,Mid-Range,24+ Center,,,,,,,,,,,,,,,,,,,,
11,PT11M18.00S,2023-11-09T00:11:12.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630167,7.178055190538765,49.01960784313725,1610612754,2,0,2023-11-09T00:11:17Z,110000,False,5.0,15.0,1,left,O. Toppin running DUNK (2 PTS),[1630167],1610612754.0,IND,running,,,Toppin,O. Toppin,,,,,Restricted Area,0-8 Center,1.58,Made,,,,,,,,2.0,,,,,,,,,,
12,PT11M03.00S,2023-11-09T00:11:28.7Z,1,REGULAR,3pt,Jump Shot,[],1641718,66.83639947437582,60.78431372549019,1610612762,2,0,2023-11-09T00:11:35Z,120000,False,54.0,259.0,1,right,MISS K. George 26' pullup 3PT,[1641718],1610612762.0,UTA,pullup,,,George,K. George,,,,,Above the Break 3,24+ Center,26.47,Missed,,,,,,,,,,,,,,,,,,
13,PT10M59.00S,2023-11-09T00:11:32.7Z,1,REGULAR,rebound,defensive,[],1628971,,,1610612754,2,0,2023-11-09T00:16:45Z,130000,False,,,0,,B. Brown REBOUND (Off:0 Def:1),[1628971],1610612754.0,IND,,,,Brown,B. Brown,,,,,Above the Break 3,24+ Center,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT10M53.00S,2023-11-09T00:11:37.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628971,7.046649145860711,51.470588235294116,1610612754,2,0,2023-11-09T00:11:43Z,140000,False,-7.0,14.0,1,left,MISS B. Brown running finger roll Layup,[1628971],1610612754.0,IND,running finger roll,,,Brown,B. Brown,,,,,Restricted Area,0-8 Center,1.56,Missed,,,,,,,,,,,,,,,,,,
