actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-03-18T23:10:19.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-18T23:10:19Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-03-18T23:10:21.8Z,1,REGULAR,jumpball,recovered,[],1629636,,,1610612739,0,0,2024-03-18T23:10:21Z,40000,False,,,0,,Jump Ball J. Allen vs. M. Turner: Tip to D. Garland,"[1629636, 1628386, 1626167]",1610612739.0,CLE,startperiod,D. Garland,1629636.0,Garland,D. Garland,Allen,1628386.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2024-03-18T23:10:37.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627777,7.440867279894875,47.30392156862745,1610612739,0,2,2024-03-18T23:10:43Z,70000,False,13.0,17.0,1,left,G. Niang driving Layup (2 PTS) (I. Okoro 1 AST),"[1627777, 1630171]",1610612739.0,CLE,driving,,,Niang,G. Niang,,,,,Restricted Area,0-8 Center,2.2,Made,2.0,I. Okoro,1630171.0,1.0,,,,,,,,,,,,,,
9,PT11M19.00S,2024-03-18T23:11:00.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627783,89.17542706964521,53.431372549019606,1610612754,0,2,2024-03-18T23:11:08Z,90000,False,17.0,49.0,1,right,MISS P. Siakam driving floating Shot - blocked,"[1627783, 1628386]",1610612754.0,IND,driving floating,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),0-8 Center,5.22,Missed,,,,,Allen,1628386.0,,,,,,,,,,,,
10,PT11M19.00S,2024-03-18T23:11:00.2Z,1,REGULAR,block,,[],1628386,,,1610612754,0,2,2024-03-18T23:11:02Z,100000,False,,,0,,J. Allen BLOCK (1 BLK),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M12.00S,2024-03-18T23:11:07.2Z,1,REGULAR,rebound,offensive,[],1627783,,,1610612754,0,2,2024-03-18T23:11:08Z,110000,False,,,0,,P. Siakam REBOUND (Off:1 Def:0),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,
12,PT11M12.00S,2024-03-18T23:11:07.9Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1627783,94.40999984741211,50.0,1610612754,0,2,2024-03-18T23:11:43Z,120000,False,0.0,0.0,1,right,MISS P. Siakam putback Layup,[1627783],1610612754.0,IND,putback,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
13,PT11M11.00S,2024-03-18T23:11:08.9Z,1,REGULAR,rebound,defensive,[],1627747,,,1610612739,0,2,2024-03-18T23:11:16Z,130000,False,,,0,,C. LeVert REBOUND (Off:0 Def:1),[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,Restricted Area,0-8 Center,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,
14,PT11M09.00S,2024-03-18T23:11:11.0Z,1,REGULAR,turnover,lost ball,[],1627777,,,1610612739,0,2,2024-03-18T23:11:55Z,140000,False,,,0,,G. Niang lost ball TURNOVER (1 TO),"[1627777, 1629614]",1610612739.0,CLE,,,,Niang,G. Niang,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,1.0,Nembhard,1629614.0,,,,,
15,PT11M09.00S,2024-03-18T23:11:11.0Z,1,REGULAR,steal,,[],1629614,,,1610612754,0,2,2024-03-18T23:11:12Z,150000,False,,,0,,A. Nembhard STEAL (1 STL),[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
17,PT11M02.00S,2024-03-18T23:11:17.4Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630174,95.22010512483574,53.67647058823529,1610612754,2,2,2024-03-18T23:18:53Z,160000,False,18.0,-8.0,1,right,A. Nesmith running reverse Layup (2 PTS),[1630174],1610612754.0,IND,running reverse,,,Nesmith,A. Nesmith,,,,,Restricted Area,0-8 Center,1.99,Made,2.0,,,,,,,,,,,,,,,,,
18,PT10M46.00S,2024-03-18T23:11:33.0Z,1,REGULAR,3pt,Jump Shot,[],1627777,6.783837056504599,3.431372549019608,1610612739,2,5,2024-03-18T23:11:36Z,170000,False,233.0,11.0,1,left,G. Niang 3PT  (5 PTS) (C. LeVert 1 AST),"[1627777, 1627747]",1610612739.0,CLE,,,,Niang,G. Niang,,,,,Right Corner 3,24+ Right,23.31,Made,5.0,C. LeVert,1627747.0,1.0,,,,,,,,,,,,,,
20,PT10M24.00S,2024-03-18T23:11:55.2Z,1,REGULAR,3pt,Jump Shot,[],1630169,92.72339027595268,93.87254901960785,1610612754,2,5,2024-03-18T23:12:01Z,190000,False,219.0,16.0,1,right,MISS T. Haliburton step back 3PT,[1630169],1610612754.0,IND,step back,,,Haliburton,T. Haliburton,,,,,Right Corner 3,24+ Right,22.0,Missed,,,,,,,,,,,,,,,,,,
21,PT10M21.00S,2024-03-18T23:11:58.2Z,1,REGULAR,rebound,defensive,[],1627747,,,1610612739,2,5,2024-03-18T23:12:01Z,200000,False,,,0,,C. LeVert REBOUND (Off:0 Def:2),[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,Right Corner 3,24+ Right,,,,,,,,,20.0,2.0,2.0,0.0,,,,,,,,
22,PT10M12.00S,2024-03-18T23:12:07.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628386,6.1268068331143235,53.92156862745098,1610612739,2,7,2024-03-18T23:12:13Z,210000,False,-20.0,5.0,1,left,J. Allen reverse Layup (2 PTS) (C. LeVert 2 AST),"[1628386, 1627747]",1610612739.0,CLE,reverse,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,2.03,Made,2.0,C. LeVert,1627747.0,2.0,,,,,,,,,,,,,,
23,PT09M58.00S,2024-03-18T23:12:20.5Z,1,REGULAR,turnover,bad pass,[],1630174,,,1610612754,2,7,2024-03-18T23:12:24Z,220000,False,,,0,,A. Nesmith bad pass TURNOVER (1 TO),"[1630174, 1629636]",1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,1.0,Garland,1629636.0,,,,,
24,PT09M58.00S,2024-03-18T23:12:20.5Z,1,REGULAR,steal,,[],1629636,,,1610612739,2,7,2024-03-18T23:12:22Z,230000,False,,,0,,D. Garland STEAL (1 STL),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
25,PT09M47.00S,2024-03-18T23:12:56.6Z,1,REGULAR,jumpball,recovered,[],1627783,,,1610612739,2,7,2024-03-18T23:14:02Z,240000,False,,,0,,Jump Ball M. Turner vs. C. LeVert: Tip to P. Siakam,"[1627783, 1626167, 1627747]",1610612754.0,IND,heldball,P. Siakam,1627783.0,Siakam,P. Siakam,Turner,1626167.0,LeVert,1627747.0,,,,,,,,,,,,,,,,,,,,,,
28,PT09M47.00S,2024-03-18T23:12:56.6Z,1,REGULAR,turnover,lost ball,[],1627747,,,1610612739,2,7,2024-03-18T23:14:57Z,270000,False,,,0,,C. LeVert lost ball TURNOVER (1 TO),"[1627747, 1626167]",1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1.0,Turner,1626167.0,,,,,
29,PT09M47.00S,2024-03-18T23:12:56.6Z,1,REGULAR,steal,,[],1626167,,,1610612754,2,7,2024-03-18T23:12:56Z,280000,False,,,0,,M. Turner STEAL (1 STL),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
30,PT09M34.00S,2024-03-18T23:13:10.5Z,1,REGULAR,foul,personal,['2freethrow'],1627777,,,1610612754,2,7,2024-03-18T23:13:18Z,290000,False,,,0,,G. Niang shooting personal FOUL (1 PF) (Siakam 2 FT),"[1627777, 1627783]",1610612739.0,CLE,shooting,,,Niang,G. Niang,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1627961.0,1.0,0.0,Siakam,1627783.0
32,PT09M34.00S,2024-03-18T23:13:41.1Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1627783,,,1610612754,2,7,2024-03-18T23:13:41Z,310000,False,,,0,,MISS P. Siakam Free Throw 1 of 2,[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
33,PT09M34.00S,2024-03-18T23:13:41.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612754,2,7,2024-03-18T23:13:41Z,320000,False,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,32.0,,,,,,,,,,,
35,PT09M34.00S,2024-03-18T23:13:59.7Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1627783,,,1610612754,3,7,2024-03-18T23:13:59Z,330000,False,,,0,,P. Siakam Free Throw 2 of 2 (1 PTS),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
36,PT09M14.00S,2024-03-18T23:14:22.5Z,1,REGULAR,2pt,Jump Shot,[],1627777,11.12023653088042,27.450980392156865,1610612739,3,7,2024-03-18T23:23:30Z,340000,False,113.0,52.0,1,left,MISS G. Niang 12' driving floating bank Shot,[1627777],1610612739.0,CLE,driving floating bank,,,Niang,G. Niang,,,,,Mid-Range,8-16 Right,12.41,Missed,,,,,,,,,,,,,,,,,,
37,PT09M11.00S,2024-03-18T23:14:25.5Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,3,7,2024-03-18T23:14:27Z,350000,False,,,0,,M. Turner REBOUND (Off:0 Def:1),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Mid-Range,8-16 Right,,,,,,,,,36.0,1.0,1.0,0.0,,,,,,,,
38,PT08M58.00S,2024-03-18T23:14:38.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627783,87.99277266754271,45.83333333333333,1610612754,5,7,2024-03-18T23:24:38Z,360000,False,-21.0,60.0,1,right,P. Siakam 6' driving Hook (3 PTS) (T. Haliburton 1 AST),"[1627783, 1630169]",1610612754.0,IND,driving,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),0-8 Center,6.39,Made,3.0,T. Haliburton,1630169.0,1.0,,,,,,,,,,,,,,
41,PT08M37.00S,2024-03-18T23:15:33.3Z,1,REGULAR,jumpball,recovered,[],1630171,,,1610612739,5,7,2024-03-18T23:15:33Z,390000,False,,,0,,Jump Ball J. Allen vs. M. Turner: Tip to I. Okoro,"[1630171, 1628386, 1626167]",1610612739.0,CLE,outofbounds,I. Okoro,1630171.0,Okoro,I. Okoro,Allen,1628386.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,
44,PT08M25.00S,2024-03-18T23:15:44.7Z,1,REGULAR,turnover,lost ball,[],1629636,,,1610612739,5,7,2024-03-18T23:15:48Z,420000,False,,,0,,D. Garland lost ball TURNOVER (1 TO),"[1629636, 1630169]",1610612739.0,CLE,,,,Garland,D. Garland,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,1.0,Haliburton,1630169.0,,,,,
45,PT08M25.00S,2024-03-18T23:15:44.7Z,1,REGULAR,steal,,[],1630169,,,1610612754,5,7,2024-03-18T23:15:46Z,430000,False,,,0,,T. Haliburton STEAL (1 STL),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
46,PT08M18.00S,2024-03-18T23:15:51.8Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630174,80.3712220762155,5.88235294117647,1610612754,5,7,2024-03-18T23:26:09Z,440000,False,-221.0,132.0,1,right,MISS A. Nesmith 25' running 3PT,[1630174],1610612754.0,IND,running,,,Nesmith,A. Nesmith,,,,,Above the Break 3,24+ Left Center,25.71,Missed,,,,,,,,,,,,,,,,,,
47,PT08M16.00S,2024-03-18T23:15:53.8Z,1,REGULAR,rebound,defensive,[],1630171,,,1610612739,5,7,2024-03-18T23:15:55Z,450000,False,,,0,,I. Okoro REBOUND (Off:0 Def:1),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,Above the Break 3,24+ Left Center,,,,,,,,,46.0,1.0,1.0,0.0,,,,,,,,
48,PT08M13.00S,2024-03-18T23:15:58.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627747,16.507884362680684,2.450980392156863,1610612739,5,7,2024-03-18T23:16:07Z,460000,False,238.0,103.0,1,left,MISS C. LeVert 25' running 3PT,[1627747],1610612739.0,CLE,running,,,LeVert,C. LeVert,,,,,Above the Break 3,24+ Right Center,25.89,Missed,,,,,,,,,,,,,,,,,,
49,PT08M10.00S,2024-03-18T23:16:01.1Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612754,5,7,2024-03-18T23:16:14Z,470000,False,,,0,,P. Siakam REBOUND (Off:1 Def:1),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Right Center,,,,,,,,,48.0,2.0,1.0,1.0,,,,,,,,
50,PT08M03.00S,2024-03-18T23:16:07.1Z,1,REGULAR,2pt,Jump Shot,[],1630169,76.42904073587385,70.58823529411765,1610612754,7,7,2024-03-18T23:16:12Z,480000,False,103.0,169.0,1,right,T. Haliburton 19' pullup Jump Shot (2 PTS),[1630169],1610612754.0,IND,pullup,,,Haliburton,T. Haliburton,,,,,Mid-Range,16-24 Right Center,19.79,Made,2.0,,,,,,,,,,,,,,,,,
51,PT07M39.00S,2024-03-18T23:16:30.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629636,7.30946123521682,56.127450980392155,1610612739,7,7,2024-03-18T23:16:35Z,490000,False,-31.0,16.0,1,left,MISS D. Garland driving finger roll Layup,[1629636],1610612739.0,CLE,driving finger roll,,,Garland,D. Garland,,,,,Restricted Area,0-8 Center,3.46,Missed,,,,,,,,,,,,,,,,,,
52,PT07M36.00S,2024-03-18T23:16:33.4Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612754,7,7,2024-03-18T23:16:35Z,500000,False,,,0,,P. Siakam REBOUND (Off:1 Def:2),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,,,,,,,,,51.0,3.0,2.0,1.0,,,,,,,,
53,PT07M32.00S,2024-03-18T23:16:38.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630169,77.21747700394218,11.76470588235294,1610612754,7,7,2024-03-18T23:16:47Z,510000,False,-191.0,162.0,1,right,MISS T. Haliburton 25' running pullup 3PT,[1630169],1610612754.0,IND,running pullup,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Left Center,25.04,Missed,,,,,,,,,,,,,,,,,,
54,PT07M28.00S,2024-03-18T23:16:42.1Z,1,REGULAR,rebound,defensive,[],1627747,,,1610612739,7,7,2024-03-18T23:31:15Z,520000,False,,,0,,C. LeVert REBOUND (Off:0 Def:3),[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,Above the Break 3,24+ Left Center,,,,,,,,,53.0,3.0,3.0,0.0,,,,,,,,
