actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
19,PT10M31.00S,2024-03-08T00:15:37.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203497,94.40999984741211,50.0,1610612750,2,2,2024-03-08T00:15:37Z,190000,False,0.0,0.0,1,right,R. Gobert tip Layup (2 PTS),[203497],1610612750.0,MIN,tip,,,Gobert,R. Gobert,,,,,Mid-Range,8-16 Left,,0.0,Made,,,,,2.0,,,,,,,,,,,,
20,PT10M31.00S,2024-03-08T00:15:38.1Z,1,REGULAR,foul,personal,['1freethrow'],1630174,,,1610612750,2,2,2024-03-08T00:15:47Z,200000,False,,,0,,A. Nesmith shooting personal FOUL (1 PF) (Gobert 1 FT),"[1630174, 203497]",1610612754.0,IND,shooting,,,Nesmith,A. Nesmith,,,,,Restricted Area,0-8 Center,101283.0,,,,,,,,,,,1.0,0.0,Gobert,203497.0,,,,,
22,PT10M31.00S,2024-03-08T00:16:03.3Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],203497,,,1610612750,2,3,2024-03-08T00:16:03Z,220000,False,,,0,,R. Gobert Free Throw 1 of 1 (3 PTS),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,
23,PT10M10.00S,2024-03-08T00:16:26.5Z,1,REGULAR,3pt,Jump Shot,[],1627783,35.43035479632063,52.94117647058824,1610612754,2,3,2024-03-08T00:16:53Z,230000,False,-15.0,281.0,1,left,MISS P. Siakam 28' 3PT,[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Center,,28.09,Missed,,,,,,,,,,,,,,,,,
24,PT10M07.00S,2024-03-08T00:16:29.5Z,1,REGULAR,rebound,defensive,[],201144,,,1610612750,2,3,2024-03-08T00:16:33Z,240000,False,,,0,,M. Conley REBOUND (Off:0 Def:1),[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,Above the Break 3,24+ Center,,,,23.0,1.0,1.0,0.0,,,,,,,,,,,,,
25,PT09M55.00S,2024-03-08T00:16:41.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203497,82.34231274638634,60.29411764705882,1610612750,2,3,2024-03-08T00:17:22Z,250000,False,51.0,113.0,1,right,MISS R. Gobert 12' floating Shot,[203497],1610612750.0,MIN,floating,,,Gobert,R. Gobert,,,,,In The Paint (Non-RA),8-16 Center,,12.46,Missed,,,,,,,,,,,,,,,,,
26,PT09M53.00S,2024-03-08T00:16:43.6Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,2,3,2024-03-08T00:16:45Z,260000,False,,,0,,M. Turner REBOUND (Off:0 Def:1),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,In The Paint (Non-RA),8-16 Center,,,,25.0,1.0,1.0,0.0,,,,,,,,,,,,,
27,PT09M42.00S,2024-03-08T00:16:54.6Z,1,REGULAR,3pt,Jump Shot,[],1630169,33.722076215505915,54.90196078431373,1610612754,2,3,2024-03-08T00:17:02Z,270000,False,-25.0,264.0,1,left,MISS T. Haliburton 26' pullup 3PT,[1630169],1610612754.0,IND,pullup,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Center,,26.56,Missed,,,,,,,,,,,,,,,,,
28,PT09M39.00S,2024-03-08T00:16:57.6Z,1,REGULAR,rebound,defensive,[],203937,,,1610612750,2,3,2024-03-08T00:17:13Z,280000,False,,,0,,K. Anderson REBOUND (Off:0 Def:1),[203937],1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,Above the Break 3,24+ Center,,,,27.0,1.0,1.0,0.0,,,,,,,,,,,,,
29,PT09M32.00S,2024-03-08T00:17:05.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629638,89.83245729303549,47.30392156862745,1610612750,2,5,2024-03-08T00:17:09Z,290000,False,-13.0,43.0,1,right,N. Alexander-Walker driving finger roll Layup (2 PTS),[1629638],1610612750.0,MIN,driving finger roll,,,Alexander-Walker,N. Alexander-Walker,,,,,In The Paint (Non-RA),0-8 Center,,4.52,Made,,,,,2.0,,,,,,,,,,,,
