actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,officialId,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-11-04T23:11:12.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-04T23:11:12Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2023-11-04T23:11:14.4Z,1,REGULAR,jumpball,recovered,[],1630167,,,1610612754,0,0,2023-11-04T23:11:14Z,40000,False,,,0,,Jump Ball M. Turner vs. M. Williams: Tip to O. Toppin,"[1630167, 1626167, 1631109]",1610612754.0,IND,startperiod,O. Toppin,1630167.0,Toppin,O. Toppin,Turner,1626167.0,Williams,1631109.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2023-11-04T23:11:37.7Z,1,REGULAR,3pt,Jump Shot,[],1630169,33.98488830486202,33.088235294117645,1610612754,0,0,2023-11-04T23:20:19Z,70000,False,85.0,267.0,1,left,MISS T. Haliburton 28' pullup 3PT,[1630169],1610612754.0,IND,pullup,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Center,28.01,Missed,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2023-11-04T23:11:37.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612754,0,0,2023-11-04T23:12:02Z,80000,False,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,Above the Break 3,24+ Center,,,7.0,,,,,,,,,,,,,,,,,
9,PT11M36.00S,2023-11-04T23:11:47.3Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612754,0,0,2023-11-04T23:12:02Z,90000,False,,,0,,IND shot clock Team TURNOVER,[],1610612754.0,IND,,,,,,,,,,Above the Break 3,24+ Center,,,,2004.0,,,,,,,,,,,,,,,,
10,PT11M27.00S,2023-11-04T23:12:13.4Z,1,REGULAR,turnover,bad pass,[],1631109,,,1610612766,0,0,2023-11-04T23:12:17Z,100000,False,,,0,,M. Williams bad pass TURNOVER (1 TO),"[1631109, 1631097]",1610612766.0,CHA,,,,Williams,M. Williams,,,,,Mid-Range,16-24 Center,,,,,1.0,Mathurin,1631097.0,,,,,,,,,,,,,
11,PT11M27.00S,2023-11-04T23:12:13.4Z,1,REGULAR,steal,,[],1631097,,,1610612754,0,0,2023-11-04T23:12:15Z,110000,False,,,0,,B. Mathurin STEAL (1 STL),[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
12,PT11M11.00S,2023-11-04T23:12:30.3Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1626167,25.837713534822605,52.69607843137255,1610612754,2,0,2023-11-04T23:12:34Z,120000,False,-13.0,190.0,1,left,M. Turner 19' Jump Shot (2 PTS) (T. Haliburton 1 AST),"[1626167, 1630169]",1610612754.0,IND,,,,Turner,M. Turner,,,,,Mid-Range,16-24 Center,19.09,Made,,,,,,2.0,T. Haliburton,1630169.0,1.0,,,,,,,,,
14,PT10M50.00S,2023-11-04T23:12:50.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629023,86.15308804204993,52.69607843137255,1610612766,2,0,2023-11-05T00:20:24Z,140000,False,13.0,78.0,1,right,MISS P. Washington 7' driving floating Shot,[1629023],1610612766.0,CHA,driving floating,,,Washington,P. Washington,,,,,In The Paint (Non-RA),0-8 Center,7.89,Missed,,,,,,,,,,,,,,,,,,
15,PT10M47.00S,2023-11-04T23:12:53.4Z,1,REGULAR,rebound,defensive,[],1631097,,,1610612754,2,0,2023-11-04T23:12:54Z,150000,False,,,0,,B. Mathurin REBOUND (Off:0 Def:1),[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,In The Paint (Non-RA),0-8 Center,,,14.0,,,,,,,,,1.0,1.0,0.0,,,,,,
